policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
expected_n_plus_one,3,True,True,289.0,1409.0,1120.0,15.852852392491037,7.231286955612012,1409.0,26.86408330535879,1.8433224364250531,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1409.0,289.0,7.82814153151536,9.364477805903018,9.671463967940413
fixed_pair,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164307046,0.4672207989549424,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.92025789718736,9.357277570977384,9.387478696142303
periodic_rotation,4,True,True,542.0,1238.0,696.0,18.249709511642152,6.457393556636161,1238.0,26.840555123869546,1.53005650618777,25,23,"(np.int64(2), np.int64(1), np.int64(0))",,1238.0,542.0,7.976943856184099,9.356610905313579,9.507000362371869
health_greedy,4,True,True,1319.0,1359.0,40.0,27.720368009863613,0.6079371533001492,1359.0,28.037186495886687,0.4514678263945928,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1359.0,1319.0,9.1047321693703,9.376254330751493,9.556199995764892
expected_max,4,True,True,1319.0,1356.0,37.0,27.715523058081846,0.5925871732889441,1356.0,27.9886609511566,0.44616442389521715,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1356.0,1319.0,9.09468559185847,9.353125343544443,9.540850015753687
expected_total,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733
expected_n_plus_one,4,True,True,301.0,1319.0,1018.0,15.463087027930095,6.990236099297601,1319.0,27.660596140049712,0.41647327563672043,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1319.0,301.0,8.944033503455127,9.360506779091848,9.356055857502737
fixed_pair,5,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264
periodic_rotation,5,True,True,552.0,1186.0,634.0,17.978134717362117,6.732696909649582,1186.0,24.22284377759138,3.8458304387655495,25,23,"(np.int64(2), np.int64(1), np.int64(0))",,1186.0,552.0,5.510524108245846,9.356354547011396,9.355965122334137
health_greedy,5,True,True,1491.0,1493.0,2.0,27.38669972463964,0.7012413522787426,1493.0,27.406032243385813,0.692784400623589,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1493.0,1491.0,8.678335798514587,9.35657624573305,9.371120199138176
expected_max,5,True,True,1490.0,1491.0,1.0,27.364659808167843,0.6878121129185946,1491.0,27.396213212217365,0.7030226845480474,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1490.0,1491.0,8.669878846859433,9.353432833950452,9.37290153140748
expected_total,5,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264
expected_n_plus_one,5,True,True,381.0,1502.0,1121.0,16.233896598039074,6.217263696247195,1502.0,27.41438920573543,0.6504999199960704,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1502.0,381.0,8.704474521035953,9.354940243667452,9.354974441032024
fixed_pair,6,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688
periodic_rotation,6,True,True,481.0,1148.0,667.0,17.850296594394386,6.536842278968457,1148.0,24.781740669491995,3.277866625331596,23,21,"(np.int64(2), np.int64(1), np.int64(0))",,1148.0,481.0,6.075387361680416,9.353253987012012,9.353099320799569
health_greedy,6,True,True,1376.0,1389.0,13.0,27.12754353857261,0.9103888983865467,1389.0,27.252934853197917,0.887672958543158,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1376.0,1389.0,8.498772154351268,9.367717585952223,9.386445112894426
expected_max,6,True,True,1376.0,1389.0,13.0,27.134778833646934,0.923570667327013,1389.0,27.25566550320088,0.8821272005414205,28,26,"(np.int64(2), np.int64(1), np.int64(0))",,1389.0,1376.0,8.498772154351268,9.375993993956921,9.380899354892689
expected_total,6,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688
expected_n_plus_one,6,True,True,333.0,1401.0,1068.0,16.24451074031593,6.26272596731776,1401.0,27.286941510177826,0.832813722678166,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1401.0,333.0,8.55019892502757,9.353729937444522,9.383012647705735
fixed_pair,7,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493
