policy,effective_policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,category,boundary_scale,gamma_terminal_cv,risk_horizon_h,reschedule_h,evidence,local_seed,initial_damage_fraction,heterogeneity_factors
order_blend_50,order_blend_50,4,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,4,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,5,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,5,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,5,True,True,1491.0,1493.0,2.0,27.38669972463964,0.7012413522787426,1493.0,27.406032243385813,0.692784400623589,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1493.0,1491.0,8.678335798514587,9.35657624573305,9.371120199138176,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,5,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,5,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,5,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,6,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,6,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,6,True,True,1376.0,1389.0,13.0,27.12754353857261,0.9103888983865467,1389.0,27.252934853197917,0.887672958543158,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1376.0,1389.0,8.498772154351268,9.367717585952223,9.386445112894426,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,6,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,6,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,6,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,7,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,7,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,7,True,True,1382.0,1431.0,49.0,26.65609914642145,1.505001938514205,1431.0,27.127748333054576,1.3143875166094219,25,23,"(np.int64(1), np.int64(2), np.int64(0))",,1382.0,1431.0,8.222158343407179,9.5365458600166,9.3690441296308,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,7,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,7,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,7,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,8,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,8,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,8,True,True,1379.0,1385.0,6.0,25.83625260958025,2.2085078218603513,1385.0,25.87303337827247,2.1920912665461394,21,19,"(np.int64(1), np.int64(2), np.int64(0))",,1379.0,1385.0,7.16393396319048,9.35602522973662,9.35307418534537,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,8,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,8,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,8,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,9,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,9,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
