scenario_id,category,policy,seeds,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_gain_median_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_sign_p_one_sided,second_boundary_nonworse_share,start_count_delta_mean,assignment_change_delta_mean
heterogeneity_gp_re_increased_perm_1,heterogeneity,health_greedy,20,396.2,369.5,418.26464762797957,-14.75,-28.95,-6.05,-8.5,6,0,14,0.9793052673339844,0.3,16.8,16.8
heterogeneity_gp_re_increased_perm_2,heterogeneity,health_greedy,20,205.45,181.9,224.4,3.75,-13.561400961621873,20.3,3.0,10,0,10,0.5880985260009766,0.5,17.0,17.0
heterogeneity_gp_re_increased_perm_3,heterogeneity,health_greedy,20,761.0,725.7840812952762,793.95,-28.35,-51.2,-8.42743445399692,-17.0,4,3,13,0.9936370849609375,0.35,18.55,18.55
heterogeneity_gp_re_increased_perm_4,heterogeneity,health_greedy,20,385.7,362.05,408.3,-0.55,-7.1,6.4,-3.5,7,1,12,0.9164657592773438,0.4,16.65,16.65
heterogeneity_gp_re_increased_perm_5,heterogeneity,health_greedy,20,389.3,351.05,428.25,196.85,170.2,229.36143685283005,197.0,20,0,0,9.5367431640625e-07,1.0,16.5,16.5
boundary_scale_0.80,boundary,health_greedy,20,260.75,245.55318871411023,275.156737901888,-7.5,-15.4,-2.460575176346447,-8.0,3,3,14,0.9988250732421875,0.3,18.2,18.2
boundary_scale_1.20,boundary,health_greedy,20,371.65,337.1,403.05,-5.25,-12.2,4.9,-9.5,4,2,14,0.9962310791015625,0.3,25.65,25.65
gamma_cv_0.05,stochasticity,health_greedy,20,310.95,298.05,322.1501987491132,-10.3,-13.45,-8.05,-9.0,0,1,19,1.0,0.05,24.1,24.1
gamma_cv_0.20,stochasticity,health_greedy,20,277.1,232.1,318.27202924522055,14.2,-6.6,37.15,6.0,10,3,7,0.3145294189453125,0.65,21.0,21.0
risk_horizon_24h,scheduler,health_greedy,20,309.8,291.0,330.7,0.05,-7.25,8.45,-3.5,7,2,11,0.8810577392578125,0.45,23.2,23.2
risk_horizon_240h,scheduler,health_greedy,20,309.8,291.35,330.2,0.05,-7.05,8.2,-3.5,7,2,11,0.8810577392578125,0.45,23.2,23.2
reschedule_12h,scheduler,health_greedy,20,313.3,295.8446565444611,332.4824761089126,-8.6,-16.032348801848126,-1.05,-7.5,6,1,13,0.9682159423828125,0.35,43.05,43.05
reschedule_48h,scheduler,health_greedy,20,306.8,286.85,329.85,1.6,-4.6,9.9,-1.5,7,3,10,0.8338470458984375,0.5,11.9,11.9
reference,reference,order_blend_50,20,91.65,37.88860680828145,166.95,2.45,0.65,6.680092722253903,0.0,4,16,0,0.0625,1.0,1.1,1.1
initial_stagger_perm_1,initial_health,order_blend_50,20,49.25,0.0,246.25,-0.35,-1.75,0.0,0.0,0,19,1,1.0,0.95,0.3,0.3
initial_stagger_perm_2,initial_health,order_blend_50,20,154.55,95.4,212.20402797177564,10.25,3.6,20.54822751548045,0.0,6,9,5,0.5,0.75,3.9,3.9
initial_stagger_perm_3,initial_health,order_blend_50,20,977.6,907.7155027804176,1026.18700880094,298.15,263.1,333.0583364336896,291.5,20,0,0,9.5367431640625e-07,1.0,5.95,5.95
initial_stagger_perm_4,initial_health,order_blend_50,20,110.45,12.7,318.65,1.6,0.0,7.65,0.0,2,17,1,0.5,0.95,0.5,0.5
initial_stagger_perm_5,initial_health,order_blend_50,20,334.45,151.55,560.7672923089718,335.25,299.55,374.4881102709219,324.0,20,0,0,9.5367431640625e-07,1.0,1.05,1.05
initial_zuo_one_aged_stack_0,initial_health,order_blend_50,20,830.55,798.8006387391015,861.4130647301744,748.8,712.95,783.5506776158036,763.5,20,0,0,9.5367431640625e-07,1.0,77.0,77.0
initial_zuo_one_aged_stack_1,initial_health,order_blend_50,20,874.35,834.25,909.2118485299203,706.35,658.9467796106322,747.45,732.5,20,0,0,9.5367431640625e-07,1.0,77.05,77.05
initial_zuo_one_aged_stack_2,initial_health,order_blend_50,20,763.1,733.1910571431112,793.45,653.8,619.2907146160135,686.75,656.0,20,0,0,9.5367431640625e-07,1.0,76.35,76.35
initial_equal_fresh,initial_health,order_blend_50,20,843.95,811.7,880.510762483773,734.95,702.6596555186572,764.7765900363325,718.5,20,0,0,9.5367431640625e-07,1.0,84.4,84.4
initial_equal_midlife,initial_health,order_blend_50,20,496.7,466.8908080746323,527.6,418.7,399.9,441.05,412.0,20,0,0,9.5367431640625e-07,1.0,50.05,50.05
heterogeneity_current_perm_1,heterogeneity,order_blend_50,20,-620.2,-683.8,-402.31380590578243,1.15,-2.6,10.8,0.0,8,6,6,0.395263671875,0.7,0.3,0.3
heterogeneity_current_perm_2,heterogeneity,order_blend_50,20,154.55,98.8,212.51692172808035,10.25,3.6,20.75,0.0,6,9,5,0.5,0.75,3.9,3.9
heterogeneity_current_perm_3,heterogeneity,order_blend_50,20,-538.7,-636.2,-331.9711931371222,-1.2,-4.3,3.1,-0.5,4,6,10,0.9713134765625,0.5,0.5,0.5
heterogeneity_current_perm_4,heterogeneity,order_blend_50,20,197.45,140.55,245.45,22.45,10.55,39.55,5.5,12,6,2,0.0064697265625,0.9,5.95,5.95
heterogeneity_current_perm_5,heterogeneity,order_blend_50,20,-367.35,-549.55,-148.4738828341281,6.8,-3.35,16.85,2.5,11,2,7,0.2403411865234375,0.65,1.05,1.05
heterogeneity_identical,heterogeneity,order_blend_50,20,189.65,114.92039408973763,256.9467280904029,5.9,0.85,11.55,0.0,8,9,3,0.11328125,0.85,2.45,2.45
heterogeneity_gp_re_low_perm_0,heterogeneity,order_blend_50,20,12.5,1.2,46.3,0.3,-0.1,1.7,0.0,1,18,1,0.75,0.95,0.4,0.4
heterogeneity_gp_re_low_perm_1,heterogeneity,order_blend_50,20,-289.4,-484.605500985898,-66.07303225648484,27.7,13.2,49.56861904979114,10.5,13,3,4,0.0245208740234375,0.8,1.95,1.95
heterogeneity_gp_re_base_perm_0,heterogeneity,order_blend_50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_base_perm_1,heterogeneity,order_blend_50,20,-45.55,-229.25113658655783,102.19287906295149,97.4,69.6,126.64710165241186,104.0,18,1,1,3.814697265625e-05,0.95,6.1,6.1
heterogeneity_gp_re_high_perm_0,heterogeneity,order_blend_50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_high_perm_1,heterogeneity,order_blend_50,20,-382.6,-403.9014481000379,-363.2,-4.45,-9.3,1.7,-1.5,5,5,10,0.940765380859375,0.5,0.0,0.0
heterogeneity_gp_re_high_perm_2,heterogeneity,order_blend_50,20,169.65,146.3,190.85,42.25,25.3,66.6,25.5,18,1,1,3.814697265625e-05,0.95,13.8,13.8
heterogeneity_gp_re_high_perm_3,heterogeneity,order_blend_50,20,75.05,-20.26285175933838,183.35982242547817,-12.6,-27.39318033377529,5.95,-21.0,4,1,15,0.9977874755859375,0.25,6.9,6.9
heterogeneity_gp_re_high_perm_4,heterogeneity,order_blend_50,20,182.9,141.3,232.0,13.2,-3.65,46.83811870820118,-1.5,8,2,10,0.7596588134765625,0.5,17.75,17.75
heterogeneity_gp_re_high_perm_5,heterogeneity,order_blend_50,20,200.6,77.21522028651583,274.9722738581584,209.7,188.0522381139223,224.65,211.5,20,0,0,9.5367431640625e-07,1.0,18.1,18.1
heterogeneity_gp_re_increased_perm_0,heterogeneity,order_blend_50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_1,heterogeneity,order_blend_50,20,-277.7,-292.5543813620251,-260.95,-10.15,-24.65,5.6,-16.5,6,2,12,0.951873779296875,0.4,0.0,0.0
heterogeneity_gp_re_increased_perm_2,heterogeneity,order_blend_50,20,64.3,42.35,96.86353574990116,1.0,-17.4,16.85,0.0,9,4,7,0.4018096923828125,0.65,4.6,4.6
heterogeneity_gp_re_increased_perm_3,heterogeneity,order_blend_50,20,367.1,264.75,471.9,-47.2,-76.2309107832818,-1.6,-69.0,4,1,15,0.9977874755859375,0.25,12.35,12.35
heterogeneity_gp_re_increased_perm_4,heterogeneity,order_blend_50,20,5.75,-32.0,60.51840211641693,8.7,-16.75,51.686599270234005,-5.5,8,1,11,0.8203582763671875,0.45,11.5,11.5
heterogeneity_gp_re_increased_perm_5,heterogeneity,order_blend_50,20,419.05,332.63262565311265,463.85,266.65,227.25,303.1876439772286,274.5,20,0,0,9.5367431640625e-07,1.0,28.1,28.1
boundary_scale_0.80,boundary,order_blend_50,20,97.05,48.85,155.13087706977905,-0.2,-3.75,1.9,0.0,3,14,3,0.65625,0.85,2.1,2.1
boundary_scale_1.20,boundary,order_blend_50,20,99.2,43.05043574020976,175.05,-0.5,-4.0,2.6,0.0,2,14,4,0.890625,0.8,1.65,1.65
gamma_cv_0.05,stochasticity,order_blend_50,20,15.95,0.0,79.75,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.2,0.2
gamma_cv_0.20,stochasticity,order_blend_50,20,54.35,18.0,114.27367923251431,6.25,-4.6,21.75,0.0,3,16,1,0.3125,0.95,2.15,2.15
risk_horizon_24h,scheduler,order_blend_50,20,12.0,0.0,60.0,0.6,0.0,3.0,0.0,1,19,0,0.5,1.0,0.1,0.1
risk_horizon_240h,scheduler,order_blend_50,20,193.75,125.1,255.5,2.85,-1.45,9.362017281211319,0.0,6,8,6,0.61279296875,0.7,5.75,5.75
reschedule_12h,scheduler,order_blend_50,20,100.35,49.05,170.74304680155984,2.5,0.7,6.4,0.0,5,14,1,0.109375,0.95,1.95,1.95
reschedule_48h,scheduler,order_blend_50,20,69.15,26.898855849412165,137.95519585299851,2.95,0.95,7.6,0.0,5,15,0,0.03125,1.0,0.85,0.85
reference,reference,guarded_blend,20,91.65,40.5,167.1842790165823,2.45,0.65,6.743145658829508,0.0,4,16,0,0.0625,1.0,1.1,1.1
initial_stagger_perm_1,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_stagger_perm_2,initial_health,guarded_blend,20,154.55,95.45124435910459,210.85,10.25,3.45,21.002873049410844,0.0,6,9,5,0.5,0.75,3.9,3.9
initial_stagger_perm_3,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_stagger_perm_4,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_stagger_perm_5,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_zuo_one_aged_stack_0,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_zuo_one_aged_stack_1,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_zuo_one_aged_stack_2,initial_health,guarded_blend,20,763.1,731.6493200115814,794.1518175279917,653.8,619.8450872612206,686.9390018307744,656.0,20,0,0,9.5367431640625e-07,1.0,76.35,76.35
initial_equal_fresh,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
initial_equal_midlife,initial_health,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_current_perm_1,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
