policy,month,local_seed,first_boundary_gain_h,second_boundary_gain_h
order_blend_50,2025-12,5,0.0,0.0
order_blend_50,2025-12,6,224.0,-1.0
order_blend_50,2025-12,7,0.0,0.0
order_blend_50,2025-12,8,0.0,0.0
order_blend_50,2025-12,9,294.0,47.0
order_blend_50,2025-12,10,0.0,0.0
order_blend_50,2025-12,11,327.0,10.0
order_blend_50,2025-12,12,0.0,0.0
order_blend_50,2025-12,13,0.0,0.0
order_blend_50,2025-12,14,0.0,0.0
order_blend_50,2025-12,15,0.0,0.0
order_blend_50,2025-12,16,0.0,0.0
order_blend_50,2025-12,17,0.0,0.0
order_blend_50,2025-12,18,211.0,114.0
order_blend_50,2025-12,19,0.0,0.0
order_blend_50,2026-01,0,0.0,0.0
order_blend_50,2026-01,1,0.0,0.0
order_blend_50,2026-01,2,0.0,0.0
order_blend_50,2026-01,3,370.0,48.0
order_blend_50,2026-01,4,107.0,0.0
order_blend_50,2026-01,5,0.0,0.0
order_blend_50,2026-01,6,0.0,0.0
order_blend_50,2026-01,7,0.0,0.0
order_blend_50,2026-01,8,354.0,28.0
order_blend_50,2026-01,9,0.0,0.0
order_blend_50,2026-01,10,0.0,0.0
order_blend_50,2026-01,11,396.0,-59.0
order_blend_50,2026-01,12,276.0,15.0
order_blend_50,2026-01,13,334.0,0.0
order_blend_50,2026-01,14,354.0,6.0
order_blend_50,2026-01,15,277.0,10.0
order_blend_50,2026-01,16,197.0,73.0
order_blend_50,2026-01,17,0.0,0.0
order_blend_50,2026-01,18,374.0,28.0
order_blend_50,2026-01,19,0.0,0.0
order_blend_50,2026-02,0,0.0,0.0
order_blend_50,2026-02,1,0.0,0.0
order_blend_50,2026-02,2,0.0,0.0
order_blend_50,2026-02,3,0.0,0.0
order_blend_50,2026-02,4,0.0,0.0
order_blend_50,2026-02,5,0.0,0.0
order_blend_50,2026-02,6,0.0,0.0
order_blend_50,2026-02,7,0.0,0.0
order_blend_50,2026-02,8,0.0,0.0
order_blend_50,2026-02,9,0.0,0.0
order_blend_50,2026-02,10,25.0,0.0
order_blend_50,2026-02,11,0.0,0.0
order_blend_50,2026-02,12,0.0,0.0
order_blend_50,2026-02,13,221.0,-3.0
order_blend_50,2026-02,14,0.0,0.0
order_blend_50,2026-02,15,0.0,0.0
order_blend_50,2026-02,16,0.0,0.0
order_blend_50,2026-02,17,233.0,0.0
order_blend_50,2026-02,18,184.0,3.0
order_blend_50,2026-02,19,0.0,0.0
order_blend_50,2026-03,0,0.0,0.0
order_blend_50,2026-03,1,0.0,0.0
order_blend_50,2026-03,2,0.0,0.0
order_blend_50,2026-03,3,0.0,0.0
order_blend_50,2026-03,4,0.0,0.0
order_blend_50,2026-03,5,0.0,0.0
order_blend_50,2026-03,6,0.0,0.0
order_blend_50,2026-03,7,0.0,0.0
order_blend_50,2026-03,8,0.0,0.0
order_blend_50,2026-03,9,0.0,0.0
order_blend_50,2026-03,10,0.0,0.0
order_blend_50,2026-03,11,184.0,3.0
order_blend_50,2026-03,12,0.0,0.0
order_blend_50,2026-03,13,0.0,0.0
order_blend_50,2026-03,14,0.0,0.0
order_blend_50,2026-03,15,0.0,0.0
order_blend_50,2026-03,16,0.0,0.0
order_blend_50,2026-03,17,203.0,1.0
order_blend_50,2026-03,18,0.0,0.0
order_blend_50,2026-03,19,0.0,0.0
order_blend_50,2026-04,0,0.0,0.0
order_blend_50,2026-04,1,0.0,0.0
order_blend_50,2026-04,2,0.0,0.0
order_blend_50,2026-04,3,0.0,0.0
order_blend_50,2026-04,4,0.0,0.0
order_blend_50,2026-04,5,0.0,0.0
order_blend_50,2026-04,6,0.0,0.0
order_blend_50,2026-04,7,0.0,0.0
order_blend_50,2026-04,8,38.0,3.0
order_blend_50,2026-04,9,0.0,0.0
order_blend_50,2026-04,10,0.0,0.0
order_blend_50,2026-04,11,0.0,0.0
order_blend_50,2026-04,12,0.0,0.0
order_blend_50,2026-04,13,0.0,0.0
order_blend_50,2026-04,14,0.0,0.0
order_blend_50,2026-04,15,0.0,0.0
order_blend_50,2026-04,16,229.0,-1.0
order_blend_50,2026-04,17,0.0,0.0
order_blend_50,2026-04,18,0.0,0.0
order_blend_50,2026-04,19,0.0,0.0
order_blend_50,2026-05,0,178.0,114.0
order_blend_50,2026-05,1,315.0,8.0
order_blend_50,2026-05,2,0.0,0.0
order_blend_50,2026-05,3,0.0,0.0
order_blend_50,2026-05,4,0.0,0.0
order_blend_50,2026-05,5,0.0,0.0
order_blend_50,2026-05,6,429.0,3.0
order_blend_50,2026-05,7,210.0,3.0
order_blend_50,2026-05,8,365.0,-19.0
order_blend_50,2026-05,9,310.0,-3.0
order_blend_50,2026-05,10,0.0,0.0
order_blend_50,2026-05,11,372.0,-15.0
order_blend_50,2026-05,12,0.0,0.0
order_blend_50,2026-05,13,0.0,0.0
order_blend_50,2026-05,14,0.0,0.0
order_blend_50,2026-05,15,0.0,0.0
order_blend_50,2026-05,16,271.0,2.0
order_blend_50,2026-05,17,138.0,138.0
order_blend_50,2026-05,18,107.0,0.0
order_blend_50,2026-05,19,309.0,-6.0
order_blend_50,2026-06,0,0.0,0.0
order_blend_50,2026-06,1,0.0,0.0
order_blend_50,2026-06,2,0.0,0.0
order_blend_50,2026-06,3,28.0,-30.0
order_blend_50,2026-06,4,0.0,0.0
order_blend_50,2026-06,5,0.0,0.0
order_blend_50,2026-06,6,0.0,0.0
order_blend_50,2026-06,7,0.0,0.0
order_blend_50,2026-06,8,0.0,0.0
order_blend_50,2026-06,9,212.0,2.0
order_blend_50,2026-06,10,0.0,0.0
order_blend_50,2026-06,11,0.0,0.0
order_blend_50,2026-06,12,240.0,5.0
order_blend_50,2026-06,13,0.0,0.0
order_blend_50,2026-06,14,0.0,0.0
order_blend_50,2026-06,15,0.0,0.0
order_blend_50,2026-06,16,0.0,0.0
order_blend_50,2026-06,17,0.0,0.0
order_blend_50,2026-06,18,0.0,0.0
order_blend_50,2026-06,19,0.0,0.0
expected_n_plus_one,2025-06,0,-516.0,-2.0
expected_n_plus_one,2025-06,1,-511.0,0.0
expected_n_plus_one,2025-06,2,-515.0,-6.0
expected_n_plus_one,2025-06,3,-405.0,0.0
expected_n_plus_one,2025-06,4,-450.0,3.0
expected_n_plus_one,2025-06,5,-477.0,-1.0
expected_n_plus_one,2025-06,6,-422.0,0.0
expected_n_plus_one,2025-06,7,-523.0,-2.0
expected_n_plus_one,2025-06,8,-482.0,-1.0
expected_n_plus_one,2025-06,9,-409.0,1.0
expected_n_plus_one,2025-06,10,-394.0,0.0
expected_n_plus_one,2025-06,11,-465.0,-10.0
expected_n_plus_one,2025-06,12,-462.0,0.0
expected_n_plus_one,2025-06,13,-435.0,2.0
expected_n_plus_one,2025-06,14,-521.0,-1.0
expected_n_plus_one,2025-06,15,-464.0,0.0
expected_n_plus_one,2025-06,16,-433.0,47.0
expected_n_plus_one,2025-06,17,-484.0,-2.0
expected_n_plus_one,2025-06,18,-500.0,-7.0
expected_n_plus_one,2025-06,19,-471.0,-1.0
expected_n_plus_one,2025-07,0,-682.0,-5.0
expected_n_plus_one,2025-07,1,-532.0,26.0
expected_n_plus_one,2025-07,2,-525.0,0.0
expected_n_plus_one,2025-07,3,-550.0,0.0
expected_n_plus_one,2025-07,4,-627.0,-3.0
expected_n_plus_one,2025-07,5,-530.0,0.0
expected_n_plus_one,2025-07,6,-532.0,0.0
expected_n_plus_one,2025-07,7,-359.0,-1.0
expected_n_plus_one,2025-07,8,-579.0,-13.0
expected_n_plus_one,2025-07,9,-511.0,40.0
expected_n_plus_one,2025-07,10,-681.0,23.0
expected_n_plus_one,2025-07,11,-673.0,66.0
expected_n_plus_one,2025-07,12,-620.0,0.0
expected_n_plus_one,2025-07,13,-593.0,3.0
expected_n_plus_one,2025-07,14,-648.0,-25.0
expected_n_plus_one,2025-07,15,-704.0,0.0
expected_n_plus_one,2025-07,16,-555.0,-5.0
expected_n_plus_one,2025-07,17,-482.0,-1.0
expected_n_plus_one,2025-07,18,-647.0,21.0
expected_n_plus_one,2025-07,19,-586.0,-1.0
expected_n_plus_one,2025-08,0,-785.0,44.0
expected_n_plus_one,2025-08,1,-598.0,0.0
expected_n_plus_one,2025-08,2,-744.0,-19.0
expected_n_plus_one,2025-08,3,-741.0,2.0
expected_n_plus_one,2025-08,4,-629.0,-6.0
expected_n_plus_one,2025-08,5,-618.0,0.0
expected_n_plus_one,2025-08,6,-809.0,2.0
expected_n_plus_one,2025-08,7,-703.0,-2.0
expected_n_plus_one,2025-08,8,-940.0,114.0
expected_n_plus_one,2025-08,9,-763.0,-17.0
expected_n_plus_one,2025-08,10,-793.0,2.0
expected_n_plus_one,2025-08,11,-735.0,1.0
expected_n_plus_one,2025-08,12,-812.0,5.0
expected_n_plus_one,2025-08,13,-702.0,-7.0
expected_n_plus_one,2025-08,14,-677.0,4.0
expected_n_plus_one,2025-08,15,-800.0,3.0
expected_n_plus_one,2025-08,16,-599.0,-3.0
expected_n_plus_one,2025-08,17,-679.0,-5.0
expected_n_plus_one,2025-08,18,-636.0,14.0
expected_n_plus_one,2025-08,19,-688.0,0.0
expected_n_plus_one,2025-09,0,-437.0,-1.0
expected_n_plus_one,2025-09,1,-510.0,0.0
expected_n_plus_one,2025-09,2,-551.0,0.0
expected_n_plus_one,2025-09,3,-539.0,0.0
expected_n_plus_one,2025-09,4,-470.0,8.0
expected_n_plus_one,2025-09,5,-441.0,0.0
expected_n_plus_one,2025-09,6,-550.0,-1.0
