policy,seed,crossed_health_limit,time_to_health_limit_h,final_elapsed_h,final_max_damage_pct,final_damage_range_pct,start_count,assignment_change_count,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,2026,True,1328.0,1328.0,9.354264031193258,2.46586603745107,2,0,6.888397993742188,9.354264031193258,7.482422824444445
health_greedy,2026,True,1717.0,1717.0,9.353671712599787,0.7257274802641174,36,34,8.62794423233567,9.353671712599787,9.350838676415941
fixed_pair,2027,True,1323.0,1323.0,9.355627521848469,2.4650582350219166,2,0,6.890569286826552,9.355627521848469,7.482422824444445
health_greedy,2027,True,1711.0,1711.0,9.355346757788258,0.7397848387513264,37,35,8.615561919036931,9.32832982297001,9.355346757788258
fixed_pair,2028,True,1329.0,1329.0,9.353400879562178,2.466578318325726,2,0,6.886822561236452,9.353400879562178,7.482422824444445
health_greedy,2028,True,1719.0,1719.0,9.354314431004333,0.7259541914579088,36,34,8.628360239546424,9.354314431004333,9.342689800027019
fixed_pair,2029,True,1326.0,1326.0,9.3556998169553,2.4680462304238118,2,0,6.887653586531488,9.3556998169553,7.482422824444445
health_greedy,2029,True,1699.0,1699.0,9.354791961864274,0.7586575583138497,33,31,8.596134403550424,9.298314677553359,9.354791961864274
fixed_pair,2030,True,1342.0,1342.0,9.35515219752528,2.449808139419236,2,0,6.905344058106044,9.35515219752528,7.482422824444445
health_greedy,2030,True,1732.0,1732.0,9.357321630634074,0.7231476553291767,36,34,8.634173975304897,9.357321630634074,9.33381826641591
fixed_pair,2031,True,1328.0,1328.0,9.353234853276566,2.467607803978824,2,0,6.885627049297742,9.353234853276566,7.482422824444445
health_greedy,2031,True,1702.0,1702.0,9.355204877095252,0.8016710543954293,35,33,8.553533822699823,9.26783003047002,9.355204877095252
fixed_pair,2032,True,1336.0,1336.0,9.35361304397823,2.4625662102821053,2,0,6.891046833696125,9.35361304397823,7.482422824444445
health_greedy,2032,True,1728.0,1728.0,9.353393235908266,0.7107902750247987,36,34,8.642602960883467,9.353393235908266,9.351925290027076
fixed_pair,2033,True,1342.0,1342.0,9.357156032108646,2.4655666073359352,2,0,6.891589424772711,9.357156032108646,7.482422824444445
health_greedy,2033,True,1731.0,1731.0,9.353061580535813,0.7347157699473854,37,35,8.618345810588428,9.340163090074977,9.353061580535813
fixed_pair,2034,True,1326.0,1326.0,9.356589706538692,2.4710437450071856,2,0,6.885545961531506,9.356589706538692,7.482422824444445
health_greedy,2034,True,1716.0,1716.0,9.355689700897496,0.7275895193893689,36,34,8.628100181508128,9.355689700897496,9.34092734336037
fixed_pair,2035,True,1330.0,1330.0,9.354335517514505,2.471086897117142,2,0,6.883248620397363,9.354335517514505,7.482422824444445
health_greedy,2035,True,1700.0,1700.0,9.353311313885708,0.7996350261743608,35,33,8.553676287711347,9.28015233755336,9.353311313885708
