strategy,switch_count,mean_dwell_s,median_dwell_s,minimum_dwell_s,fc_total_variation_kw
Constant,54,65.45454545454545,60.0,1,305.2366501957023
Instant,65,54.54545454545455,21.0,1,308.3885541965112
Perfect,52,67.9245283018868,60.0,1,296.8878554343032
Predicted_optimized,55,64.28571428571429,60.0,1,308.4903263396513
Predicted_original,166,21.55688622754491,15.0,1,756.772908870229
