baseline,soc_equivalent_h2_improvement_pct,soc_equivalent_proxy_improvement_pct,switch_improvement_pct,fc_variation_improvement_pct
Instant,-0.006443121696207467,-5.798575035136698,15.384615384615385,-0.033001271206458634
Constant,-0.06858305653670835,-2.298821599615637,-1.8518518518518519,-1.0659519890101388
Perfect,0.09472091743147808,-1.1283324623874862,-5.769230769230769,-3.9080314984172606
Predicted_original,-0.660087068702968,-7.327982233008705,66.86746987951807,59.23607693618548
