strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s,soc_deficit_kwh,soc_equivalent_recharge_s,soc_equivalent_h2_kg,soc_equivalent_proxy,clipped_share_pct
Instant,1,3600,0.7588664663239797,496.1393277184141,0.6118764521652483,-0.0881235478347516,33.134825676080965,65,308.3885541965112,8338.964553488184,1.1616618999978527,3.2605712698858103,292.0324006645636,0.9507576706005884,788.1717283829778,5.944444444444445
Constant,5,3600,0.8752866090771765,701.1777130886983,0.6656120248035438,-0.0343879751964562,33.41710754867128,54,305.2366501957023,10548.818592311238,3.344565499923192,1.2723550822688794,113.95822339615721,0.9501672753147188,815.1359364848555,5.944444444444445
Perfect,5,3600,0.8756240330284101,708.7621938125219,0.6650537266149602,-0.0349462733850397,33.53124535672914,52,296.8878554343032,10455.463357152892,3.4300073999911547,1.2930121152464706,115.80836634097446,0.9517204073755899,824.5705601534963,5.944444444444445
Predicted_original,5,3600,0.8351331588803985,610.3712828534952,0.6497361875791381,-0.0502638124208618,32.169213235925774,166,756.772908870229,7065.514724378274,6.10077929997351,1.859761059571889,166.56911992856752,0.9445838532062704,776.9404027820627,5.944444444444445
Predicted_optimized,5,3600,0.9282532898431608,799.5326134851975,0.6896370227301081,-0.0103629772698918,33.3698591919634,55,308.4903263396513,10331.09542288181,3.4206728000426665,0.38343015898599964,34.341843973801026,0.9508189290743412,833.8744574589986,5.944444444444445
