strategy,tier,count,proxy_sum,mean_fc_kw,share_pct,stack_power_kw,performance_loss_cost_normalized
Constant,0,234,0.0,0.0,6.5,0.0,0.0
Constant,1,419,4.713256483276261,3.4812811194420124,11.63888888888889,3.4812811194420124,0.0112488221557906
Constant,2,483,35.90087271544028,11.805932244129895,13.416666666666666,11.805932244129895,0.0743289290174747
Constant,3,663,81.3329985023568,15.46026775719654,18.416666666666668,15.460267757196538,0.1226742058859077
Constant,4,671,138.26527174699424,20.1833795237559,18.63888888888889,20.1833795237559,0.2060585271937321
Constant,5,708,210.11513739431234,24.1847225108308,19.666666666666668,24.1847225108308,0.2967727929298197
Constant,6,422,230.8501762463183,32.35539093375507,11.722222222222221,32.35539093375507,0.5470383323372472
Instant,0,125,0.0,0.0,3.4722222222222223,0.0,0.0
Instant,1,416,4.679510016808889,3.4812811194420124,11.555555555555555,3.4812811194420124,0.0112488221557906
Instant,2,453,33.67100484491604,11.805932244129895,12.583333333333334,11.805932244129895,0.0743289290174747
Instant,3,1311,160.825883916425,15.46026775719654,36.416666666666664,15.460267757196538,0.1226742058859077
Instant,4,963,198.434361687564,20.1833795237559,26.75,20.1833795237559,0.2060585271937321
Instant,5,332,98.52856725270013,24.1847225108308,9.222222222222221,24.1847225108308,0.2967727929298197
Perfect,0,319,0.0,0.0,8.86111111111111,0.0,0.0
Perfect,1,363,4.083322442551988,3.4812811194420124,10.083333333333334,3.4812811194420124,0.0112488221557906
Perfect,2,443,32.9277155547413,11.805932244129895,12.305555555555555,11.805932244129895,0.0743289290174747
Perfect,3,648,79.4928854140682,15.460267757196538,18.0,15.460267757196538,0.1226742058859077
Perfect,4,629,129.6108136048575,20.1833795237559,17.47222222222222,20.1833795237559,0.2060585271937321
Perfect,5,770,228.51505055596115,24.1847225108308,21.38888888888889,24.1847225108308,0.2967727929298197
Perfect,6,428,234.1324062403418,32.35539093375507,11.88888888888889,32.35539093375507,0.5470383323372472
Predicted_optimized,0,475,0.0,0.0,13.194444444444445,0.0,0.0
Predicted_optimized,1,302,3.397144291048761,3.481281119442012,8.38888888888889,3.4812811194420124,0.0112488221557906
Predicted_optimized,2,240,17.83894296419393,11.805932244129895,6.666666666666667,11.805932244129895,0.0743289290174747
Predicted_optimized,3,365,44.77608514835631,15.460267757196538,10.13888888888889,15.460267757196538,0.1226742058859077
Predicted_optimized,4,682,140.5319155461253,20.1833795237559,18.944444444444443,20.1833795237559,0.2060585271937321
Predicted_optimized,5,988,293.21151941466184,24.1847225108308,27.444444444444443,24.1847225108308,0.2967727929298197
Predicted_optimized,6,548,299.77700612081145,32.35539093375507,15.222222222222221,32.35539093375507,0.5470383323372472
Predicted_original,0,183,0.0,0.0,5.083333333333333,0.0,0.0
Predicted_original,1,503,5.6581575443626715,3.4812811194420124,13.972222222222221,3.4812811194420124,0.0112488221557906
Predicted_original,2,339,25.197506936923926,11.805932244129895,9.416666666666666,11.805932244129895,0.0743289290174747
Predicted_original,3,473,58.02489938403434,15.460267757196538,13.13888888888889,15.460267757196538,0.1226742058859077
Predicted_original,4,1128,232.43401867452982,20.1833795237559,31.333333333333332,20.1833795237559,0.2060585271937321
Predicted_original,5,974,289.05670031364434,24.184722510830795,27.055555555555557,24.1847225108308,0.2967727929298197
