strategy,cost_hydrogen,cost_proxy,cost_battery,cost_soc,cost_switch,cost_smooth,internal_objective_sum
Constant,399.6202702702701,2454.1219958104434,1503.7698396902076,6180.487500151169,1.6199999999999999,9.198986389147274,10548.818592311238
Instant,519.7013513513511,1240.348319296035,1491.0671554236433,5078.249735404723,6.5,3.097992012431074,8338.964553488184
Perfect,399.77432432432414,2480.6676783438265,1508.906041052811,6055.607936570431,1.56,8.947376861501581,10455.463357152894
Predicted_optimized,423.8027027027025,2798.3641471981914,1501.643663638353,5596.337866175031,1.65,9.297043167531161,10331.09542288181
Predicted_original,571.9317567567565,1525.9282071337377,1447.6145956166597,3495.837819080393,16.6,7.602345790726888,7065.514724378274
