regime,n,action_difference_rate,mean_absolute_tier_difference,proxy_difference_sum
Braking,661,0.6111951588502269,0.9092284417549168,25.037525515697943
High power,277,0.6859205776173285,1.0180505415162455,2.0808000195478837
Idle/low,1273,0.5616653574234093,0.786331500392773,11.756536492997029
Large ramp,238,0.6722689075630253,1.0588235294117647,5.973507069539487
Normal,1151,0.5760208514335361,0.8514335360556038,45.92205057489334
