stride_s,state,normalized_level,mapped_single_stack_kw,occupancy_count,occupancy_fraction
1,0,0.41428571428571426,16.57142857142857,45154,0.45086820637250496
1,1,0.5857142857142856,23.428571428571423,41833,0.4177076156526775
1,2,0.8285714285714285,33.14285714285714,13162,0.13142417797481754
1,3,1.0,40.0,0,0.0
5,0,0.41428571428571426,16.57142857142857,9036,0.45107827476038337
5,1,0.5857142857142856,23.428571428571423,8363,0.4174820287539936
5,2,0.8285714285714285,33.14285714285714,2633,0.131439696485623
5,3,1.0,40.0,0,0.0
10,0,0.41428571428571426,16.57142857142857,4520,0.45132301547678483
10,1,0.5857142857142856,23.428571428571423,4178,0.41717423864203695
10,2,0.8285714285714285,33.14285714285714,1317,0.13150274588117825
10,3,1.0,40.0,0,0.0
30,0,0.41428571428571426,16.57142857142857,1514,0.4530221424296828
30,1,0.5857142857142856,23.428571428571423,1390,0.41591861160981447
30,2,0.8285714285714285,33.14285714285714,438,0.1310592459605027
30,3,1.0,40.0,0,0.0
60,0,0.41428571428571426,16.57142857142857,757,0.4527511961722488
60,1,0.5857142857142856,23.428571428571423,696,0.41626794258373206
60,2,0.8285714285714285,33.14285714285714,219,0.13098086124401914
60,3,1.0,40.0,0,0.0
