strategy,n_seeds,all_power_balanced,total_hydrogen_g_mean,total_hydrogen_g_std,total_hydrogen_g_ci95,hydrogen_g_per_net_kwh_mean,hydrogen_g_per_net_kwh_std,hydrogen_g_per_net_kwh_ci95,energy_weighted_efficiency_lhv_pct_mean,energy_weighted_efficiency_lhv_pct_std,energy_weighted_efficiency_lhv_pct_ci95,total_stack_state_changes_mean,total_stack_state_changes_std,total_stack_state_changes_ci95,total_evaluated_objective_g_mean,total_evaluated_objective_g_std,total_evaluated_objective_g_ci95
average,10,True,1185.3883417900413,78.52487886592112,48.67022416020557,67.59187833611774,0.7100549909968071,0.44009664296197154,44.388425868441445,0.46489547646642,0.2881452015904465,2.0,0.0,0.0,1185.6266177831783,78.52487886592112,48.67022416020557
daisy_chain,10,True,1359.9177490140523,91.90953788396008,56.966121767741875,77.53705083703515,0.7926367840035229,0.4912813685576816,38.694827229815225,0.39641788335531,0.2457023496586433,30.7,3.4334951418181574,2.128102336720571,1363.5752855087042,92.13957878947969,57.10870259816598
instantaneous,10,True,1178.5369775920146,78.3163911341477,48.54100212527074,67.20015695660601,0.6886178945034324,0.4268097928993564,44.646961015034414,0.4563051090739555,0.2828208367184719,21.6,5.399588461684424,3.346699601431569,1181.1103583178938,78.0408307498111,48.370208029577384
sticky,10,True,1182.2192999469025,77.87758926233882,48.269029907404324,67.41244657932518,0.6873881352690706,0.42604758022913164,44.50631978368021,0.4524605875445795,0.2804379775873811,2.0,0.0,0.0,1182.4575759400395,77.87758926233882,48.269029907404324
one_step_greedy,10,True,1182.2192999469025,77.87758926233882,48.269029907404324,67.41244657932518,0.6873881352690706,0.42604758022913164,44.50631978368021,0.4524605875445795,0.2804379775873811,2.0,0.0,0.0,1182.4575759400395,77.87758926233882,48.269029907404324
break_even_hysteresis,10,True,1180.8255670273675,77.94830931519004,48.31286265028277,67.3323613280653,0.6827168501733281,0.423152287730633,44.55921146250083,0.4507087526260201,0.2793521790556375,12.2,4.565571644870381,2.829770622820474,1182.2790505855028,77.70698362967549,48.163287440753784
offline_dp,10,True,1179.3707685993918,78.22391580224298,48.48368532073575,67.24818902213401,0.6872854394355268,0.4259839286920509,44.615049702956625,0.4547779330931688,0.28187428323898317,12.2,4.565571644870381,2.829770622820474,1180.824252157527,77.97934320153915,48.33209765232272
