template_id,template_source,source_seed,segment_id,start_offset,start_timestamp,end_timestamp,raw_power_mean_kw,raw_power_max_kw,positive_share,duration_h,role_0_source_stack,role_1_source_stack,role_0_continuous_mean_pct,role_1_continuous_mean_pct,role_0_load_shift_damage_pct,role_1_load_shift_damage_pct,role_0_operational_start_damage_pct,role_1_operational_start_damage_pct,internal_start_count,tracking_mae_kw,tracking_max_abs_kw,tracking_within_tolerance_share,constraint_violation_steps,safety_override_steps,planning_runtime_s
empirical_markov_1s_021,empirical_markov_1s,2047,-1,-1,,,,,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.0,0.0,0,0.1034670345965668,0.1034676210353069,1.0,0,0,15.019419498275964
empirical_markov_1s_022,empirical_markov_1s,2048,-1,-1,,,,,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.0,0.0,0,0.1034670345965668,0.1034676210353069,1.0,0,0,14.996068802429363
empirical_markov_1s_023,empirical_markov_1s,2049,-1,-1,,,,,1.0,0.0833333333333333,1,0,0.0001666666666666,0.000105,0.0,0.0,0.0,0.0,0,1.2884304544316263,1.288430809423673,1.0,0,0,13.348040197743105
real_calibration_window_000,real_calibration_window,2026,5,11651,2025-05-17 16:13:41,2025-05-17 16:18:40,31.16356508333333,31.2156,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.5249652390329009,0.6330404972338926,1.0,0,0,5.972451500594616
real_calibration_window_001,real_calibration_window,2026,0,1535,2025-05-17 08:35:49,2025-05-17 08:40:48,19.570924863425923,23.788100000000004,1.0,0.0833333333333333,1,0,0.0001666666666666,0.0001635833333333,0.000593,0.0005336999999999,0.00011270215229804732,0.00011270215229804732,0,0.9739463338406724,4.7807826590081,1.0,0,0,5.570741101168096
real_calibration_window_002,real_calibration_window,2026,13,8796,2025-05-19 13:52:52,2025-05-19 13:57:51,23.16496808333333,23.2288,1.0,0.0833333333333333,1,0,0.0002095416666666,0.0001666666666666,0.0007708999999999,0.0007708999999999,0.00011270215229804732,0.00011270215229804732,0,0.6982572859017485,1.022644990938076,1.0,0,0,3.903509501367808
real_calibration_window_003,real_calibration_window,2026,8,106,2025-05-18 13:28:34,2025-05-18 13:33:33,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,6.773933202726767
real_calibration_window_004,real_calibration_window,2026,10,7275,2025-05-19 09:57:54,2025-05-19 10:02:53,11.51778475,11.61,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.06477566738925,0.1412540223063096,1.0,0,0,14.825352099724114
real_calibration_window_005,real_calibration_window,2026,7,13469,2025-05-18 09:33:17,2025-05-18 09:38:16,11.59883,11.61,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.1205897880863587,0.1412540075830683,1.0,0,0,14.54280889686197
real_calibration_window_006,real_calibration_window,2026,8,9370,2025-05-18 16:02:58,2025-05-18 16:07:57,23.186928416666667,23.2169,1.0,0.0833333333333333,1,0,0.0001911666666666,0.0001666666666666,0.0004744,0.0004744,0.00011270215229804732,0.00011270215229804732,0,0.6453956845360356,0.9732104702541022,1.0,0,0,7.168785597197712
