scenario_id,policy,month,seeds,first_boundary_gain_mean_h,second_boundary_gain_mean_h,second_boundary_nonworse_share
reference,guarded_blend,2026-05,20,150.2,11.25,0.8
reference,guarded_blend,2026-06,20,24.0,-1.15,0.95
reference,order_blend_50,2025-06,20,47.9,-0.45,0.9
reference,order_blend_50,2025-07,20,110.2,5.55,0.8
reference,order_blend_50,2025-08,20,132.25,14.55,0.9
reference,order_blend_50,2025-09,20,58.8,3.65,0.95
reference,order_blend_50,2025-10,20,18.05,-0.05,0.95
reference,order_blend_50,2025-11,20,64.75,0.1,0.85
reference,order_blend_50,2025-12,20,99.95,11.8,0.9
reference,order_blend_50,2026-01,20,151.95,7.45,0.95
reference,order_blend_50,2026-02,20,33.15,0.0,0.95
reference,order_blend_50,2026-03,20,19.35,0.2,1.0
reference,order_blend_50,2026-04,20,13.35,0.1,0.95
reference,order_blend_50,2026-05,20,150.2,11.25,0.8
reference,order_blend_50,2026-06,20,24.0,-1.15,0.95
