scenario_id,policy,months,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_better_months,second_boundary_tied_months,second_boundary_worse_months,seed_level_nonworse_share
reference,order_blend_50,13,71.06923076923076,46.147721124596515,100.70564938491461,4.076923076923077,1.6086260403035757,7.40644662577481,9,1,3,0.9115384615384615
reference,guarded_blend,13,71.06923076923076,46.65384615384615,101.03141951046779,4.076923076923077,1.646153846153846,7.475686794218102,9,1,3,0.9115384615384615
heterogeneity_gp_re_increased_perm_2,order_blend_50,13,50.77307692307692,41.673076923076934,64.53861908781063,1.1615384615384614,-2.026923076923077,5.0092041141305,7,0,6,0.7
heterogeneity_gp_re_increased_perm_2,guarded_blend,13,50.77307692307692,41.707551774723164,64.32318055669136,1.1615384615384614,-1.9653846153846157,5.118090367633396,7,0,6,0.7
heterogeneity_gp_re_increased_perm_3,order_blend_50,13,346.6461538461538,288.5573394831268,419.5023548040565,-3.5230769230769234,-9.065384615384616,3.8133563246543276,3,0,10,0.4461538461538462
heterogeneity_gp_re_increased_perm_3,guarded_blend,13,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,1.0
