scenario_id,month,local_seed,policy,first_boundary_gain_h,second_boundary_gain_h
heterogeneity_gp_re_increased_perm_2,2025-10,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,3,guarded_blend,87.0,7.0
heterogeneity_gp_re_increased_perm_2,2025-10,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,5,guarded_blend,5.0,-2.0
heterogeneity_gp_re_increased_perm_2,2025-10,6,guarded_blend,45.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,7,guarded_blend,73.0,-2.0
heterogeneity_gp_re_increased_perm_2,2025-10,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,9,guarded_blend,23.0,-3.0
heterogeneity_gp_re_increased_perm_2,2025-10,10,guarded_blend,73.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,11,guarded_blend,132.0,37.0
heterogeneity_gp_re_increased_perm_2,2025-10,12,guarded_blend,147.0,29.0
heterogeneity_gp_re_increased_perm_2,2025-10,13,guarded_blend,40.0,-18.0
heterogeneity_gp_re_increased_perm_2,2025-10,14,guarded_blend,20.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,15,guarded_blend,9.0,-11.0
heterogeneity_gp_re_increased_perm_2,2025-10,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-10,17,guarded_blend,66.0,-39.0
heterogeneity_gp_re_increased_perm_2,2025-10,18,guarded_blend,77.0,-1.0
heterogeneity_gp_re_increased_perm_2,2025-10,19,guarded_blend,27.0,2.0
heterogeneity_gp_re_increased_perm_2,2025-11,0,guarded_blend,67.0,-9.0
heterogeneity_gp_re_increased_perm_2,2025-11,1,guarded_blend,39.0,-6.0
heterogeneity_gp_re_increased_perm_2,2025-11,2,guarded_blend,45.0,10.0
heterogeneity_gp_re_increased_perm_2,2025-11,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,4,guarded_blend,24.0,-1.0
heterogeneity_gp_re_increased_perm_2,2025-11,5,guarded_blend,25.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,6,guarded_blend,49.0,4.0
heterogeneity_gp_re_increased_perm_2,2025-11,7,guarded_blend,23.0,-4.0
heterogeneity_gp_re_increased_perm_2,2025-11,8,guarded_blend,22.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,9,guarded_blend,2.0,2.0
heterogeneity_gp_re_increased_perm_2,2025-11,10,guarded_blend,92.0,3.0
heterogeneity_gp_re_increased_perm_2,2025-11,11,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,13,guarded_blend,80.0,19.0
heterogeneity_gp_re_increased_perm_2,2025-11,14,guarded_blend,34.0,-5.0
heterogeneity_gp_re_increased_perm_2,2025-11,15,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-11,16,guarded_blend,63.0,15.0
heterogeneity_gp_re_increased_perm_2,2025-11,17,guarded_blend,50.0,-11.0
heterogeneity_gp_re_increased_perm_2,2025-11,18,guarded_blend,35.0,-64.0
heterogeneity_gp_re_increased_perm_2,2025-11,19,guarded_blend,77.0,11.0
heterogeneity_gp_re_increased_perm_2,2025-12,0,guarded_blend,0.0,-95.0
heterogeneity_gp_re_increased_perm_2,2025-12,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,2,guarded_blend,72.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,5,guarded_blend,78.0,-20.0
heterogeneity_gp_re_increased_perm_2,2025-12,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,7,guarded_blend,2.0,1.0
heterogeneity_gp_re_increased_perm_2,2025-12,8,guarded_blend,142.0,12.0
heterogeneity_gp_re_increased_perm_2,2025-12,9,guarded_blend,19.0,-78.0
heterogeneity_gp_re_increased_perm_2,2025-12,10,guarded_blend,79.0,-2.0
heterogeneity_gp_re_increased_perm_2,2025-12,11,guarded_blend,47.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,12,guarded_blend,44.0,-22.0
heterogeneity_gp_re_increased_perm_2,2025-12,13,guarded_blend,10.0,1.0
heterogeneity_gp_re_increased_perm_2,2025-12,14,guarded_blend,141.0,6.0
heterogeneity_gp_re_increased_perm_2,2025-12,15,guarded_blend,5.0,-64.0
heterogeneity_gp_re_increased_perm_2,2025-12,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,17,guarded_blend,125.0,34.0
heterogeneity_gp_re_increased_perm_2,2025-12,18,guarded_blend,18.0,0.0
heterogeneity_gp_re_increased_perm_2,2025-12,19,guarded_blend,65.0,-24.0
heterogeneity_gp_re_increased_perm_2,2026-01,0,guarded_blend,0.0,-13.0
heterogeneity_gp_re_increased_perm_2,2026-01,1,guarded_blend,58.0,-22.0
heterogeneity_gp_re_increased_perm_2,2026-01,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-01,3,guarded_blend,27.0,-16.0
heterogeneity_gp_re_increased_perm_2,2026-01,4,guarded_blend,-40.0,-75.0
heterogeneity_gp_re_increased_perm_2,2026-01,5,guarded_blend,0.0,2.0
heterogeneity_gp_re_increased_perm_2,2026-01,6,guarded_blend,179.0,53.0
heterogeneity_gp_re_increased_perm_2,2026-01,7,guarded_blend,66.0,59.0
heterogeneity_gp_re_increased_perm_2,2026-01,8,guarded_blend,221.0,81.0
heterogeneity_gp_re_increased_perm_2,2026-01,9,guarded_blend,65.0,0.0
