engine,three_day_files,rows,matched_target_rows,target_fc_corr,target_fc_mae_kW,target_fc_rmse_kW,target_dcdc_corr,target_dcdc_mae_kW,target_dcdc_rmse_kW,median_target_to_fc_ratio_when_fc_gt1,stack_sum_fc_corr,stack_sum_fc_mae_kW,hydrogen_rate_nonmissing_pct,speed_nonmissing_pct,soc_nonmissing_pct,effective_sections_per_stack
三号发动机,三号发动机_20200817000000_20200817235959.xlsx | 三号发动机_20200818000000_20200818235959.xlsx | 三号发动机_20200819000000_20200819235959.xlsx,153109,153109,0.9889202292821145,0.9839741621981722,1.3955482594724737,0.9852001944127392,0.5884363427362208,1.2525480499014199,0.949367088607595,0.9999864690660843,0.047605153440083786,100.0,100.0,100.0,70.00470636847736
四号发动机,四号发动机_20211225050000_20211225220000.xlsx | 四号发动机_20211226050000_20211226220000.xlsx | 四号发动机_20211227050000_20211227220000.xlsx,158377,158377,0.9833904154007395,0.8218036709875802,2.017898374826486,0.9825672284249959,0.5025350903224586,2.0700570585344527,0.9656652360515021,0.9999821263768829,0.05126309011550627,100.0,100.0,100.0,69.85691496571451
五号发动机,五号发动机_20210911000000_20210911235959.xlsx | 五号发动机_20210912000000_20210912235959.xlsx | 五号发动机_20210913000000_20210913235959.xlsx,167946,167946,0.9862984897932888,0.9132935586438502,1.3415710626188804,0.984523203635749,0.49497636144951346,1.3374525449586294,0.935251798561151,0.9999886834110872,0.04390685455970707,100.0,100.0,100.0,54.83573843357577
