scenario,load_source,load_seed,strategy,power_interface,health_seed,n_steps,hydrogen_g,fc_energy_kwh,hydrogen_g_per_fc_kwh,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,main_ramp_damage_pct,main_shift_damage_pct,main_start_stop_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,soc_metrics_applicable,fc_tracking_mae_kw,fc_tracking_rmse_kw,fc_tracking_bias_kw,fc_tracking_max_abs_kw,fc_tracking_within_tolerance_share,online_stack_count_mean,online_stack_count_max,online_step_range,total_switch_count,total_load_shift_count,constraint_violation_steps,safety_override_steps,planning_runtime_s,planning_runtime_mean_ms,planning_runtime_max_ms,planning_expanded_nodes,planning_feasible_candidates,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_2_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,stack_0_main_continuous_damage_pct,stack_1_main_continuous_damage_pct,stack_2_main_continuous_damage_pct,stack_0_main_shift_damage_pct,stack_1_main_shift_damage_pct,stack_2_main_shift_damage_pct,stack_0_main_start_stop_damage_pct,stack_1_main_start_stop_damage_pct,stack_2_main_start_stop_damage_pct,stack_0_online_steps,stack_1_online_steps,stack_2_online_steps,stack_0_switch_count,stack_1_switch_count,stack_2_switch_count,stack_0_load_shift_count,stack_1_load_shift_count,stack_2_load_shift_count,stack_0_max_consecutive_online_steps,stack_1_max_consecutive_online_steps,stack_2_max_consecutive_online_steps,stack_0_max_consecutive_off_steps,stack_1_max_consecutive_off_steps,stack_2_max_consecutive_off_steps,max_stack_damage_increment_pct,mean_stack_damage_increment_pct,min_stack_damage_increment_pct,final_max_damage_pct,pair_seed
empirical_random_1s_pair_2026,empirical_random_1s,2026,average,fc_only,42026,180,38.35977550864237,0.8090728229336378,47.4120183267962,,0.004223000000000002,0.004223000000000002,0.0,0.00020499999999999994,0.0002050000000000001,0.004018,0.0,0.0,0.004018,0.004223000000000002,0.004223000000000002,0.0,0.5807143491291218,13.632789800043057,0.6635939631491647,0.5807143491291218,0.0,38.35977550864237,0.0,,,,False,0.389972112755813,0.38997211275587457,-0.389972112755813,0.38997249023065805,1.0,2.0,2,180,2,0,0,0,39.72036600089632,220.66870000497957,312.08070018328726,9144,512,0.38997249023065805,0,0.0,0,180,4.054386696574066,6.545059971388889,0.002162999999975046,2,0.0,0.0,10800.0,10800.0,0.0,0.9373628530555562,3.7433744122221975,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,0,0,180,180,0,0,0,180,0.002162999999975046,0.0014076666666585542,0.0,7.482422824444445,2026
empirical_random_1s_pair_2026,empirical_random_1s,2026,daisy_chain,fc_only,42026,180,38.35977550864237,0.8080638162368373,47.47122038861274,,0.014517999999999998,0.014517999999999998,0.0,0.00021,0.00021000000000000017,0.014307999999999998,0.0,0.0,0.014307999999999998,0.014517999999999998,0.014517999999999998,0.0,1.4360030438660423,15.941400773755205,2.281330134264638,1.4360030438660423,0.0,38.35977550864237,0.0,,,,False,0.4101522466918232,0.4104223936588012,-0.4101522466918232,0.4254785480750698,1.0,2.0,2,0,12,0,0,0,3.9906318003777415,22.17017666876523,72.42680015042424,948,180,0.4254785480750698,0,0.0,0,180,4.057818363240734,6.545558638055549,0.001760666666683175,2,0.3333333333333333,0.3333333333333333,7200.0,7200.0,7200.0,0.9412495197222226,3.7453974122222062,7.486808157777771,6.666666666666667e-05,7.000000000000001e-05,7.333333333333336e-05,0.0,0.0,0.0,0.00588,0.004116,0.004312,120,120,120,5,4,3,0,0,0,60,60,60,30,30,30,0.005946666666666989,0.00483933333332572,0.004185999999983814,7.486808157777771,2026
empirical_random_1s_pair_2026,empirical_random_1s,2026,rotating,fc_only,42026,180,38.35977550864237,0.8090728229336378,47.4120183267962,,0.004223000000000002,0.004223000000000002,0.0,0.00020499999999999994,0.0002050000000000001,0.004018,0.0,0.0,0.004018,0.004223000000000002,0.004223000000000002,0.0,0.5807143491291218,13.632789800043057,0.6635939631491647,0.5807143491291218,0.0,38.35977550864237,0.0,,,,False,0.389972112755813,0.38997211275587457,-0.389972112755813,0.38997249023065805,1.0,2.0,2,180,2,0,0,0,200.49187470134348,1113.843748340797,1616.2650999613106,45000,7484,0.38997249023065805,0,0.0,0,180,4.054386696574066,6.545059971388889,0.002162999999975046,2,0.0,0.0,10800.0,10800.0,0.0,0.9373628530555562,3.7433744122221975,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,0,0,180,180,0,0,0,180,0.002162999999975046,0.0014076666666585542,0.0,7.482422824444445,2026
empirical_random_1s_pair_2026,empirical_random_1s,2026,instant_no_health,fc_only,42026,180,38.35977550864237,0.8090728229336378,47.4120183267962,,0.004223000000000002,0.004223000000000002,0.0,0.00020499999999999994,0.0002050000000000001,0.004018,0.0,0.0,0.004018,0.004223000000000002,0.004223000000000002,0.0,0.5807143491291218,13.632789800043057,0.6635939631491647,0.5807143491291218,0.0,38.35977550864237,0.0,,,,False,0.389972112755813,0.38997211275587457,-0.389972112755813,0.38997249023065805,1.0,2.0,2,180,2,0,0,0,40.56680340273306,225.37113001518367,328.58109986409545,8978,7484,0.38997249023065805,0,0.0,0,180,4.054386696574066,6.545059971388889,0.002162999999975046,2,0.0,0.0,10800.0,10800.0,0.0,0.9373628530555562,3.7433744122221975,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,0,0,180,180,0,0,0,180,0.002162999999975046,0.0014076666666585542,0.0,7.482422824444445,2026
empirical_random_1s_pair_2026,empirical_random_1s,2026,instant_health,fc_only,42026,180,38.35977550864237,0.8090728229336378,47.4120183267962,,0.004223000000000002,0.004223000000000002,0.0,0.00020499999999999994,0.0002050000000000001,0.004018,0.0,0.0,0.004018,0.004223000000000002,0.004223000000000002,0.0,0.5807143491291218,13.632789800043057,0.6635939631491647,0.5807143491291218,0.0,38.35977550864237,0.0,,,,False,0.389972112755813,0.38997211275587457,-0.389972112755813,0.38997249023065805,1.0,2.0,2,180,2,0,0,0,40.73519250261597,226.30662501453318,331.03110012598336,8978,7484,0.38997249023065805,0,0.0,0,180,4.054386696574066,6.545059971388889,0.002162999999975046,2,0.0,0.0,10800.0,10800.0,0.0,0.9373628530555562,3.7433744122221975,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,0,0,180,180,0,0,0,180,0.002162999999975046,0.0014076666666585542,0.0,7.482422824444445,2026
zuo_slow_random_30s_pair_2026,zuo_slow_random_30s,2026,average,fc_only,42026,180,41.5564234676959,0.872529543175554,47.62752595912354,,0.0043445650000000025,0.0043445650000000025,0.0,0.00020499999999999994,0.0002050000000000001,0.0041395649999999996,0.0,0.00012156499999999999,0.004018,0.0043445650000000025,0.0043445650000000025,0.0,0.6679566626633896,14.365484996940836,0.6826964495640897,0.6679566626633896,0.0,41.5564234676959,0.0,,,,False,0.3862585650453143,0.3863478082046947,-0.26369485077463306,0.38997236370188304,1.0,2.0,2,180,2,2,0,0,36.286470199236646,201.59150110687028,325.94110001809895,8388,484,0.38997236370188304,0,0.0,0,180,4.054427218240733,6.545000671388888,0.0022252649999749963,2,0.0,0.0,11700.0,11700.0,0.0,0.9374221530555562,3.7434366772221974,7.482422824444445,9.999999999999999e-05,0.000105,0.0,5.93e-05,6.2265e-05,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,1,1,0,180,180,0,0,0,180,0.0022252649999749963,0.0014481883333251992,0.0,7.482422824444445,2026
zuo_slow_random_30s_pair_2026,zuo_slow_random_30s,2026,daisy_chain,fc_only,42026,180,41.5564234676959,0.8713195920765628,47.6936635484771,,0.014583229999999999,0.014583229999999999,0.0,0.00021,0.00021000000000000017,0.014373229999999999,0.0,6.523e-05,0.014307999999999998,0.014583229999999999,0.014583229999999999,0.0,1.6935767100159627,16.580524787704654,2.291580248926305,1.6935767100159627,0.0,41.5564234676959,0.0,,,,False,0.39406907256179724,0.3957887377317477,-0.28789387275445505,0.4254785480750698,1.0,2.0,2,0,12,1,0,0,4.025941801490262,22.36634334161257,72.34190008603036,948,180,0.4254785480750698,0,0.0,0,180,4.057840106574067,6.545623868055548,0.001760666666683175,2,0.34615384615384615,0.34615384615384615,8100.0,7200.0,8100.0,0.9412495197222226,3.7453974122222062,7.486873387777771,6.666666666666667e-05,7.000000000000001e-05,7.333333333333336e-05,0.0,0.0,6.523e-05,0.00588,0.004116,0.004312,120,120,120,5,4,3,0,0,1,60,60,60,30,30,30,0.005946666666666989,0.004861076666658952,0.004185999999983814,7.486873387777771,2026
zuo_slow_random_30s_pair_2026,zuo_slow_random_30s,2026,rotating,fc_only,42026,180,41.5564234676959,0.8716563948535843,47.67523500435777,,0.0042852650000000025,0.0042852650000000025,0.0,0.00020499999999999994,0.0002050000000000001,0.004080265,0.0,6.2265e-05,0.004018,0.0042852650000000025,0.0042852650000000025,0.0,0.7666788112176561,14.201127638484358,0.6733781635080287,0.7666788112176561,0.0,41.5564234676959,0.0,,,,False,0.3687955986059229,0.37182308146721577,-0.28115781721402433,0.38997236370188304,1.0,2.0,2,180,2,1,0,0,185.10786290257238,1028.377016125402,1568.1324999313802,41472,7130,0.38997236370188304,0,0.0,0,180,4.054407451574066,6.545059971388889,0.0022252649999749963,2,0.0,0.0,10800.0,12600.0,0.0,0.9373628530555562,3.7434366772221974,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,6.2265e-05,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,1,0,180,180,0,0,0,180,0.0022252649999749963,0.0014284216666585376,0.0,7.482422824444445,2026
zuo_slow_random_30s_pair_2026,zuo_slow_random_30s,2026,instant_no_health,fc_only,42026,180,41.5564234676959,0.8716563948535843,47.67523500435777,,0.0042852650000000025,0.0042852650000000025,0.0,0.00020499999999999994,0.0002050000000000001,0.004080265,0.0,6.2265e-05,0.004018,0.0042852650000000025,0.0042852650000000025,0.0,0.7666788112176561,14.201127638484358,0.6733781635080287,0.7666788112176561,0.0,41.5564234676959,0.0,,,,False,0.3687955986059229,0.37182308146721577,-0.28115781721402433,0.38997236370188304,1.0,2.0,2,180,2,1,0,0,38.25813029962592,212.54516833125513,330.07790008559823,8450,7130,0.38997236370188304,0,0.0,0,180,4.054407451574066,6.545059971388889,0.0022252649999749963,2,0.0,0.0,10800.0,12600.0,0.0,0.9373628530555562,3.7434366772221974,7.482422824444445,9.999999999999999e-05,0.000105,0.0,0.0,6.2265e-05,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,0,1,0,180,180,0,0,0,180,0.0022252649999749963,0.0014284216666585376,0.0,7.482422824444445,2026
zuo_slow_random_30s_pair_2026,zuo_slow_random_30s,2026,instant_health,fc_only,42026,180,41.5564234676959,0.8718526827769598,47.66450145606422,,0.004282300000000002,0.004282300000000002,0.0,0.00020499999999999994,0.0002050000000000001,0.0040773,0.0,5.93e-05,0.004018,0.004282300000000002,0.004282300000000002,0.0,0.6002945421054693,14.19946748561766,0.6729122492052256,0.6002945421054693,0.0,41.5564234676959,0.0,,,,False,0.37272135707343307,0.37471207875285323,-0.2772320587465143,0.38997236370188304,1.0,2.0,2,180,2,1,0,0,38.06240730220452,211.45781834558068,340.1839002035558,8450,7130,0.38997236370188304,0,0.0,0,180,4.054406463240732,6.545000671388888,0.002162999999975046,2,0.0,0.0,12600.0,10800.0,0.0,0.9374221530555562,3.7433744122221975,7.482422824444445,9.999999999999999e-05,0.000105,0.0,5.93e-05,0.0,0.0,0.00196,0.002058,0.0,180,180,0,1,1,0,1,0,0,180,180,0,0,0,180,0.002162999999975046,0.0014274333333252158,0.0,7.482422824444445,2026
