load_source,strategy,n_pairs,zero_violation_share,tracking_within_tolerance_share,max_stack_damage_increment_pct_mean,max_stack_damage_increment_pct_std,max_stack_damage_increment_pct_ci95,main_expected_damage_increment_pct_mean,main_expected_damage_increment_pct_std,main_expected_damage_increment_pct_ci95,damage_increment_range_pct_mean,damage_increment_range_pct_std,damage_increment_range_pct_ci95,hydrogen_g_per_fc_kwh_mean,hydrogen_g_per_fc_kwh_std,hydrogen_g_per_fc_kwh_ci95,fc_tracking_mae_kw_mean,fc_tracking_mae_kw_std,fc_tracking_mae_kw_ci95,total_switch_count_mean,total_switch_count_std,total_switch_count_ci95,online_step_range_mean,online_step_range_std,online_step_range_ci95,mean_stack_damage_increment_pct_mean,mean_stack_damage_increment_pct_std,mean_stack_damage_increment_pct_ci95,final_max_damage_pct_mean,final_max_damage_pct_std,final_max_damage_pct_ci95,planning_runtime_s_mean,planning_runtime_s_std,planning_runtime_s_ci95
empirical_random_1s,average,10,1.0,1.0,0.0021835999999778367,4.342861320552887e-05,2.691733333697973e-05,0.004264200000000001,8.685722639928984e-05,5.3834666666665645e-05,0.0021835999999778367,4.342861320552887e-05,2.691733333697973e-05,47.63002706605454,0.45960277725206666,0.2848647526308886,0.37160089018931525,0.03872993780801126,0.024005064153557,2.0,0.0,0.0,180.0,0.0,0.0,0.0014213999999911132,2.895240879813105e-05,1.794488888787688e-05,7.482876024444442,0.0009554294903875679,0.0005921813333304584,40.29019900993444,1.8693817470626037,1.1586548108642711
empirical_random_1s,daisy_chain,10,1.0,1.0,0.005946666666666989,0.0,0.0,0.014517999999999998,0.0,0.0,0.001760666666683175,0.0,0.0,47.6651433619311,0.4088255242120572,0.2533926851359934,0.3937428641220905,0.03459401594494805,0.02144159322445071,12.0,0.0,0.0,0.0,0.0,0.0,0.004839333333325721,9.14279549108516e-19,5.66676335485757e-19,7.486808157777771,0.0,0.0,5.408054820285178,0.5023389330786655,0.3113528964378665
empirical_random_1s,rotating,10,1.0,1.0,0.002248829999977531,0.00018094552772007297,0.00011215120000324673,0.004368130000000002,0.00030596090454682403,0.00018963653333333295,0.002248829999977531,0.00018094552772007297,0.00011215120000324673,47.73497902058732,0.6808609247254143,0.42200197322038935,0.3642770709473527,0.05416990445865767,0.03357485462972145,2.0,0.0,0.0,180.0,0.0,0.0,0.001456043333326044,0.00010198696818401001,6.321217777885323e-05,7.482941254444443,0.001092946404902112,0.0006774151999967253,173.836256800103,35.48255693593018,21.992316636332333
empirical_random_1s,instant_no_health,10,1.0,1.0,0.0021835999999778367,4.342861320552887e-05,2.691733333697973e-05,0.004264200000000001,8.685722639928984e-05,5.3834666666665645e-05,0.0021835999999778367,4.342861320552887e-05,2.691733333697973e-05,47.682200257470335,0.5695935223679783,0.35303772274753165,0.3462148632187193,0.09224838178770974,0.05717613939513577,2.0,0.0,0.0,180.0,0.0,0.0,0.0014213999999911132,2.895240879813105e-05,1.794488888787688e-05,7.482876024444442,0.0009554294903875679,0.0005921813333304584,42.39750182088464,3.5661995906736887,2.2103534062686485
empirical_random_1s,instant_health,10,1.0,1.0,0.002162999999975046,0.0,0.0,0.004223000000000003,9.14279549108516e-19,5.66676335485757e-19,0.002162999999975046,0.0,0.0,47.63479123181324,0.46964652055079176,0.29108992922226135,0.3692714555624503,0.04364081719558313,0.02704885873266058,2.0,0.0,0.0,180.0,0.0,0.0,0.0014076666666585544,2.28569887277129e-19,1.4166908387143924e-19,7.482422824444444,9.362222582871203e-16,5.802765675374151e-16,42.42359707003925,3.8869584901435275,2.409161831879007
zuo_slow_random_30s,average,10,1.0,1.0,0.0022968629999776447,7.158679445673361e-05,4.436995489122448e-05,0.004485389000000002,0.00014137623709646263,8.762589958476713e-05,0.0022968629999776447,7.158679445673361e-05,4.436995489122448e-05,48.3974412857917,0.5663833512005921,0.351048038044215,0.7258623975611745,0.47325881559249977,0.2933288528850781,2.0,0.0,0.0,180.0,0.0,0.0,0.001495129666657702,4.7125412364205404e-05,2.9208633194127697e-05,7.482902116444443,0.0010104362561933857,0.0006262748799969653,34.26770940981805,2.4945923866063295,1.5461643799766978
zuo_slow_random_30s,daisy_chain,10,1.0,1.0,0.005976316666666981,3.125384420798924e-05,1.9371333333328223e-05,0.014630669999999998,4.851901374146481e-05,3.0072396276615207e-05,0.001752957666683197,3.449835509764415e-05,2.1382302017015858e-05,48.453768231437905,0.5689363616520513,0.35263041031591286,0.7458559134448566,0.4903382661879447,0.30391480603799936,12.0,0.0,0.0,0.0,0.0,0.0,0.004876889999992303,1.6173004580460027e-05,1.0024132092187565e-05,7.486853818777772,4.4026894419252924e-05,2.7288151875044696e-05,4.998772139451466,1.1986744926826292,0.7429461477246929
zuo_slow_random_30s,rotating,10,1.0,1.0,0.0027514829999847556,0.0008460492373997904,0.0005243867501550427,0.006201430666666667,0.0025528423493401784,0.0015822680809250407,0.0018613976666536746,0.0008400106702547993,0.0005206440074625644,49.443975659367176,1.5600297309536562,0.9669164448090738,0.3244918240932199,0.03789310481095466,0.023486389688347768,3.6,2.4585451886114367,1.5238220951862385,147.0,49.8998997994986,30.928278322596622,0.002067143555549489,0.0008509474497813739,0.0005274226936424949,7.48384434344444,0.0012265219705732946,0.000760206193340927,140.3155079706572,30.98794608613805,19.206527969968516
zuo_slow_random_30s,instant_no_health,10,1.0,1.0,0.0022775524999899322,6.876124518259433e-05,4.261866130715061e-05,0.004415892500000001,0.00010978499976595556,6.804544782756852e-05,0.0022775524999899322,6.876124518259433e-05,4.261866130715061e-05,49.26905169248273,1.4055936243825287,0.871195954261355,0.24521494447136488,0.0973107462277693,0.06031382538251629,2.0,0.0,0.0,180.0,0.0,0.0,0.0014719641666622726,3.6594999918431945e-05,2.2681815940320516e-05,7.4828890704444415,0.0009834137371848902,0.0006095261491932852,37.550220709689896,2.552365867552742,1.5819727544535107
zuo_slow_random_30s,instant_health,10,1.0,1.0,0.002225897499993734,5.2004298550245275e-05,3.223259818148082e-05,0.004365797500000002,7.183659668728149e-05,4.452478391779634e-05,0.002225897499993734,5.2004298550245275e-05,3.223259818148082e-05,49.218439782707435,1.4270129238436173,0.8844717736090774,0.2671721355946535,0.09445489684156234,0.058543751594413954,2.0,0.0,0.0,180.0,0.0,0.0,0.0014552658333297406,2.394553222857175e-05,1.4841594638941859e-05,7.482422824444444,9.362222582871203e-16,5.802765675374151e-16,37.15781377027743,2.6159375375734406,1.6213748837510167
