strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s
instant,1,3600,0.3011331173205065,162.07070128914526,0.6987668260175498,-0.001233173982450153,16.353728258589314,53,281.1552962475621,0.9248194999527186
constant,5,3600,0.30208323213055854,182.50361332291152,0.6981090749903768,-0.0018909250096231789,16.21793455702916,95,481.1321645123092,5.676199599984102
perfect,5,3600,0.3011508764758346,177.35308058139293,0.6980996367424395,-0.001900363257560489,16.05747355833708,78,409.41393583172083,5.894648500019684
predicted,5,3600,0.30075129548095286,176.03509776680792,0.6980992318150616,-0.0019007681849383395,15.974627475798133,86,431.138533643578,6.115330800064839
