scenario,load_source,load_seed,strategy,health_seed,n_steps,hydrogen_g,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,constraint_violation_steps,safety_override_steps,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,average,12026,120,43.873993238009696,43.777202678397074,0.001424470833333334,0.0011114658333333334,0.0003130050000000001,5.133333333333334e-05,5.133333333333336e-05,0.0010601325,0.001424470833333334,0.0011114658333333334,0.0003130050000000001,6.953418935213073,29.54100210949587,1.3385608805520992,0.6542616274123846,6.299157307800689,6.180186054170157,37.693807183839546,0.2479507281726127,0.7000516288766119,5.162887661191995e-05,0,0,7.105427357601002e-15,0,0.0,75,97,3.7419236476388806,5.611897783611094,8.06652777616268e-05,1,0.5531268973891925,0.5,11040.0,13665.0,0.9359747558333338,6.547872539444428
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,beam_health,12026,120,43.62536506341664,43.64179959590345,0.001397193055555556,0.0010592222222222225,0.00033797083333333343,3.0222222222222225e-05,3.0222222222222245e-05,0.001029,0.001397193055555556,0.0010592222222222225,0.00033797083333333343,6.587162391367668,25.13663607665257,1.3129282277891892,0.7356281237289864,5.851534267638681,8.258007227554952,35.367357835861704,0.15383476651501815,0.6999912336858746,-8.766314125385755e-06,0,0,0.0,0,0.0,75,89,3.741910008749992,5.611900616944429,8.349861109679946e-05,1,0.5285975982088337,0.4129032258064516,11580.0,12985.0,0.9359597002777776,6.547860317222207
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,average,12026,120,31.566898595653612,31.5573925249659,0.0014523683333333335,0.0011230624999999995,0.00032930583333333344,6.293e-05,6.293000000000002e-05,0.0010601325,0.0014523683333333335,0.0011230624999999995,0.00032930583333333344,1.4119768795227525,15.984046469814363,1.364775880039185,0.05213385545565513,1.3598430240670973,1.3319366496056375,30.234961946047967,0.07058696789400276,0.7000050706159006,5.070615900604203e-06,0,0,8.881784197001252e-16,0,0.0,75,109,3.7419375963888806,5.6118849866666505,6.786833331817732e-05,1,0.28270042194092826,0.5,12750.0,5025.0,0.9359951030555553,6.547880089722206
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,beam_health,12026,120,31.30939084339652,31.521650200706183,0.0013285300000000003,0.0,0.0013285300000000003,0.0,0.0,0.0,0.0013285300000000003,0.0,0.0013285300000000003,1.7264274601315936,15.1144542554419,1.248406246745345,0.0,1.7264274601315939,0.0,31.309390843396518,0.056206487650853544,0.6998867791217229,-0.00011322087827703164,0,0,0.0,0,0.0,75,75,3.7418756772222173,5.611880381666657,6.326333332407064e-05,1,0.3448667044809983,0.0,11550.0,6080.0,0.9359354863888892,6.547815868055546
