stack_id,cell_count,current_density_a_cm2,gross_stack_power_kw,efficiency_lhv_pct
stack_1,270,0.10,8.74272975786213,41.1328874393093
stack_1,270,0.15,12.3233608049161,45.0961115252288
stack_1,270,0.20,15.8205873667414,46.7748741147634
stack_1,270,0.25,19.2375277899977,47.5489105114525
stack_1,270,0.30,22.5970786614248,47.926010237612
stack_1,270,0.35,25.8983399649704,48.0744215565514
stack_1,270,0.40,29.1083257178287,48.0200150331821
stack_1,270,0.45,32.1510847141242,47.7078251029573
stack_1,270,0.50,35.0482849767035,47.2466582315038
stack_1,270,0.55,37.7918152663473,46.666434433697
stack_1,270,0.60,40.3451829621518,45.952748572757
stack_1,270,0.65,43.0043189478385,45.1133482702631
stack_1,270,0.70,46.0809320906646,44.3033657146548
stack_1,270,0.75,49.1374020137146,43.3699952572285
stack_1,270,0.80,51.3174182953922,42.47769108618
stack_1,270,0.85,53.2204917519151,41.5158733700452
stack_1,270,0.90,54.8630645994442,40.4034900920472
stack_1,270,0.95,55.6781538934124,39.681987853731
stack_1,270,1.00,57.8765967467528,38.0707387314895
stack_1,270,1.05,59.0975383037969,36.8308826546434
stack_1,270,1.10,59.7043621950602,35.5745892901789
stack_1,270,1.15,60.7086547066518,34.2192404733945
stack_1,270,1.20,62.0845703704172,32.8391037309975
stack_2,300,0.10,9.71414417540237,43.3687318897327
stack_2,300,0.15,13.6926231165734,46.5528031423213
stack_2,300,0.20,17.5784304074905,47.8419893151904
stack_2,300,0.25,21.3750308777752,48.3822798618803
stack_2,300,0.30,25.1078651793609,48.6035490213736
stack_2,300,0.35,28.7729435769406,48.6350697365138
stack_2,300,0.40,32.2415746065199,48.3377168630035
stack_2,300,0.45,35.6118443406691,47.9635787961437
stack_2,300,0.50,38.7838673268433,47.4051214769076
stack_2,300,0.55,41.8000454532356,46.7561486319517
stack_2,300,0.60,44.5769792694879,45.9581324606072
stack_2,300,0.65,48.1689920294936,45.0949649285717
stack_2,300,0.70,51.1440625267815,44.2442497461512
stack_2,300,0.75,53.8033289080356,43.371774217534
stack_2,300,0.80,56.2138593466002,42.3848678342844
stack_2,300,0.85,58.29033724681,41.3874449329369
stack_2,300,0.90,61.2610121507522,40.1128890886486
stack_2,300,0.95,63.0735389894284,39.0223036005103
stack_2,300,1.00,64.1949593713164,37.9621549762457
stack_2,300,1.05,65.7831312736135,36.7071090225116
stack_2,300,1.10,67.0985774263507,35.4195930331467
stack_2,300,1.15,68.2534810864127,34.0865850305868
stack_2,300,1.20,69.9589562898091,32.722794450422
stack_3,330,0.10,10.6855585929426,45.1980591673519
stack_3,330,0.15,15.0618854282307,47.7446417381243
stack_3,330,0.20,19.3362734482395,48.7150835700853
stack_3,330,0.25,23.5125339655527,49.0641275122303
stack_3,330,0.30,27.6186516972969,49.1578989353604
stack_3,330,0.35,31.5781269694134,48.9759303752025
stack_3,330,0.40,35.387407547258,48.616347668519
stack_3,330,0.45,39.0476369592105,48.1358404608575
stack_3,330,0.50,42.4991139259518,47.5106070757657
stack_3,330,0.55,45.7577828144069,46.7781173526988
stack_3,330,0.60,49.0646423552233,45.9095781851777
stack_3,330,0.65,52.8207064313249,45.0392076944404
stack_3,330,0.70,56.0287094140728,44.1695671356366
stack_3,330,0.75,59.194538241421,43.1914824755135
stack_3,330,0.80,61.5418864383929,42.2585782776338
stack_3,330,0.85,65.4015794539833,40.9334553848434
stack_3,330,0.90,67.6583587656931,39.9276087438133
stack_3,330,0.95,69.6288386302005,38.8854757039406
stack_3,330,1.00,71.5964712309497,37.7215014323025
stack_3,330,1.05,73.0131105408499,36.5246898758955
stack_3,330,1.10,74.9076429664286,35.2268835833391
stack_3,330,1.15,76.671847710101,33.9033267663823
stack_3,330,1.20,78.4564989822725,32.5840414473054
