strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1183.0919373374456,66.06152684269696,45.412211061114064,18,10,8,18,0.1922222222222222,0.8077777777777778,0.0,0.0,1185.2364212756781,0.047775099985301495,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,764.0734957428125,764.0734957428125,0.0,0.0
sticky,900,1.0,0.1191379965684705,1.0,2.0,1186.165776924507,66.23316399952503,45.2945294901134,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1186.404052917644,0.046761600067839026,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,765.0671465007024,765.0671465007024,0.0,0.0
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1186.165776924507,66.23316399952503,45.2945294901134,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1186.404052917644,0.05027189990505576,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,765.0671465007024,765.0671465007024,0.0,0.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1184.9669057927213,66.1662213934993,45.34035549889735,12,7,5,12,0.06333333333333334,0.9366666666666666,0.0,0.0,1186.396561751543,0.05138850002549589,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,764.9670897857061,764.9670897857061,0.0,0.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1183.6513641405718,66.0927641350873,45.39074797761969,12,7,5,12,0.15,0.85,0.0,0.0,1185.0810200993935,0.053060000063851476,3027,stack_1,326,100.33255251569426,False,0.0,0,0,0.0,764.5002268896698,764.5002268896698,0.0,0.0
average,900,1.0,0.1191379965684705,1.0,2.0,1208.8835070292307,67.5016773667075,44.443340032904544,4,3,1,2,0.0,1.0,0.0,0.0,1209.3600590155047,0.19257139996625483,3027,stack_2,326,100.33255251569426,True,0.0,0,2,1.0,766.2802406675464,787.6049682495188,21.32472758197241,2.7828888767111204
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1410.6612570712155,78.76855006694433,38.086266631166104,25,13,12,24,0.4444444444444444,0.5555555555555556,0.0,0.0,1413.6397069854272,0.19569480000063777,3027,stack_2,326,100.33255251569426,True,0.0,0,2,0.5313588850174216,905.7438904114864,909.2847257716476,3.540835360161168,0.3909311890089029
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1196.2764212763545,66.79772249423483,44.91171087844968,20,11,9,19,0.1922222222222222,0.8077777777777778,0.0,0.0,1198.659181207724,0.04831870016641915,3027,stack_2,326,100.33255251569426,True,0.0,0,2,0.8797909407665505,764.0734957428125,777.2579796817281,13.184483938915605,1.725551797356606
sticky,900,1.0,0.1191379965684705,1.0,2.0,1199.5462150000878,66.98030134464659,44.789287891726715,4,3,1,3,0.02666666666666667,0.9733333333333334,0.0,0.0,1200.0227669863618,0.06165829999372363,3027,stack_2,326,100.33255251569426,True,0.0,0,2,1.0,765.0671465007024,778.44758457629,13.380438075587563,1.748923364019439
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1199.5462150000878,66.98030134464659,44.789287891726715,4,3,1,3,0.02666666666666667,0.9733333333333334,0.0,0.0,1200.0227669863618,0.05058220005594194,3027,stack_2,326,100.33255251569426,True,0.0,0,2,1.0,765.0671465007024,778.44758457629,13.380438075587563,1.748923364019439
