demand_net_power_kw,mode,active_stack_count,total_chemical_input_lhv_kw,hydrogen_g_per_s,system_efficiency_lhv_pct,power_balance_error_kw,stack_1_net_power_kw,stack_1_gross_power_kw,stack_1_efficiency_lhv_pct,stack_1_current_density_a_cm2,stack_2_net_power_kw,stack_2_gross_power_kw,stack_2_efficiency_lhv_pct,stack_2_current_density_a_cm2,stack_3_net_power_kw,stack_3_gross_power_kw,stack_3_efficiency_lhv_pct,stack_3_current_density_a_cm2,step,time_s,strategy,stack_state_changes,stack_starts,stack_stops,hydrogen_g,cumulative_hydrogen_g,seed,failed_stack,fault_step,fault_active,load_state
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,0,0.0,instantaneous,1,1,0,0.42970640178508296,0.42970640178508296,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,1,1.0,instantaneous,0,0,0,0.42970640178508296,0.8594128035701659,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,2,2.0,instantaneous,0,0,0,0.42970640178508296,1.289119205355249,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,3,3.0,instantaneous,0,0,0,0.42970640178508296,1.7188256071403318,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,4,4.0,instantaneous,0,0,0,0.42970640178508296,2.148532008925415,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,5,5.0,instantaneous,0,0,0,0.42970640178508296,2.578238410710498,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,6,6.0,instantaneous,0,0,0,0.42970640178508296,3.0079448124955808,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,7,7.0,instantaneous,0,0,0,0.42970640178508296,3.4376512142806637,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,8,8.0,instantaneous,0,0,0,0.42970640178508296,3.8673576160657466,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,9,9.0,instantaneous,0,0,0,0.42970640178508296,4.29706401785083,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,10,10.0,instantaneous,0,0,0,0.42970640178508296,4.726770419635913,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,11,11.0,instantaneous,0,0,0,0.42970640178508296,5.156476821420996,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,12,12.0,instantaneous,0,0,0,0.42970640178508296,5.586183223206079,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,13,13.0,instantaneous,0,0,0,0.42970640178508296,6.0158896249911615,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,14,14.0,instantaneous,0,0,0,0.42970640178508296,6.445596026776244,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,15,15.0,instantaneous,0,0,0,0.42970640178508296,6.875302428561327,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,16,16.0,instantaneous,0,0,0,0.42970640178508296,7.30500883034641,3030,stack_3,331,False,0
25.334464502809308,stack_3,1,51.564768214209955,0.42970640178508296,49.131345645858566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.334464502809308,28.124431916441253,49.13465441634997,0.30638696019528355,17,17.0,instantaneous,0,0,0,0.42970640178508296,7.734715232131493,3030,stack_3,331,False,0
51.86081699406826,stack_2+stack_3,2,106.12193694388367,0.8843494745323639,48.86908257384314,0.0,0.0,0.0,0.0,0.0,26.0440004530809,28.7729435769406,48.6350697365138,0.35,25.816816540987357,28.598409120762135,49.11287149222734,0.3123723139574188,18,18.0,instantaneous,1,1,0,0.8843494745323639,8.619064706663856,3030,stack_3,331,False,1
51.86081699406826,stack_2+stack_3,2,106.12193694388367,0.8843494745323639,48.86908257384314,0.0,0.0,0.0,0.0,0.0,26.0440004530809,28.7729435769406,48.6350697365138,0.35,25.816816540987357,28.598409120762135,49.11287149222734,0.3123723139574188,19,19.0,instantaneous,0,0,0,0.8843494745323639,9.50341418119622,3030,stack_3,331,False,1
51.86081699406826,stack_2+stack_3,2,106.12193694388367,0.8843494745323639,48.86908257384314,0.0,0.0,0.0,0.0,0.0,26.0440004530809,28.7729435769406,48.6350697365138,0.35,25.816816540987357,28.598409120762135,49.11287149222734,0.3123723139574188,20,20.0,instantaneous,0,0,0,0.8843494745323639,10.387763655728584,3030,stack_3,331,False,1
51.86081699406826,stack_2+stack_3,2,106.12193694388367,0.8843494745323639,48.86908257384314,0.0,0.0,0.0,0.0,0.0,26.0440004530809,28.7729435769406,48.6350697365138,0.35,25.816816540987357,28.598409120762135,49.11287149222734,0.3123723139574188,21,21.0,instantaneous,0,0,0,0.8843494745323639,11.272113130260948,3030,stack_3,331,False,1
51.86081699406826,stack_2+stack_3,2,106.12193694388367,0.8843494745323639,48.86908257384314,0.0,0.0,0.0,0.0,0.0,26.0440004530809,28.7729435769406,48.6350697365138,0.35,25.816816540987357,28.598409120762135,49.11287149222734,0.3123723139574188,22,22.0,instantaneous,0,0,0,0.8843494745323639,12.156462604793312,3030,stack_3,331,False,1
