scenario,load_source,load_seed,strategy,health_seed,n_steps,hydrogen_g,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,constraint_violation_steps,safety_override_steps,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,average,12026,150,69.225187468837,69.55305445879505,0.0051507808333333335,0.004414229166666665,0.0007365516666666668,4.916916666666667e-05,4.916916666666669e-05,0.0043650600000000005,0.0051507808333333335,0.004414229166666665,0.0007365516666666668,7.637506173215703,3.387625656448141,4.249880516767563,20.920284976472544,48.30490249236445,0.41780521239459995,0.6998251130643586,-0.0001748869356413829,0,0,3.552713678800501e-15,0,0.0,90,127,3.7437868026388834,5.612060254722209,0.0002431363888768523,1,0.3730118009235505,0.5,24440.0,14540.0,0.9377566752777788,6.549816929999988
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,beam_health,12026,150,68.1418789938244,68.33948426875979,0.0053433594444444454,0.004487912777777778,0.0008554466666666668,6.355277777777777e-05,6.35527777777778e-05,0.0044243600000000004,0.0053433594444444454,0.004487912777777778,0.0008554466666666668,6.371610478666536,2.665472900021186,3.7061375786453503,24.89833576996138,43.24354322386303,0.25877835919945896,0.6998945957291874,-0.00010540427081251469,0,0,0.0,0,0.0,90,148,3.743883091944439,5.611985883333322,0.00016876499998919048,1,0.3944487881157154,0.38409415121255347,23235.0,15135.0,0.9378901502777784,6.5498760336111
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,average,12026,150,37.56949309654301,37.810045937230264,0.0051760216666666675,0.004322686666666666,0.000853335,8.215666666666665e-05,8.215666666666666e-05,0.00424053,0.0051760216666666675,0.004322686666666666,0.000853335,1.6300060565697978,0.05215853558515472,1.577847520984643,1.3319366496056375,36.237556446937376,0.07774254626764679,0.6998716871461411,-0.00012831285385883628,0,0,8.881784197001252e-16,0,0.0,90,139,3.743799423055548,5.61206469555554,0.00024757722220836165,1,0.27322146064760106,0.5,15375.0,5780.0,0.9377670752777776,6.549831770833318
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,beam_health,12026,150,37.42741985391841,37.71541589043727,0.005005899999999999,0.0020629499999999987,0.0029429499999999997,4.365000000000001e-05,4.365000000000018e-05,0.0020193,0.005005899999999999,0.0020629499999999987,0.0029429499999999997,1.9061599042497126,0.004229382326290364,1.9019305219234222,0.6659683248028188,36.7614515291156,0.053036778112059126,0.6998463805572189,-0.0001536194427810278,0,0,8.881784197001252e-16,0,0.0,90,144,3.743714362222218,5.611885518333326,6.839999999341817e-05,1,0.3096085409252669,0.0,14550.0,6525.0,0.9377716030555553,6.549657121388881
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,average,12027,150,85.36825966205733,85.6579300473572,0.005356028333333332,0.004543285833333332,0.0008127425000000001,5.369583333333332e-05,5.369583333333336e-05,0.004489590000000001,0.005356028333333332,0.004543285833333332,0.0008127425000000001,12.450916072128502,4.993776673839443,7.4571393982890575,27.224785117939227,58.1434745441181,1.0391572201495003,0.6998454874458766,-0.00015451255412335385,0,1,0.0,0,0.0,90,125,3.7438894263888822,5.612138507777762,0.00032138944442938744,1,0.40555439983357605,0.5,28575.0,19495.0,0.9378201725000015,6.549958680277763
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,beam_health,12027,150,85.04859486615197,85.11901844504155,0.00516435638888889,0.004419894722222221,0.0007444616666666666,5.4834722222222216e-05,5.4834722222222244e-05,0.00436506,0.00516435638888889,0.004419894722222221,0.0007444616666666666,16.332557419927724,5.6847470287507305,10.647810391176991,30.279359834368158,54.76923503178381,0.8926196654351823,0.6999624354866878,-3.7564513312160486e-05,0,0,0.0,0,0.0,90,125,3.7437935904166606,5.612057385833319,0.0002402674999867349,1,0.5668197953643767,0.5029325513196481,20745.0,27145.0,0.9377648975000011,6.54982228333332
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,average,12027,150,51.07533072354418,51.2514452355814,0.0054960600000000005,0.004698085,0.0007979750000000001,8.396499999999999e-05,8.396500000000001e-05,0.00461412,0.0054960600000000005,0.004698085,0.0007979750000000001,4.76872368727761,3.448464341463104,1.3202593458145064,25.23575972119481,25.83957100234937,0.6468610845348726,0.6999060590779934,-9.394092200654125e-05,0,1,7.105427357601002e-15,4,0.02666666666666667,90,150,3.7439594422222147,5.6120167116666515,0.00019959333331942553,1,0.4113351877607789,0.5,16930.0,11830.0,0.9379510863888887,6.54996779805554
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,beam_health,12027,150,51.270681432153,51.23334234051452,0.00544663,0.0046416750000000005,0.000804955,9.278499999999999e-05,9.278499999999976e-05,0.00454889,0.00544663,0.0046416750000000005,0.000804955,4.141750682362512,1.6868511589625341,2.4548995233999777,24.560911818727945,26.709769613425053,0.5970821679655998,0.7000199169770556,1.9916977055611795e-05,0,1,3.552713678800501e-15,4,0.02666666666666667,90,150,3.7439347272222143,5.6120715316666505,0.00025441333331810423,1,0.41912019397298234,0.3297180043383948,16770.0,12100.0,0.9378989613888892,6.54997049305554
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,average,12028,150,80.37793701486822,80.35434096232385,0.0050314366666666666,0.0043025616666666645,0.0007288749999999999,6.203166666666667e-05,6.203166666666668e-05,0.00424053,0.0050314366666666666,0.0043025616666666645,0.0007288749999999999,9.413509198381382,6.956992458538372,2.45651673984301,35.30520079221344,45.07273622265477,0.44124282261846504,0.7000125863275325,1.2586327532537744e-05,0,0,0.0,0,0.0,90,127,3.7437271305555497,5.6120554272222085,0.00023830888887599322,1,0.38930623066725584,0.5,27640.0,17620.0,0.9376994169444457,6.549754844166654
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,beam_health,12028,150,79.86292151035406,79.94777586231261,0.005227372500000002,0.0044368291666666655,0.0007905433333333335,7.176916666666667e-05,7.17691666666667e-05,0.00436506,0.005227372500000002,0.0044368291666666655,0.0007905433333333335,11.66734784187081,5.794857187574591,5.872490654296219,34.07981907457625,45.78310243577778,0.3873041110051763,0.6999547379942342,-4.52620057657116e-05,0,0,4.440892098500626e-16,0,0.0,90,145,3.743825098472217,5.611983663055542,0.00016654472221022676,1,0.505781632199244,0.49843668577384054,22225.0,22745.0,0.9378332669444455,6.549816929999988
