step,horizon_s,perfect,predicted,action_difference_tiers,actions_differ
51,3,0.0,0.0,0.0,False
51,5,0.0,0.0,0.0,False
51,10,0.0,0.0,0.0,False
52,3,0.0,0.0,0.0,False
52,5,0.0,0.0,0.0,False
52,10,0.0,0.0,0.0,False
53,3,0.0,0.0,0.0,False
53,5,0.0,0.0,0.0,False
53,10,0.0,0.0,0.0,False
54,3,0.0,0.0,0.0,False
54,5,0.0,0.0,0.0,False
54,10,0.0,0.0,0.0,False
55,3,0.0,0.0,0.0,False
55,5,0.0,0.0,0.0,False
55,10,0.0,0.0,0.0,False
56,3,0.0,0.0,0.0,False
56,5,0.0,0.0,0.0,False
56,10,0.0,0.0,0.0,False
57,3,0.0,0.0,0.0,False
57,5,0.0,0.0,0.0,False
57,10,0.0,0.0,0.0,False
58,3,0.0,0.0,0.0,False
58,5,0.0,0.0,0.0,False
58,10,0.0,0.0,0.0,False
59,3,0.0,0.0,0.0,False
59,5,0.0,0.0,0.0,False
59,10,0.0,0.0,0.0,False
60,3,0.0,0.0,0.0,False
60,5,0.0,0.0,0.0,False
60,10,0.0,0.0,0.0,False
61,3,0.0,0.0,0.0,False
61,5,0.0,0.0,0.0,False
61,10,0.0,0.0,0.0,False
62,3,0.0,0.0,0.0,False
62,5,0.0,0.0,0.0,False
62,10,0.0,0.0,0.0,False
63,3,0.0,0.0,0.0,False
63,5,0.0,0.0,0.0,False
63,10,0.0,0.0,0.0,False
64,3,0.0,0.0,0.0,False
64,5,0.0,0.0,0.0,False
64,10,0.0,0.0,0.0,False
65,3,0.0,0.0,0.0,False
65,5,0.0,0.0,0.0,False
65,10,0.0,0.0,0.0,False
66,3,1.0,1.0,0.0,False
66,5,1.0,1.0,0.0,False
66,10,1.0,1.0,0.0,False
67,3,1.0,1.0,0.0,False
67,5,1.0,1.0,0.0,False
67,10,1.0,1.0,0.0,False
68,3,1.0,1.0,0.0,False
68,5,1.0,1.0,0.0,False
68,10,1.0,1.0,0.0,False
69,3,1.0,1.0,0.0,False
69,5,1.0,1.0,0.0,False
69,10,1.0,1.0,0.0,False
70,3,1.0,1.0,0.0,False
70,5,1.0,1.0,0.0,False
70,10,1.0,1.0,0.0,False
71,3,1.0,1.0,0.0,False
71,5,1.0,1.0,0.0,False
71,10,1.0,1.0,0.0,False
72,3,1.0,1.0,0.0,False
72,5,1.0,1.0,0.0,False
72,10,1.0,1.0,0.0,False
73,3,1.0,1.0,0.0,False
73,5,1.0,1.0,0.0,False
73,10,1.0,1.0,0.0,False
74,3,1.0,1.0,0.0,False
74,5,1.0,1.0,0.0,False
74,10,1.0,1.0,0.0,False
75,3,1.0,1.0,0.0,False
75,5,1.0,1.0,0.0,False
75,10,1.0,1.0,0.0,False
76,3,1.0,1.0,0.0,False
76,5,1.0,1.0,0.0,False
76,10,1.0,1.0,0.0,False
77,3,1.0,1.0,0.0,False
77,5,1.0,1.0,0.0,False
77,10,1.0,1.0,0.0,False
78,3,1.0,1.0,0.0,False
78,5,1.0,1.0,0.0,False
78,10,1.0,1.0,0.0,False
79,3,1.0,1.0,0.0,False
79,5,1.0,1.0,0.0,False
79,10,1.0,1.0,0.0,False
80,3,1.0,1.0,0.0,False
80,5,1.0,1.0,0.0,False
80,10,1.0,1.0,0.0,False
81,3,1.0,1.0,0.0,False
81,5,1.0,1.0,0.0,False
81,10,1.0,1.0,0.0,False
82,3,1.0,1.0,0.0,False
82,5,1.0,1.0,0.0,False
82,10,1.0,1.0,0.0,False
83,3,1.0,1.0,0.0,False
83,5,1.0,1.0,0.0,False
83,10,1.0,1.0,0.0,False
84,3,1.0,1.0,0.0,False
84,5,1.0,1.0,0.0,False
84,10,1.0,1.0,0.0,False
85,3,1.0,1.0,0.0,False
85,5,1.0,1.0,0.0,False
85,10,1.0,1.0,0.0,False
86,3,2.0,2.0,0.0,False
86,5,2.0,2.0,0.0,False
86,10,1.0,2.0,1.0,True
87,3,2.0,2.0,0.0,False
87,5,2.0,2.0,0.0,False
87,10,1.0,2.0,1.0,True
88,3,2.0,2.0,0.0,False
88,5,2.0,2.0,0.0,False
88,10,1.0,2.0,1.0,True
89,3,2.0,2.0,0.0,False
89,5,2.0,2.0,0.0,False
89,10,1.0,2.0,1.0,True
90,3,2.0,2.0,0.0,False
90,5,2.0,2.0,0.0,False
90,10,1.0,2.0,1.0,True
91,3,2.0,2.0,0.0,False
91,5,2.0,2.0,0.0,False
91,10,1.0,2.0,1.0,True
92,3,2.0,2.0,0.0,False
92,5,2.0,2.0,0.0,False
92,10,1.0,2.0,1.0,True
93,3,2.0,2.0,0.0,False
93,5,2.0,2.0,0.0,False
93,10,1.0,2.0,1.0,True
94,3,2.0,2.0,0.0,False
94,5,2.0,2.0,0.0,False
94,10,1.0,2.0,1.0,True
95,3,2.0,2.0,0.0,False
95,5,2.0,2.0,0.0,False
95,10,1.0,2.0,1.0,True
96,3,2.0,2.0,0.0,False
96,5,2.0,2.0,0.0,False
96,10,0.0,2.0,2.0,True
97,3,2.0,2.0,0.0,False
97,5,2.0,2.0,0.0,False
97,10,0.0,2.0,2.0,True
98,3,2.0,2.0,0.0,False
98,5,2.0,2.0,0.0,False
98,10,0.0,2.0,2.0,True
99,3,2.0,2.0,0.0,False
99,5,2.0,2.0,0.0,False
99,10,0.0,2.0,2.0,True
100,3,2.0,2.0,0.0,False
100,5,2.0,2.0,0.0,False
100,10,0.0,2.0,2.0,True
101,3,2.0,2.0,0.0,False
101,5,2.0,2.0,0.0,False
101,10,0.0,2.0,2.0,True
102,3,3.0,3.0,0.0,False
102,5,2.0,3.0,1.0,True
102,10,0.0,3.0,3.0,True
103,3,3.0,3.0,0.0,False
103,5,2.0,3.0,1.0,True
103,10,0.0,3.0,3.0,True
104,3,3.0,3.0,0.0,False
104,5,2.0,3.0,1.0,True
104,10,0.0,3.0,3.0,True
105,3,3.0,3.0,0.0,False
105,5,2.0,3.0,1.0,True
105,10,0.0,3.0,3.0,True
106,3,3.0,3.0,0.0,False
106,5,1.0,3.0,2.0,True
106,10,0.0,3.0,3.0,True
107,3,3.0,3.0,0.0,False
107,5,1.0,3.0,2.0,True
107,10,0.0,3.0,3.0,True
108,3,3.0,3.0,0.0,False
108,5,1.0,3.0,2.0,True
108,10,0.0,3.0,3.0,True
109,3,3.0,3.0,0.0,False
109,5,1.0,3.0,2.0,True
109,10,0.0,3.0,3.0,True
110,3,3.0,3.0,0.0,False
110,5,1.0,3.0,2.0,True
110,10,0.0,3.0,3.0,True
111,3,3.0,3.0,0.0,False
111,5,1.0,3.0,2.0,True
111,10,0.0,3.0,3.0,True
112,3,3.0,3.0,0.0,False
112,5,1.0,3.0,2.0,True
112,10,0.0,3.0,3.0,True
113,3,3.0,3.0,0.0,False
113,5,1.0,3.0,2.0,True
113,10,0.0,3.0,3.0,True
114,3,3.0,3.0,0.0,False
114,5,1.0,3.0,2.0,True
114,10,0.0,3.0,3.0,True
115,3,3.0,3.0,0.0,False
115,5,1.0,3.0,2.0,True
115,10,0.0,3.0,3.0,True
116,3,3.0,3.0,0.0,False
116,5,1.0,3.0,2.0,True
116,10,0.0,3.0,3.0,True
117,3,2.0,2.0,0.0,False
117,5,1.0,2.0,1.0,True
117,10,0.0,2.0,2.0,True
118,3,2.0,2.0,0.0,False
118,5,1.0,2.0,1.0,True
