strategy,n,h2_kg,deg_cost_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s
instant,3600,0.30298894905229035,188.52896793768332,0.6985344207806166,-0.001465579219383395,16.00624697113384,97,506.9077836280582,0.8307199999690056
constant,3600,0.3174892993776638,229.09960316821588,0.7040637956285514,0.004063795628551414,15.973294175112999,97,540.0588344337256,17.589038099977188
perfect,3600,0.30171028986866893,180.00010365320628,0.6981864647859892,-0.0018135352140107308,16.074248185375517,70,352.947779252761,18.606168500031345
predicted,3600,0.30374371315373355,200.72513426202872,0.698184390435265,-0.0018156095647349213,15.912938708404662,88,462.6217810007151,17.5946157000144
