strategy,horizon_s,subset,n,mean_demand_kw,mean_fc_kw,mean_battery_kw,battery_throughput_kwh,proxy_sum
constant,3,non_braking,3148,11.49330978860071,4.789479971809077,6.703829816791633,9.730418886577095,118.55778661677319
constant,3,braking,452,-37.62796100077434,15.21764741026835,-52.84560841104268,6.635059722719804,61.49562779978734
constant,5,non_braking,3148,11.49330978860071,4.756127783647962,6.737182004952748,9.565372962857891,119.52093563430321
constant,5,braking,452,-37.62796100077434,15.357042846607433,-52.98500384738177,6.652561594171267,62.982677688608305
constant,10,non_braking,3148,11.49330978860071,4.69905993113463,6.794249857466079,9.237907278851706,133.73701631400323
constant,10,braking,452,-37.62796100077434,16.50042664480639,-54.12838764558072,6.796119782167358,73.0238723197359
instant,1,non_braking,3148,11.49330978860071,5.097540612987501,6.395769175613209,9.96844920414742,116.2227571335211
instant,1,braking,452,-37.62796100077434,13.2282438576124,-50.85620485838673,6.38527905444189,45.847944155624155
perfect,3,non_braking,3148,11.49330978860071,4.833275218356001,6.660034570244708,9.5206167961161,119.52760567492044
perfect,3,braking,452,-37.62796100077434,14.807353591145315,-52.43531459191965,6.583545054318801,58.798256281303495
perfect,5,non_braking,3148,11.49330978860071,4.878176294828565,6.615133493772146,9.520208725617877,121.66983289928018
perfect,5,braking,452,-37.62796100077434,14.438750056281263,-52.0667110570556,6.5372648327192024,55.683247682112764
perfect,10,non_braking,3148,11.49330978860071,4.858991294506648,6.634318494094063,9.486562308160257,121.67686511076474
perfect,10,braking,452,-37.62796100077434,14.562684726586067,-52.190645727360405,6.552825519101917,58.834839021781015
predicted,3,non_braking,3148,11.49330978860071,4.852655174191329,6.64065461440938,9.598651253218547,117.65421380924349
predicted,3,braking,452,-37.62796100077434,14.696235340098214,-52.324196340872554,6.5695935405762205,57.67336581812837
predicted,5,non_braking,3148,11.49330978860071,4.835112180427522,6.658197608173188,9.474951041725193,117.24573049406894
predicted,5,braking,452,-37.62796100077434,14.741817281032777,-52.36977828180711,6.575316606493559,57.29134543377531
predicted,10,non_braking,3148,11.49330978860071,4.8741042136363255,6.619205574964384,9.478553088310129,120.72779732264189
predicted,10,braking,452,-37.62796100077434,14.44118212463183,-52.06914312540617,6.537570192412108,54.85087344368296
