strategy,horizon_s,baseline,h2_kg_improvement_pct,degradation_proxy_sum_improvement_pct,battery_throughput_kwh_improvement_pct,switch_count_improvement_pct,fc_total_variation_kw_improvement_pct,absolute_soc_error_improvement_pct
constant,3,instant,-0.3980774334326033,-11.095597775771258,-0.07185120433571562,-71.69811320754717,-65.68096483655174,-44.33739601850588
perfect,3,instant,-0.13564119954000062,-10.029672567454597,1.526052067199646,-73.58490566037736,-70.59714301465712,-43.955772339196606
perfect,3,constant,0.2613956766917245,0.9594666482357491,1.5967559831311793,-1.098901098901099,-2.967255884196064,0.2643969545219844
predicted,3,instant,-0.05602571285350577,-8.179688390793986,1.134196813482746,-66.0377358490566,-67.30835359347107,-44.589918914875476
predicted,3,constant,0.34069548872177324,2.624684905033384,1.205182079979558,3.2967032967032965,-0.9822424431948491,-0.1749532022437383
constant,5,instant,-0.31551322501695717,-12.607406441286718,0.8303531733739794,-79.24528301886792,-71.1268366393013,-53.33805582454487
perfect,5,instant,-0.005897443458265705,-9.429452190117235,1.8115422707762994,-47.16981132075472,-45.61843269394605,-54.10341805823046
perfect,5,constant,0.3086419753086391,2.8221538454723794,0.9894046503137096,17.894736842105264,14.906138888736368,-0.4991339100851448
predicted,5,instant,0.10910270397782339,-7.69193601282574,1.8556050679830784,-58.490566037735846,-51.25925275188597,-52.42702683272173
predicted,5,constant,0.4232804232804231,4.365139544372595,1.0338363878632162,11.578947368421053,11.609858674178584,0.5941310439370477
constant,10,instant,-2.892696016276932,-27.57450112149727,1.9549132314971236,-75.47169811320755,-70.67886834972973,27.123048584871903
perfect,10,instant,-0.10615398224870896,-11.378369252873462,1.9221331451563095,-32.075471698113205,-25.021383692621775,-54.736910527190744
perfect,10,constant,2.708201983148941,12.695430298566645,-0.03343368589005581,24.731182795698924,26.750519908272086,-112.32626711532532
predicted,10,instant,0.09141037360302627,-8.334615306612662,2.064391510784459,-66.0377358490566,-56.458280565822534,-56.597115916320845
predicted,10,constant,2.9002120708430974,15.081294181633716,0.11166115804030806,5.376344086021505,8.331779980383093,-114.87879621129949
