strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s,varied_parameter,varied_value,sensitivity_n
predicted,5,1800,0.3011508764758346,197.0862828408906,0.6968430187253113,-0.003156981274688664,15.967318979164224,95,518.2821724219278,2.2414862000150606,hydrogen,0.25,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.4256487999809906,hydrogen,0.45,1800
predicted,5,1800,0.3028823941203219,198.67736900056119,0.6975629673053793,-0.0024370326946207,16.10962962482941,93,511.0116447795166,2.49385120003717,hydrogen,0.75,1800
predicted,5,1800,0.30348620540147647,199.07469310452717,0.6979618480424075,-0.0020381519575924933,16.03499582964216,95,520.4197249289133,2.411394199996721,degradation_proxy,0.5,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.454509000002872,degradation_proxy,1.0,1800
predicted,5,1800,0.3004316306850475,180.90568181420446,0.6974252847541583,-0.00257471524584163,16.015834212272825,91,471.09609550402274,2.5499999999883585,degradation_proxy,2.0,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.4976438999874517,smooth,0.002,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.3546691000228748,smooth,0.005,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.21804659999907,smooth,0.02,1800
predicted,5,1800,0.2964535798915588,180.59014197830106,0.6952678270397735,-0.004732172960226433,15.95659897927764,89,485.53025243055856,2.3690339000313543,soc,1.5,1800
predicted,5,1800,0.30311326313958686,198.80352921428454,0.6976688839191832,-0.0023311160808167086,16.123504043370556,93,511.0116447795166,2.1162952999584377,soc,3.0,1800
predicted,5,1800,0.3078283188791909,230.36382509576248,0.6983643099615623,-0.001635690038437665,16.05527774349528,94,501.60235841825454,1.9890760999987833,soc,6.0,1800
