scenario,load_source,load_seed,strategy,health_seed,n_steps,hydrogen_g,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,constraint_violation_steps,safety_override_steps,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,average,12026,120,43.873993238009696,43.777282275811984,0.004608552083333333,0.0025689533333333333,0.0020395987499999997,1.2833333333333335e-05,1.2833333333333318e-05,0.00255612,0.004608552083333333,0.0025689533333333333,0.0020395987499999997,6.955491195551694,0.6544101120812928,6.301081083470402,6.180186054170157,37.693807183839546,0.2479495394169776,0.7000515864186994,5.158641869940084e-05,0,0,7.105427357601002e-15,0,0.0,75,97,3.743515688263907,5.612039781527813,0.0002226631944810542,1,0.5531268973891925,0.5,11040.0,13665.0,0.9374957975000004,6.549535579027814
synthetic_event_markov_seed_2026,synthetic_event_markov,2026,beam_health,12026,120,42.701888986356735,42.78194294878865,0.005345100555555556,0.0028107505555555554,0.00253435,1.7430555555555553e-05,1.7430555555555526e-05,0.00279332,0.005345100555555556,0.0028107505555555554,0.00253435,3.2844356813175875,0.7983136546973967,2.4861220266201904,10.335828400939748,32.36606058541699,0.09401698123721167,0.6999572985612932,-4.2701438706771455e-05,0,0,0.0,0,0.0,75,118,3.743883962500019,5.611818946666703,1.8283333703683624e-06,1,0.3830318153462258,0.3324742268041237,14835.0,9210.0,0.9379744891666678,6.5497934358333705
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,average,12026,120,31.566898595653612,31.55742498052699,0.005105863333333334,0.0025718524999999996,0.002534010833333333,1.57325e-05,1.5732499999999992e-05,0.00255612,0.005105863333333334,0.0025718524999999996,0.002534010833333333,1.4127972031383353,0.052141994263849044,1.3606552088744865,1.3319366496056375,30.234961946047967,0.07058686121591179,0.7000050533038387,5.053303838709056e-06,0,0,8.881784197001252e-16,0,0.0,75,109,3.743764343888905,5.612059931666697,0.00024281333336440003,1,0.28270042194092826,0.5,12750.0,5025.0,0.9377343780555568,6.5497943097222535
real_block_bootstrap_seed_2026,real_block_bootstrap,2026,beam_health,12026,120,31.49586197434131,31.44579489972834,0.004576996666666666,0.0012255666666666672,0.00335143,8.366666666666669e-06,8.366666666666747e-06,0.0012171999999999999,0.004576996666666666,0.0012255666666666672,0.00335143,1.7460453263225184,0.004224962936115795,1.7418203633864027,0.6659683248028188,30.829893649538487,0.04546470367977516,0.7000267061873374,2.6706187337466325e-05,0,0,8.881784197001252e-16,0,0.0,75,114,3.7434999105555704,5.611529315000027,0.0002878033333054697,1,0.3360586411051593,0.0,11775.0,5960.0,0.937735253055557,6.549264568055584
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,average,12027,120,57.806050592884645,58.08133839649282,0.005108567916666666,0.0025699304166666662,0.0025386374999999996,1.3810416666666667e-05,1.381041666666668e-05,0.00255612,0.005108567916666666,0.0025699304166666662,0.0025386374999999996,8.149958980728076,1.9912019409140325,6.158757039814044,12.96418338949487,44.8418672033898,0.5215841184899352,0.6998531592326551,-0.00014684076734483575,0,0,0.0,0,0.0,75,95,3.7437656961805734,5.612060383472256,0.00024326513892414248,1,0.4470046082949309,0.5,18000.0,14550.0,0.9377355044444451,6.5497958879167015
synthetic_event_markov_seed_2027,synthetic_event_markov,2027,beam_health,12027,120,57.29991466603452,57.53442960161395,0.004605077777777778,0.002568501944444445,0.002036575833333333,1.2381944444444448e-05,1.2381944444444438e-05,0.00255612,0.004605077777777778,0.002568501944444445,0.002036575833333333,6.448195272973287,1.9619806385131862,4.486214634460099,15.592538378049998,41.70737628798453,0.3938467040174717,0.6998749078141386,-0.00012509218586131965,0,0,0.0,0,0.0,75,95,3.743513951111126,5.612031293333361,0.000214175000029182,1,0.4165504416550442,0.4561503416856492,18825.0,13440.0,0.937498304444445,6.5495295977778065
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,average,12027,120,42.03592066155392,41.9745597185939,0.0053720386111111105,0.003576883333333333,0.0017951552777777777,2.4523333333333333e-05,2.4523333333333282e-05,0.00355236,0.0053720386111111105,0.003576883333333333,0.0017951552777777777,5.161122030332011,3.305710933258519,1.8554110970734916,23.530880809699596,18.505039851854324,0.6319204183178311,0.7000327304291405,3.2730429140537254e-05,0,1,3.552713678800501e-15,4,0.03333333333333333,75,120,3.7438974315277957,5.61232164027781,0.0005045219444779203,1,0.501056189269117,0.5,11810.0,11860.0,0.9377366113888905,6.550058251666701
real_block_bootstrap_seed_2027,real_block_bootstrap,2027,beam_health,12027,120,42.00040235089776,41.94494970599842,0.005113605555555555,0.003318234444444444,0.001795371111111111,2.6794444444444444e-05,2.679444444444429e-05,0.0032914399999999996,0.005113605555555555,0.003318234444444444,0.001795371111111111,3.488758856964119,1.598030330600389,1.8907285263637303,23.069142771169638,18.931259579728128,0.596126338588135,0.7000295788946026,2.957889460264429e-05,0,1,3.552713678800501e-15,4,0.03333333333333333,75,120,3.7437682150000167,5.6120568766666965,0.0002397583333640929,1,0.4040169133192389,0.3233256351039261,14095.0,9555.0,0.9377397766666685,6.549796653333365
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,average,12028,120,54.21870121661347,54.25071601599256,0.0051097345833333325,0.0025719545833333326,0.002537779999999999,1.5834583333333336e-05,1.5834583333333346e-05,0.00255612,0.0051097345833333325,0.0025719545833333326,0.002537779999999999,7.052542827801242,2.57518707545133,4.477355752349912,15.592538378049994,38.626162838563495,0.3453296884175986,0.6999829230440084,-1.7076955991512932e-05,0,0,0.0,0,0.0,75,97,3.743766279513907,5.612060439027813,0.00024332069448051996,1,0.4615132656403538,0.5,16440.0,14090.0,0.9377360600000006,6.5497964990278135
synthetic_event_markov_seed_2028,synthetic_event_markov,2028,beam_health,12028,120,54.04998924099676,54.26755639512894,0.005345328333333334,0.002811653333333334,0.002533675,1.833333333333333e-05,1.8333333333333313e-05,0.0027933199999999997,0.005345328333333334,0.002811653333333334,0.002533675,6.302572649745373,2.430821704352939,3.8717509453924346,15.787889086658828,38.26210015433795,0.29993179463262526,0.6998839478994598,-0.00011605210054010939,0,0,2.220446049250313e-16,0,0.0,75,115,3.7438840763889045,5.611814716111139,2.4022221928321486e-06,1,0.4391325776244455,0.5416197975253093,17070.0,13365.0,0.9379767183333346,6.549791434444474
