scenario,strategy,terminal_cv_assumption,gamma_scale_pct,cycle_repeats,actual_exposure_hours,continuous_mean_pct,discrete_damage_pct,discrete_fraction,total_mean_pct,total_std_pct,total_p05_pct,total_p50_pct,total_p95_pct,aged_stack_mean_pct,aged_stack_p95_pct
real_block_bootstrap_seed_2026,average,0.05,0.033544182501852184,40000,1000.0,4.7156666666666665,184.56479999999996,0.9750863533373931,189.273876591492,0.3960307403810069,188.6568685908037,189.25973252066944,189.9572908062888,99.14411113044702,99.63435253819054
real_block_bootstrap_seed_2026,beam_health,0.05,0.033544182501852184,40000,1000.0,3.310666666666666,176.73719999999997,0.981612297174307,180.0422643175479,0.3325747689973212,179.5312483253109,180.02688623986054,180.625242466421,89.50772113520254,89.76901078048346
real_block_bootstrap_seed_2027,average,0.05,0.033544182501852184,40000,1000.0,5.493599999999999,189.546,0.9718334122916578,195.04243351002714,0.4241549864703582,194.36603503493976,195.03084052723958,195.7679865304751,102.16349519515707,102.68645929745453
real_block_bootstrap_seed_2027,beam_health,0.05,0.033544182501852184,40000,1000.0,5.9807999999999995,187.17399999999998,0.9690362341500186,193.15779091649986,0.44258325430942586,192.44908509523046,193.14546089136797,193.91293589283697,102.36369782114674,102.90396191552287
synthetic_event_markov_seed_2026,average,0.05,0.033544182501852184,40000,1000.0,4.052766666666667,184.56479999999996,0.9785133127402238,188.61789549084025,0.36915256024970505,188.02619148435934,188.60386108545407,189.24494876935344,98.80279459427022,99.27069119547042
synthetic_event_markov_seed_2026,beam_health,0.05,0.033544182501852184,40000,1000.0,4.8915444444444445,184.3276,0.9741487868005839,189.21917530823765,0.40501413911010603,188.5660026263087,189.20259273323813,189.90555826786144,96.37215474648194,96.85854545127394
synthetic_event_markov_seed_2027,average,0.05,0.033544182501852184,40000,1000.0,3.5478333333333336,189.546,0.9816263768133455,193.0960164173275,0.34559802084975894,192.54256321834885,193.08477107336765,193.6647407681023,101.14390608750826,101.57296427779974
synthetic_event_markov_seed_2027,beam_health,0.05,0.033544182501852184,40000,1000.0,3.964388888888889,184.56479999999996,0.9789720153560659,188.53150472724974,0.36536601386088213,187.94544941082617,188.5202897154094,189.13193415928177,98.74125225116494,99.19257592409693
real_block_bootstrap_seed_2026,average,0.1,0.13417673000740873,40000,1000.0,4.7156666666666665,184.56479999999996,0.9750863533373931,189.29982105029842,0.7988387077283755,188.06455759856098,189.25198115921162,190.69470917296664,99.15472518309934,100.15582389751081
real_block_bootstrap_seed_2026,beam_health,0.1,0.13417673000740873,40000,1000.0,3.310666666666666,176.73719999999997,0.981612297174307,180.0646436876192,0.6647454259742775,179.04538062283171,180.02418042456242,181.22060969757945,89.51330873072054,90.0574818399914
real_block_bootstrap_seed_2027,average,0.1,0.13417673000740873,40000,1000.0,5.493599999999999,189.546,0.9718334122916578,195.03654328074512,0.8642228500624393,193.69112398900174,194.98515513794138,196.53018822215031,102.15978481748066,103.2778603150316
real_block_bootstrap_seed_2027,beam_health,0.1,0.13417673000740873,40000,1000.0,5.9807999999999995,187.17399999999998,0.9690362341500186,193.15163923653355,0.9015397136323814,191.74327299144443,193.09916031650195,194.71231826560478,102.35980826298558,103.51381598261982
synthetic_event_markov_seed_2026,average,0.1,0.13417673000740873,40000,1000.0,4.052766666666667,184.56479999999996,0.9785133127402238,188.6064394784014,0.7270699525536345,187.51083975577086,188.55481330287944,189.88356998155933,98.78974064320158,99.73598462646879
synthetic_event_markov_seed_2026,beam_health,0.1,0.13417673000740873,40000,1000.0,4.8915444444444445,184.3276,0.9741487868005839,189.2074027212948,0.7989620490984493,187.98696172464838,189.16073540854305,190.6021201657377,96.35857728198138,97.34130480926969
synthetic_event_markov_seed_2027,average,0.1,0.13417673000740873,40000,1000.0,3.5478333333333336,189.546,0.9816263768133455,193.09127686941804,0.6807655783702364,192.0462183381094,193.05032742164175,194.28948036318207,101.143621366308,102.01141396338696
synthetic_event_markov_seed_2027,beam_health,0.1,0.13417673000740873,40000,1000.0,3.964388888888889,184.56479999999996,0.9789720153560659,188.52653226685877,0.7195297225448575,187.41493382451634,188.4853508577312,189.78616764467606,98.74097175615702,99.65262633547187
real_block_bootstrap_seed_2026,average,0.2,0.5367069200296349,40000,1000.0,4.7156666666666665,184.56479999999996,0.9750863533373931,189.2854573289174,1.5965764925194423,186.98008005234553,189.0881387980564,192.19045144687814,99.16049603508186,101.302301171792
real_block_bootstrap_seed_2026,beam_health,0.2,0.5367069200296349,40000,1000.0,3.310666666666666,176.73719999999997,0.981612297174307,180.04564053356899,1.3299258023643847,178.18588767814205,179.8609472328141,182.49768941568,89.51602712481983,90.69427538525987
real_block_bootstrap_seed_2027,average,0.2,0.5367069200296349,40000,1000.0,5.493599999999999,189.546,0.9718334122916578,195.0028078842645,1.7078964117380655,192.5450202297658,194.8363793858671,198.05631382856146,102.14267297015928,104.38936726330112
real_block_bootstrap_seed_2027,beam_health,0.2,0.5367069200296349,40000,1000.0,5.9807999999999995,187.17399999999998,0.9690362341500186,193.11636790813128,1.7822496782266912,190.53558493099808,192.9489401289252,196.2909618879545,102.3422030698069,104.65937526487465
synthetic_event_markov_seed_2026,average,0.2,0.5367069200296349,40000,1000.0,4.052766666666667,184.56479999999996,0.9785133127402238,188.62006395629254,1.5130132386712067,186.51433201342303,188.43401341881514,191.43173851882355,98.78698864427997,100.86602797633967
synthetic_event_markov_seed_2026,beam_health,0.2,0.5367069200296349,40000,1000.0,4.8915444444444445,184.3276,0.9741487868005839,189.22339454815068,1.6598543298858885,186.891186376902,189.03707889929996,192.314314169058,96.35542404848258,98.51157306892785
synthetic_event_markov_seed_2027,average,0.2,0.5367069200296349,40000,1000.0,3.5478333333333336,189.546,0.9816263768133455,193.08970772917547,1.398702474646307,191.13614456195674,192.92871209522673,195.65375921458622,101.15300495037104,103.10250820241544
synthetic_event_markov_seed_2027,beam_health,0.2,0.5367069200296349,40000,1000.0,3.964388888888889,184.56479999999996,0.9789720153560659,188.52425414985746,1.4781301914806015,186.4443165376741,188.36693808775584,191.22399360465738,98.75047328874163,100.79444648924066
