normalization_power_kw,health_case,n_segments,estimate_pct,ci95_lower_pct,ci95_upper_pct,better_segments,p_value_one_sided,p_value_holm,reject_holm_0p05
30.0,oldest_stack_0,8,-0.009619155901,-0.014610982288,-0.005262697916,8,0.00390625,0.0078125,True
30.0,oldest_stack_1,8,-0.009930907294,-0.015212700785,-0.005394733386,8,0.00390625,0.0078125,True
35.0,oldest_stack_0,8,-0.009863890623,-0.015463132705,-0.0052220773,8,0.00390625,0.0078125,True
35.0,oldest_stack_1,8,-0.010620820732,-0.016859784799,-0.00538773479,8,0.00390625,0.0078125,True
40.0,oldest_stack_0,8,-0.009936294443,-0.01512563399,-0.005383433072,8,0.00390625,0.0078125,True
40.0,oldest_stack_1,8,-0.011331176357,-0.018541250734,-0.005474289881,8,0.00390625,0.0078125,True
