strategy,horizon_s,tier,count,proxy_sum,internal_cost_sum,share_pct,stack_power_kw,performance_loss_cost_normalized
constant,3,0,1803,0.0,351.23578086561474,50.083333333333336,0.0,0.0
constant,3,1,504,5.669406366518462,416.11976987855877,14.0,3.4812811194420124,0.0112488221557906
constant,3,2,516,38.353727373016945,877.8180030470224,14.333333333333334,11.805932244129895,0.0743289290174747
constant,3,3,448,54.95804423688665,768.1663092869776,12.444444444444445,15.460267757196538,0.1226742058859077
constant,3,4,224,46.15711009139599,516.9573976655136,6.222222222222222,20.1833795237559,0.2060585271937321
constant,3,5,90,26.709551363683772,232.02492581747137,2.5,24.1847225108308,0.2967727929298197
constant,3,6,15,8.205574985058707,56.2895962167065,0.4166666666666667,32.35539093375507,0.5470383323372472
constant,5,0,1810,0.0,369.49658553726636,50.27777777777778,0.0,0.0
constant,5,1,529,5.950626920413227,394.30657479495454,14.694444444444445,3.4812811194420124,0.0112488221557906
constant,5,2,475,35.30624128330049,813.8965701296338,13.194444444444445,11.805932244129895,0.0743289290174747
constant,5,3,424,52.013863295624866,750.2991003111366,11.777777777777779,15.460267757196538,0.1226742058859077
constant,5,4,242,49.86616358088317,552.8803905731171,6.722222222222222,20.1833795237559,0.2060585271937321
constant,5,5,105,31.161143257631064,268.84507351013525,2.9166666666666665,24.1847225108308,0.2967727929298197
constant,5,6,15,8.205574985058707,56.2895962167065,0.4166666666666667,32.35539093375507,0.5470383323372472
constant,10,0,2095,0.0,86.95301464296146,58.19444444444444,0.0,0.0
constant,10,1,269,3.0259331599076713,312.02996418112116,7.472222222222222,3.4812811194420124,0.0112488221557906
constant,10,2,361,26.832743375308368,650.2189423032995,10.027777777777779,11.805932244129895,0.0743289290174747
constant,10,3,356,43.67201729538314,644.1741761257507,9.88888888888889,15.460267757196538,0.1226742058859077
constant,10,4,312,64.29026048444442,723.8984207530151,8.666666666666666,20.1833795237559,0.2060585271937321
constant,10,5,177,52.528784348578085,472.111614502998,4.916666666666667,24.1847225108308,0.2967727929298197
constant,10,6,30,16.411149970117414,101.64322768628128,0.8333333333333334,32.35539093375507,0.5470383323372472
instant,1,0,1748,0.0,188.08736285349468,48.55555555555556,0.0,0.0
instant,1,1,433,4.870739993457329,388.17495259931906,12.027777777777779,3.4812811194420124,0.0112488221557906
instant,1,2,506,37.6104380828422,751.1621262969192,14.055555555555555,11.805932244129895,0.0743289290174747
instant,1,3,822,100.83819723821613,1759.2746753962485,22.833333333333332,15.460267757196538,0.1226742058859077
instant,1,4,91,18.751325974629623,207.14528501860735,2.5277777777777777,20.1833795237559,0.2060585271937321
perfect,3,0,1802,0.0,313.6963325501622,50.05555555555556,0.0,0.0
perfect,3,1,515,5.793143410232159,377.011720351947,14.305555555555555,3.4812811194420124,0.0112488221557906
perfect,3,2,492,36.569833076597554,806.3488760088932,13.666666666666666,11.805932244129895,0.0743289290174747
perfect,3,3,446,54.712695825114835,801.2569150215553,12.38888888888889,15.460267757196538,0.1226742058859077
perfect,3,4,233,48.01163683613958,542.0215992603546,6.472222222222222,20.1833795237559,0.2060585271937321
perfect,3,5,112,33.2385528081398,273.9453698941474,3.111111111111111,24.1847225108308,0.2967727929298197
perfect,5,0,1810,0.0,347.319495899599,50.27777777777778,0.0,0.0
perfect,5,1,522,5.871885165322693,460.71223577052353,14.5,3.4812811194420124,0.0112488221557906
perfect,5,2,415,30.846505542252004,620.7755228308478,11.527777777777779,11.805932244129895,0.0743289290174747
perfect,5,3,479,58.76094461934979,843.1571219958137,13.305555555555555,15.460267757196538,0.1226742058859077
perfect,5,4,321,66.14478722918801,740.2198467188607,8.916666666666666,20.1833795237559,0.2060585271937321
perfect,5,5,53,15.728958025280443,142.9184764458458,1.4722222222222223,24.1847225108308,0.2967727929298197
perfect,10,0,1819,0.0,364.4763508867216,50.52777777777778,0.0,0.0
perfect,10,1,524,5.8943828096342745,451.6956305443554,14.555555555555555,3.4812811194420124,0.0112488221557906
perfect,10,2,462,34.339965206073316,676.257817212958,12.833333333333334,11.805932244129895,0.0743289290174747
perfect,10,3,390,47.84294029550401,714.0662602179953,10.833333333333334,15.460267757196538,0.1226742058859077
perfect,10,4,306,63.05390932128203,670.3964240761505,8.5,20.1833795237559,0.2060585271937321
perfect,10,5,99,29.380506500052146,246.574223146409,2.75,24.1847225108308,0.2967727929298197
predicted,3,0,1778,0.0,283.46654034653795,49.388888888888886,0.0,0.0
predicted,3,1,529,5.950626920413227,411.2360639744936,14.694444444444445,3.4812811194420124,0.0112488221557906
predicted,3,2,497,36.941477721684926,842.003125124167,13.805555555555555,11.805932244129895,0.0743289290174747
predicted,3,3,443,54.34467320745711,787.6122074419316,12.305555555555555,15.460267757196538,0.1226742058859077
predicted,3,4,294,60.58120699495724,633.1326019926603,8.166666666666666,20.1833795237559,0.2060585271937321
predicted,3,5,59,17.50959478285936,151.17415869952796,1.6388888888888888,24.1847225108308,0.2967727929298197
predicted,5,0,1797,0.0,298.7950109220743,49.916666666666664,0.0,0.0
predicted,5,1,500,5.624411077895299,393.546463079429,13.88888888888889,3.4812811194420124,0.0112488221557906
predicted,5,2,495,36.79281986364998,747.6689050573021,13.75,11.805932244129895,0.0743289290174747
predicted,5,3,471,57.77955097226253,896.0078503370702,13.083333333333334,15.460267757196538,0.1226742058859077
predicted,5,4,283,58.31456319582619,627.3043328875832,7.861111111111111,20.1833795237559,0.2060585271937321
predicted,5,5,54,16.025730818210263,140.7394813884569,1.5,24.1847225108308,0.2967727929298197
predicted,10,0,1845,0.0,315.34849816500486,51.25,0.0,0.0
predicted,10,1,440,4.949481748547864,371.5581159040759,12.222222222222221,3.4812811194420124,0.0112488221557906
predicted,10,2,494,36.718490934632506,734.9142582887614,13.722222222222221,11.805932244129895,0.0743289290174747
predicted,10,3,486,59.619664060551145,907.906698448596,13.5,15.460267757196538,0.1226742058859077
predicted,10,4,277,57.07821203266379,591.9371118375408,7.694444444444445,20.1833795237559,0.2060585271937321
predicted,10,5,58,17.21282198992954,151.21970659513102,1.6111111111111112,24.1847225108308,0.2967727929298197
