horizon_s,regime,n,action_difference_rate,difference_rate_ci_low,difference_rate_ci_high,mean_abs_tier_difference,proxy_delta_pred_minus_perfect
3,braking,452,0.2721238938053097,0.11056624645182836,0.45132743362831856,0.32964601769911506,-1.12489046317514
3,high_power,216,0.35648148148148145,0.16666666666666666,0.5416666666666666,0.4861111111111111,-1.3725521958504627
3,idle_low,2491,0.05499799277398635,0.01926488975258127,0.1015743323218161,0.05700521878763549,1.7713935323068182
3,large_ramp,232,0.2543103448275862,0.0,0.5086206896551724,0.3706896551724138,-1.0322109528413488
3,normal,209,0.32057416267942584,0.11483253588516747,0.6179775280898876,0.4019138755980861,-1.240022249291932
5,braking,452,0.5420353982300885,0.3893805309734513,0.6981132075471698,0.6482300884955752,1.6080977516625539
5,high_power,216,0.49074074074074076,0.30092592592592593,0.8095238095238095,0.625,-1.5063050878560134
5,idle_low,2491,0.07306302689682859,0.024076676033721395,0.1292854275391409,0.08229626655961461,-1.3717045914294284
5,large_ramp,232,0.5646551724137931,0.3232758620689655,0.8333333333333334,0.7974137931034483,1.735240872583963
5,normal,209,0.6602870813397129,0.5931818181818181,0.7687074829931972,0.8373205741626795,-3.281333598509754
10,braking,452,0.5066371681415929,0.39375,0.63214747871097,0.6969026548672567,-3.9839655780980596
10,high_power,216,0.6620370370370371,0.5324074074074074,0.8630952380952381,0.875,-1.3864482480750877
10,idle_low,2491,0.12284223203532718,0.055349257326374954,0.20678485194955287,0.14411882778000804,0.3476027300012885
10,large_ramp,232,0.6551724137931034,0.5344827586206896,0.7767857142857143,0.9224137931034483,1.9967435661421291
10,normal,209,0.5980861244019139,0.5358851674641149,0.6938775510204082,0.784688995215311,-1.906965836191189
