strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,runtime_s
instant,1,3600,0.3011331173205065,162.07070128914526,0.6987668260175498,-0.0012331739824501,16.353728258589314,53,281.1552962475621,1.1342895000125282
constant,3,3600,0.3023318603051516,180.05341441656054,0.6982200687853537,-0.0017799312146462,16.3654786092969,91,465.8208075120262,3.387806400016416
perfect,3,3600,0.3015415778930522,178.32586195622395,0.6982247748692778,-0.0017752251307221,16.1041618504349,92,479.6429028327364,3.290861999965273
predicted,3,3600,0.3013018292961233,175.32757962737188,0.6982169547386959,-0.001783045261304,16.168244793794766,88,470.3962971926423,3.480649400036782
constant,5,3600,0.3020832321305585,182.50361332291152,0.6981090749903768,-0.0018909250096231,16.21793455702916,95,481.1321645123092,7.057032000040636
perfect,5,3600,0.3011508764758346,177.35308058139293,0.6980996367424395,-0.0019003632575604,16.05747355833708,78,409.4139358317208,6.348570200032555
predicted,5,3600,0.3008045729469371,174.53707592784426,0.6981203095628765,-0.0018796904371234,16.05026764821875,84,425.2734001764137,7.08063859998947
constant,10,3600,0.3098439830089273,206.7608886337391,0.7008986996040542,0.0008986996040541,16.034027061019067,93,479.8726779406691,18.33723209996242
perfect,10,3600,0.3014527821164119,180.51170413254576,0.6980918246781315,-0.0019081753218684,16.039387827262175,70,351.50424169379204,19.358717099996284
predicted,10,3600,0.3008578504129214,175.57867076632485,0.6980688851092526,-0.0019311148907473,16.016123280722237,88,439.8907422286802,19.0088737999904
