current_a,healthy_cell_voltage_v,calibration_endpoint_cell_voltage_v,calibration_endpoint_voltage_loss_fraction,target_voltage_loss_fraction,inferred_damage_boundary_pct,damage_boundary_over_calibration,within_lzw_calibration_range,theta_i0,theta_ih,theta_R_ohm
90.0,0.7785070332374525,0.7716295584398624,0.008834184540362984,0.05,24.72509058220544,2.6435384540345037,False,1.1530625679820008e-07,0.005411540321838205,0.1491126603618747
90.0,0.7785070332374525,0.7716295584398624,0.008834184540362984,0.1,33.48823868262567,3.5804700662702373,False,5.030956019405866e-08,0.006271188812468433,0.2171237696112263
90.0,0.7785070332374525,0.7716295584398624,0.008834184540362984,0.15,37.19491099568177,3.9767772411010114,False,1.6612779308165737e-08,0.006616585386250902,0.24949478392063207
120.0,0.7663693217602179,0.7578562626076734,0.011108298454577352,0.05,22.225352169673698,2.3762733212098466,False,1.3009959842604217e-07,0.005152545330285761,0.1320611041149139
120.0,0.7663693217602179,0.7578562626076734,0.011108298454577352,0.1,31.312070998418527,3.34780022279678,False,6.83684798765479e-08,0.006063806718673302,0.19908937483967049
120.0,0.7663693217602179,0.7578562626076734,0.011108298454577352,0.15,36.07009888767151,3.85651543452835,False,2.7230306680126678e-08,0.006512757220853187,0.23945544602540705
160.0,0.7527606896267157,0.7420360119027904,0.014247127768113791,0.05,19.558934111816296,2.091187260673792,False,1.440627291523662e-07,0.004867785402832385,0.11510984123405703
160.0,0.7527606896267157,0.7420360119027904,0.014247127768113791,0.1,28.443031665529524,3.0410504546851898,False,9.02361912411824e-08,0.005784572214871931,0.17644990369722685
160.0,0.7527606896267157,0.7420360119027904,0.014247127768113791,0.15,34.055980899125736,3.6411714973249274,False,4.5388650340651146e-08,0.0063247112494266376,0.22194830921234196
195.0,0.7422279145549312,0.7295542235544734,0.017075201231224815,0.05,17.716327818434742,1.8941808806160478,False,1.5262215466162048e-07,0.0046651100354520615,0.10417568906671652
195.0,0.7422279145549312,0.7295542235544734,0.017075201231224815,0.1,26.181363804044977,2.7992391682023285,False,1.0592476938182231e-07,0.005559275528702943,0.15954459052686337
195.0,0.7422279145549312,0.7295542235544734,0.017075201231224815,0.15,32.05399687128774,3.4271248897156714,False,6.235457109316223e-08,0.00613491757389946,0.20515557375704227
270.0,0.721782519444189,0.7049104778595876,0.02337551981390987,0.05,14.799576732592088,1.5823299035433411,False,1.6436257889051248e-07,0.0043326188818397495,0.08824158675699681
270.0,0.721782519444189,0.7049104778595876,0.02337551981390987,0.1,22.26184538086136,2.380175074643875,False,1.298955115529144e-07,0.005156378952352632,0.13230209256896175
270.0,0.721782519444189,0.7049104778595876,0.02337551981390987,0.15,27.93154666437181,2.986363889848278,False,9.390354869554406e-08,0.005734039857690011,0.1725529327159479
340.0,0.7033930302338871,0.6825826199721352,0.02958574988272513,0.05,12.871061560796663,1.3761383832785274,False,1.7091595664615026e-07,0.004103429313446462,0.07868316151276802
340.0,0.7033930302338871,0.6825826199721352,0.02958574988272513,0.1,19.513280628776958,2.086306116251941,False,1.442855377233872e-07,0.004862825378643715,0.11483108973308023
340.0,0.7033930302338871,0.6825826199721352,0.02958574988272513,0.15,24.726262819936856,2.6436637864578563,False,1.1529893148691001e-07,0.005411660134453934,0.14912091210263395
370.0,0.6951594346231205,0.6726527296671511,0.032376320934450635,0.05,12.192754336272548,1.3036156466795592,False,1.729935632449912e-07,0.004020741658411623,0.07551571104257246
370.0,0.6951594346231205,0.6726527296671511,0.032376320934450635,0.1,18.526280762103205,1.9807788142182405,False,1.4896905102925772e-07,0.004754841610137722,0.10890151279985674
370.0,0.6951594346231205,0.6726527296671511,0.032376320934450635,0.15,23.536457002838034,2.5164530318651774,False,1.2254665482975436e-07,0.0052892784160422195,0.14086786639248863
