load_source,load_seed,horizon_h,expected_continuous_damage_pct,gamma_scale_pct,gamma_shape,probability_below_one_percent_of_mean,q05_pct,median_pct,q95_pct
empirical_1s,2026,0.03333333333333333,0.00011422,0.13417673000740873,0.0008512653423115409,0.9905976073441795,0.0,0.0,5.1136606041363575e-28
empirical_1s,2026,1.0,0.0034266,0.13417673000740873,0.025537960269346228,0.8211375095657465,8.73092929432836e-53,1.2544563633829217e-13,0.011176334406189795
empirical_1s,2026,10.0,0.034266000000000005,0.13417673000740873,0.2553796026934623,0.24033971236087656,7.31161925347343e-07,0.00624781509807717,0.16480939265626507
empirical_1s,2026,100.0,0.34266,0.13417673000740873,2.5537960269346227,2.3809959028096732e-05,0.08022556503832705,0.2991217550767845,0.753855774196568
empirical_1s,2026,1000.0,3.4266,0.13417673000740873,25.53796026934623,6.371807709473604e-42,2.3925972319093245,3.381979694765231,4.612837354744333
zuo_slow_30s,2026,0.03333333333333333,0.0001107666666666,0.13417673000740873,0.0008255281423275399,0.9908554843502956,0.0,0.0,7.81401970711611e-29
zuo_slow_30s,2026,1.0,0.0033229999999980003,0.13417673000740873,0.024765844269826198,0.8254295014786468,2.251638430993918e-54,5.3788576155638105e-14,0.010437986291497005
zuo_slow_30s,2026,10.0,0.033229999999980005,0.13417673000740873,0.24765844269826198,0.24934376254281324,5.046202470322836e-07,0.00569434597852085,0.16129914979126148
zuo_slow_30s,2026,100.0,0.33229999999980003,0.13417673000740873,2.47658442698262,3.192923495670713e-05,0.07539119965913343,0.2888034794028162,0.7378319146348504
zuo_slow_30s,2026,1000.0,3.322999999998,0.13417673000740873,24.765844269826196,1.054725796009919e-40,2.306061556116239,3.278383024774228,4.4921626267108605
zuo_fast_30s,2026,0.03333333333333333,0.0001424416666666,0.13417673000740873,0.0010615973921762358,0.988519606490957,0.0,2.061270729422401e-285,7.825822961100496e-23
zuo_fast_30s,2026,1.0,0.004273249999998,0.13417673000740873,0.03184792176528708,0.7875044651827587,1.0885982163535317e-42,2.7295477365646942e-11,0.017451201566825877
zuo_fast_30s,2026,10.0,0.04273249999998,0.13417673000740873,0.31847921765287074,0.17893829077292006,7.781251100758718e-06,0.01144625560143648,0.19172858310306998
zuo_fast_30s,2026,100.0,0.4273249999998,0.13417673000740873,3.1847921765287075,2.1931935089851575e-06,0.12261245315673706,0.3835280309415483,0.8816484908149459
zuo_fast_30s,2026,1000.0,4.273249999998,0.13417673000740873,31.847921765287072,7.074285977068832e-52,3.108551224505576,4.228608600495465,5.590249235612691
empirical_1s,2027,0.03333333333333333,0.00011422,0.13417673000740873,0.0008512653423115409,0.9905976073441795,0.0,0.0,5.1136606041363575e-28
empirical_1s,2027,1.0,0.0034266,0.13417673000740873,0.025537960269346228,0.8211375095657465,8.73092929432836e-53,1.2544563633829217e-13,0.011176334406189795
empirical_1s,2027,10.0,0.034266000000000005,0.13417673000740873,0.2553796026934623,0.24033971236087656,7.31161925347343e-07,0.00624781509807717,0.16480939265626507
empirical_1s,2027,100.0,0.34266,0.13417673000740873,2.5537960269346227,2.3809959028096732e-05,0.08022556503832705,0.2991217550767845,0.753855774196568
empirical_1s,2027,1000.0,3.4266,0.13417673000740873,25.53796026934623,6.371807709473604e-42,2.3925972319093245,3.381979694765231,4.612837354744333
zuo_slow_30s,2027,0.03333333333333333,0.0001107666666666,0.13417673000740873,0.0008255281423275399,0.9908554843502956,0.0,0.0,7.81401970711611e-29
zuo_slow_30s,2027,1.0,0.0033229999999980003,0.13417673000740873,0.024765844269826198,0.8254295014786468,2.251638430993918e-54,5.3788576155638105e-14,0.010437986291497005
zuo_slow_30s,2027,10.0,0.033229999999980005,0.13417673000740873,0.24765844269826198,0.24934376254281324,5.046202470322836e-07,0.00569434597852085,0.16129914979126148
zuo_slow_30s,2027,100.0,0.33229999999980003,0.13417673000740873,2.47658442698262,3.192923495670713e-05,0.07539119965913343,0.2888034794028162,0.7378319146348504
zuo_slow_30s,2027,1000.0,3.322999999998,0.13417673000740873,24.765844269826196,1.054725796009919e-40,2.306061556116239,3.278383024774228,4.4921626267108605
zuo_fast_30s,2027,0.03333333333333333,0.0001359666666666,0.13417673000740873,0.0010133401422071653,0.9889920167903749,0.0,6.460688679591601e-299,7.83828158688048e-24
zuo_fast_30s,2027,1.0,0.004078999999998,0.13417673000740873,0.03040020426621496,0.7950057807011649,1.2329486825459055e-44,9.670764674976673e-12,0.01598626244244604
zuo_fast_30s,2027,10.0,0.04078999999998,0.13417673000740873,0.30400204266214964,0.1913161028835754,4.9263172578454795e-06,0.010159293469768457,0.1858000525546159
zuo_fast_30s,2027,100.0,0.4078999999998,0.13417673000740873,3.040020426621496,3.7835945674039326e-06,0.11247706243367123,0.36415202161818766,0.8527739936844205
zuo_fast_30s,2027,1000.0,4.0789999999980004,0.13417673000740873,30.400204266214963,1.3574105708454614e-49,2.9430417000073126,4.034362657022521,5.36724609639234
empirical_1s,2028,0.03333333333333333,0.0001148675,0.13417673000740873,0.000856091067308448,0.9905493492803755,0.0,0.0,7.181976732579122e-28
empirical_1s,2028,1.0,0.003446025,0.13417673000740873,0.02568273201925344,0.8203373114277634,1.691546697806402e-52,1.4620142431614202e-13,0.011315790611262824
empirical_1s,2028,10.0,0.03446025,0.13417673000740873,0.25682732019253435,0.23869235955337892,7.818899146000878e-07,0.006353862139343978,0.1654616037372537
empirical_1s,2028,100.0,0.34460250000000003,0.13417673000740873,2.568273201925344,2.2536424374430063e-05,0.08114154203186374,0.3010567400853658,0.7568496572712766
empirical_1s,2028,1000.0,3.446025,0.13417673000740873,25.68273201925344,3.764830098209774e-42,2.408851766192404,3.4014040929894485,4.635434700424318
zuo_slow_30s,2028,0.03333333333333333,0.00014882916666659996,0.13417673000740873,0.001109202517145724,0.9880559223266158,0.0,3.0493977138007334e-273,6.224990211959175e-22
zuo_slow_30s,2028,1.0,0.004464874999997999,0.13417673000740873,0.03327607551437172,0.780221660950148,6.17494622007245e-41,6.95430745859579e-11,0.018903255149042945
zuo_slow_30s,2028,10.0,0.04464874999997999,0.13417673000740873,0.33276075514371717,0.1675821546656557,1.1756265460382541e-05,0.012762262208909194,0.19745285350366065
zuo_slow_30s,2028,100.0,0.4464874999997999,0.13417673000740873,3.3276075514371724,1.2818648279557993e-06,0.13282133126462325,0.4026467417930165,0.9099071369290758
zuo_slow_30s,2028,1000.0,4.464874999997999,0.13417673000740873,33.27607551437172,3.962241003399073e-54,3.272461629303731,4.420229948367221,5.80960023043943
zuo_fast_30s,2028,0.03333333333333333,0.0001926666666666,0.13417673000740873,0.0014359171419363228,0.9849297421286022,0.0,1.7159136850768266e-211,2.3110180039435452e-17
zuo_fast_30s,2028,1.0,0.005779999999997999,0.13417673000740873,0.04307751425808968,0.733083733928786,4.8978020876873775e-32,8.016197085755791e-09,0.028849616912039192
zuo_fast_30s,2028,10.0,0.05779999999997999,0.13417673000740873,0.43077514258089683,0.10786732395851267,9.67563295592214e-05,0.02275611402601549,0.2340408253593465
zuo_fast_30s,2028,100.0,0.5779999999997999,0.13417673000740873,4.307751425808968,3.277586835871627e-08,0.20759852866470602,0.5339424178465978,1.0988553596267734
zuo_fast_30s,2028,1000.0,5.779999999997999,0.13417673000740873,43.07751425808968,1.4237178465534553e-69,4.411651779310427,5.735336472212212,7.30071772776134
empirical_1s,2029,0.03333333333333333,0.00018566666666660004,0.13417673000740873,0.0013837471419697604,0.9854228745064373,0.0,2.1405295721560166e-219,6.01017904299007e-18
empirical_1s,2029,1.0,0.005569999999998001,0.13417673000740873,0.041512414259092814,0.7403007393034828,3.554566876896297e-33,4.364818986006564e-09,0.02727647412681014
empirical_1s,2029,10.0,0.05569999999998001,0.13417673000740873,0.4151241425909281,0.11561638201382576,7.375400166430677e-05,0.021068348274141283,0.22846884763876368
empirical_1s,2029,100.0,0.5569999999998001,0.13417673000740873,4.151241425909282,5.8746050985024075e-08,0.19517437576562174,0.5129696675632721,1.0691919613410676
empirical_1s,2029,1000.0,5.569999999998001,0.13417673000740873,41.512414259092814,4.156308065448459e-67,4.228280353005285,5.525338832059264,7.064081793289748
zuo_slow_30s,2029,0.03333333333333333,0.0001359666666666,0.13417673000740873,0.0010133401422071653,0.9889920167903749,0.0,6.460688679591601e-299,7.83828158688048e-24
zuo_slow_30s,2029,1.0,0.004078999999998,0.13417673000740873,0.03040020426621496,0.7950057807011649,1.2329486825459055e-44,9.670764674976673e-12,0.01598626244244604
zuo_slow_30s,2029,10.0,0.04078999999998,0.13417673000740873,0.30400204266214964,0.1913161028835754,4.9263172578454795e-06,0.010159293469768457,0.1858000525546159
zuo_slow_30s,2029,100.0,0.4078999999998,0.13417673000740873,3.040020426621496,3.7835945674039326e-06,0.11247706243367123,0.36415202161818766,0.8527739936844205
zuo_slow_30s,2029,1000.0,4.0789999999980004,0.13417673000740873,30.400204266214963,1.3574105708454614e-49,2.9430417000073126,4.034362657022521,5.36724609639234
zuo_fast_30s,2029,0.03333333333333333,0.0001546916666666,0.13417673000740873,0.0011528948921177204,0.987632315832343,0.0,5.881389072054344e-263,3.5914412058189835e-21
zuo_fast_30s,2029,1.0,0.004640749999998,0.13417673000740873,0.03458684676353161,0.7736363232346513,1.8742325676300705e-39,1.5330234425765462e-10,0.02023922281946434
zuo_fast_30s,2029,10.0,0.04640749999998,0.13417673000740873,0.34586846763531615,0.1578487588931194,1.6671849984391113e-05,0.014007203892116989,0.20260601603124637
zuo_fast_30s,2029,100.0,0.46407499999979995,0.13417673000740873,3.458684676353161,7.835989687238127e-07,0.14236360570903384,0.42019750385557764,0.9356591559397474
zuo_fast_30s,2029,1000.0,4.6407499999979995,0.13417673000740873,34.58684676353161,3.401128460860447e-56,3.4234221919491614,4.596101864614302,6.010399292110457
empirical_1s,2030,0.03333333333333333,0.0001183208333333,0.13417673000740873,0.0008818282672917037,0.9902924633034721,0.0,0.0,4.12770340648191e-27
empirical_1s,2030,1.0,0.0035496249999989998,0.13417673000740873,0.02645484801875111,0.8160934337327667,5.094011375130394e-51,3.2159913283088186e-13,0.012064465300467868
empirical_1s,2030,10.0,0.03549624999999,0.13417673000740873,0.26454848018751115,0.2301170214659873,1.1045887630962348e-06,0.006931148502485635,0.16890945103674557
empirical_1s,2030,100.0,0.3549624999999,0.13417673000740873,2.6454848018751114,1.681351818562188e-05,0.0860759948828826,0.3113781905603239,0.772762557206436
empirical_1s,2030,1000.0,3.5496249999989997,0.13417673000740873,26.45484801875111,2.2756192516867957e-43,2.495692716801268,3.505000996258965,4.755803423393852
zuo_slow_30s,2030,0.03333333333333333,0.00016694166666659998,0.13417673000740873,0.0012441923920592048,0.9867529494362061,0.0,8.49828785734653e-244,9.40024292415953e-20
zuo_slow_30s,2030,1.0,0.0050082499999979995,0.13417673000740873,0.03732577176177615,0.7601684056032443,1.0814689685519162e-36,6.685820060020655e-10,0.02303179061722245
zuo_slow_30s,2030,10.0,0.05008249999998,0.13417673000740873,0.3732577176177615,0.139433420620491,3.2011988670905014e-05,0.016710668658392897,0.2130907626414984
zuo_slow_30s,2030,100.0,0.5008249999997999,0.13417673000740873,3.7325771761776148,2.8076269778267715e-07,0.16279464618293404,0.4568797285802177,0.9889475258025799
zuo_slow_30s,2030,1000.0,5.008249999997999,0.13417673000740873,37.325771761776146,1.6402679447429834e-60,3.7403514030537526,4.963596126802539,6.428487985661938
zuo_fast_30s,2030,0.03333333333333333,0.0001675541666666,0.13417673000740873,0.0012487572670562793,0.9867091790231828,0.0,6.513023874505045e-243,1.0929253275088954e-19
zuo_fast_30s,2030,1.0,0.005026624999998,0.13417673000740873,0.03746271801168838,0.7595050658449272,1.4503701326212117e-36,7.15621758035772e-10,0.023171247903171006
zuo_fast_30s,2030,10.0,0.05026624999998,0.13417673000740873,0.3746271801168838,0.13857582920821582,3.299259148879097e-05,0.016849159042258248,0.2136056264372994
zuo_fast_30s,2030,100.0,0.5026624999998,0.13417673000740873,3.7462718011688376,2.6673549370967906e-07,0.1638326600616259,0.45871412083139235,0.991594552152194
zuo_fast_30s,2030,1000.0,5.026624999998,0.13417673000740873,37.46271801168838,9.979556930137726e-61,3.756247695718479,4.98197086214719,6.449342518754641
empirical_1s,2031,0.03333333333333333,0.0001245625,0.13417673000740873,0.0009283465172621372,0.9898301977554919,0.0,0.0,7.612923577642517e-26
empirical_1s,2031,1.0,0.003736875,0.13417673000740873,0.02785039551786412,0.8085224560869267,1.4854406308126207e-48,1.1967077373483103e-12,0.013435891333095806
empirical_1s,2031,10.0,0.03736875,0.13417673000740873,0.2785039551786412,0.2154753614492495,1.9660010104460856e-06,0.008022219977612925,0.17501675328690755
empirical_1s,2031,100.0,0.3736875,0.13417673000740873,2.785039551786412,9.910802254432248e-06,0.09519633539921939,0.3300394667801255,0.8013021059195808
empirical_1s,2031,1000.0,3.7368750000000004,0.13417673000740873,27.85039551786412,1.428682335102835e-45,2.6532657004600892,3.6922458403713936,4.972746543204064
zuo_slow_30s,2031,0.03333333333333333,0.0001482166666666,0.13417673000740873,0.00110463764214865,0.9881002870095764,0.0,2.305101096556789e-274,5.142138023562065e-22
zuo_slow_30s,2031,1.0,0.004446499999998,0.13417673000740873,0.0331391292644595,0.7809150841247522,4.256126030499812e-41,6.380025584985326e-11,0.018763813126046157
zuo_slow_30s,2031,10.0,0.04446499999998,0.13417673000740873,0.331391292644595,0.16863621250552263,1.131724123456091e-05,0.012634185791419058,0.19690903379580402
zuo_slow_30s,2031,100.0,0.4446499999998,0.13417673000740873,3.31391292644595,1.3495568794945122e-06,0.1318337167585843,0.4008132627128512,0.9072066794087993
zuo_slow_30s,2031,1000.0,4.446499999998,0.13417673000740873,33.1391292644595,6.513938134318248e-54,3.2567179058651736,4.401855284778132,5.788592903881407
zuo_fast_30s,2031,0.03333333333333333,0.0001798041666666,0.13417673000740873,0.001340054766997764,0.9858375486833793,0.0,1.7274469386505507e-226,1.7946436673823955e-18
zuo_fast_30s,2031,1.0,0.005394124999998,0.13417673000740873,0.040201643009932925,0.7464312430248192,3.376556204324211e-34,2.5297594925805903e-09,0.02595252374979177
zuo_fast_30s,2031,10.0,0.053941249999980005,0.13417673000740873,0.40201643009932925,0.12256497824725542,5.7836475149830424e-05,0.019678003206192136,0.2237314107298176
zuo_fast_30s,2031,100.0,0.5394124999998,0.13417673000740873,4.020164300993292,9.581607611527756e-08,0.18489814575736138,0.49540674823107567,1.0442141001881433
zuo_fast_30s,2031,1000.0,5.3941249999980005,0.13417673000740873,40.20164300993292,4.8263351295830075e-65,4.075097641797506,5.349465951082768,6.86550789435441
empirical_1s,2032,0.03333333333333333,0.00018566666666660004,0.13417673000740873,0.0013837471419697604,0.9854228745064373,0.0,2.1405295721560166e-219,6.01017904299007e-18
empirical_1s,2032,1.0,0.005569999999998001,0.13417673000740873,0.041512414259092814,0.7403007393034828,3.554566876896297e-33,4.364818986006564e-09,0.02727647412681014
empirical_1s,2032,10.0,0.05569999999998001,0.13417673000740873,0.4151241425909281,0.11561638201382576,7.375400166430677e-05,0.021068348274141283,0.22846884763876368
empirical_1s,2032,100.0,0.5569999999998001,0.13417673000740873,4.151241425909282,5.8746050985024075e-08,0.19517437576562174,0.5129696675632721,1.0691919613410676
