load_source,horizon_h,shape_median,shape_q05,shape_q95,near_zero_probability_median,near_zero_probability_q05,near_zero_probability_q95
empirical_1s,0.03333333333333333,0.0008802196922926105,0.0008512653423115409,0.0013837471419697604,0.9903084963179667,0.9854228745064373,0.9905976073441795
empirical_1s,1.0,0.026406590768778312,0.025537960269346228,0.041512414259092814,0.8163575871355232,0.7403007393034828,0.8211375095657465
empirical_1s,10.0,0.26406590768778315,0.2553796026934623,0.4151241425909281,0.23064344921941743,0.11561638201382576,0.24033971236087656
empirical_1s,100.0,2.6406590768778315,2.5537960269346227,4.151241425909282,1.7126887990229828e-05,5.8746050985024075e-08,2.3809959028096732e-05
empirical_1s,1000.0,26.406590768778315,25.53796026934623,41.512414259092814,2.7536190258528164e-43,4.156308065448459e-67,6.371807709473604e-42
zuo_fast_30s,0.03333333333333333,0.001222346204573207,0.001035055904693247,0.0014144948357000529,0.9869628930768308,0.9851321959049566,0.9887794321556368
zuo_fast_30s,1.0,0.03667038613719621,0.03105167714079741,0.042434845071001585,0.7633669248637893,0.7360452223312054,0.7916301887178822
zuo_fast_30s,10.0,0.3667038613719621,0.3105167714079741,0.4243484507100159,0.14368579557266864,0.11103884128437777,0.1857460874337805
zuo_fast_30s,100.0,3.6670386137196207,3.1051677140797413,4.243484507100159,3.697282106467483e-07,4.314591327237388e-08,3.0679140911154822e-06
zuo_fast_30s,1000.0,36.6703861371962,31.051677140797413,42.43484507100158,9.62276303086199e-59,1.1459713267481188e-67,7.497592426546833e-50
zuo_slow_30s,0.03333333333333333,0.0010589888921779076,0.0008255281423275399,0.0013736718107262174,0.9885461518999756,0.9855239303091374,0.9908554843502956
zuo_slow_30s,1.0,0.031769666765337226,0.024765844269826198,0.04121015432178653,0.7879604324129585,0.7419936495939413,0.8254295014786468
zuo_slow_30s,10.0,0.31769666765337234,0.24765844269826198,0.41210154321786524,0.179976157694549,0.11873722980616645,0.24934376254281324
zuo_slow_30s,100.0,3.176966676533723,2.47658442698262,4.121015432178653,2.5665757234492225e-06,1.3740632671607713e-07,3.192923495670713e-05
zuo_slow_30s,1000.0,31.76966676533723,24.765844269826196,41.210154321786526,6.787378551134023e-50,7.381205751410928e-61,1.054725796009919e-40
