template_id,template_source,source_seed,segment_id,start_offset,start_timestamp,end_timestamp,raw_power_mean_kw,raw_power_max_kw,positive_share,duration_h,role_0_source_stack,role_1_source_stack,role_0_continuous_mean_pct,role_1_continuous_mean_pct,role_0_load_shift_damage_pct,role_1_load_shift_damage_pct,role_0_operational_start_damage_pct,role_1_operational_start_damage_pct,internal_start_count,tracking_mae_kw,tracking_max_abs_kw,tracking_within_tolerance_share,constraint_violation_steps,safety_override_steps,planning_runtime_s
empirical_markov_1s_020,empirical_markov_1s,2046,-1,-1,,,,,1.0,0.0833333333333333,0,1,0.0001132222222222,0.0001666666666666,0.0002965,0.0002372,0.0,0.0,0,1.289166432985914,1.6907720298739264,1.0,0,1,67.64716050005518
empirical_markov_1s_021,empirical_markov_1s,2047,-1,-1,,,,,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.0,0.0,0,0.5061168698624744,0.5061181292579988,1.0,0,0,85.95227869879454
empirical_markov_1s_022,empirical_markov_1s,2048,-1,-1,,,,,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.0,0.0,0,0.5061168698624744,0.5061181292579988,1.0,0,0,86.5637177976314
empirical_markov_1s_023,empirical_markov_1s,2049,-1,-1,,,,,1.0,0.0833333333333333,1,0,0.0001666666666666,0.00011055,0.0001186,0.0001186,0.0,0.0,0,1.261148948667676,1.6907715238611374,1.0,0,0,75.3959995014593
real_calibration_window_000,real_calibration_window,2026,5,11651,2025-05-17 16:13:41,2025-05-17 16:18:40,31.16356508333333,31.2156,1.0,0.0833333333333333,0,1,0.0002891666666666,0.0002891666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,4.372518373000203,4.372520343655552,1.0,0,0,80.30311429756694
real_calibration_window_001,real_calibration_window,2026,0,1535,2025-05-17 08:35:49,2025-05-17 08:40:48,19.570924863425923,23.788100000000004,1.0,0.0833333333333333,0,1,0.0002303388888888,0.0001666666666666,0.000593,0.0006523,0.00011270215229804732,0.00011270215229804732,0,1.3036736363319297,4.36177823668347,1.0,0,0,33.49269279977307
real_calibration_window_002,real_calibration_window,2026,13,8796,2025-05-19 13:52:52,2025-05-19 13:57:51,23.16496808333333,23.2288,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.108602717389254,0.5447376828015322,1.0,0,0,80.91324030095711
real_calibration_window_003,real_calibration_window,2026,8,106,2025-05-18 13:28:34,2025-05-18 13:33:33,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,83.17496009846218
real_calibration_window_004,real_calibration_window,2026,10,7275,2025-05-19 09:57:54,2025-05-19 10:02:53,11.51778475,11.61,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.4902224185526534,0.554981593683344,1.0,0,0,80.67320419987664
real_calibration_window_005,real_calibration_window,2026,7,13469,2025-05-18 09:33:17,2025-05-18 09:38:16,11.59883,11.61,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.265785147589856,0.5195344799244879,1.0,0,0,80.49014640017413
