month,current_point_a,days,rows,stack_voltage_v,daily_voltage_mad_v,coolant_in_c,air_in_pressure_raw,h2_in_pressure_raw
2025-04,195.0,1,6116,103.32909553214677,0.0,67.77403531720078,132.76285153695224,142.18989535644212
2025-04,270.0,1,1226,99.93840579710144,0.0,69.62406199021207,148.74983686786297,158.21508972267537
2025-04,340.0,1,160,97.0,0.0,69.55625,161.73625,171.279375
2025-05,90.0,1,34,112.8125,0.0,67.51470588235294,122.57352941176472,132.14999999999998
2025-05,120.0,4,188,116.76175213675214,8.828205128205127,65.62441520467837,122.53786549707601,131.85350877192982
2025-05,195.0,19,108650,103.87148347425058,0.6313389791979631,67.60096658381663,132.9255319148936,142.38924469195965
2025-05,270.0,17,21921,100.33630952380952,0.4614224416053645,69.58054573016676,148.48452380952384,157.8892703862661
2025-05,340.0,6,1697,96.96136701337295,0.41507109129398856,69.54205976095618,160.9655343071305,170.303528413095
2025-06,90.0,1,42,131.3684210526316,0.0,66.98095238095237,121.9857142857143,131.10714285714283
2025-06,120.0,1,79,124.24657534246576,0.0,65.28101265822784,122.28860759493672,131.9354430379747
2025-06,195.0,11,62327,119.12656048213518,0.2333225386802411,67.75320954907161,132.2273759851646,141.67554473806214
2025-06,270.0,11,6763,115.55380200860832,0.22020929082673035,69.62174940898345,146.9747663551402,156.467523364486
2025-06,340.0,5,884,111.73076923076924,0.36312748284578333,69.90418118466899,158.97038327526133,168.57584541062803
2025-07,90.0,6,210,131.17222222222222,0.3121621621621671,66.7834375,121.79722838137474,131.1591856060606
2025-07,120.0,2,70,123.76635944700462,0.6050691244239701,65.39324324324323,122.58361998362,132.16814086814088
2025-07,195.0,20,119668,118.26726215432636,0.7923029685908247,67.80836840900378,131.65444587688063,141.141939471686
2025-07,270.0,22,15514,114.69533132819161,0.8227515270403742,69.69168730040514,146.32503224579875,155.8698606161371
2025-07,340.0,11,1334,119.9054054054054,0.4945945945946022,69.90502283105023,152.52753623188406,161.99710144927533
2025-08,90.0,10,373,134.44594594594594,0.49738448125545176,66.96789716545814,119.57986486486486,129.05434966216217
2025-08,120.0,4,309,127.24094364937389,0.425397190881867,65.54959696538644,119.80868895211,129.1302987197724
2025-08,160.0,1,36,123.6470588235294,0.0,66.77222222222223,125.96666666666664,135.37777777777777
2025-08,195.0,27,195569,124.10733333333332,0.6244863061083095,67.77646994175183,128.0863027461487,137.55129241877256
2025-08,270.0,27,19456,121.97402597402598,0.6785163988553791,69.6951965065502,140.95927783350052,150.44150326797384
