date,current_point_a,rows,stack_voltage_trimmed_mean_v,stack_voltage_median_v,stack_voltage_std_v,actual_current_mean_a,coolant_in_mean_c,coolant_out_mean_c,air_in_pressure_mean_raw,h2_in_pressure_mean_raw,source_files
2025-04-30,195.0,6116,103.32909553214677,103.0,0.5434955038838396,194.4863472858077,67.77403531720078,71.56120013080445,132.76285153695224,142.18989535644212,21UBE0022_苏E02625F-2025-05-01.csv
2025-04-30,270.0,1226,99.93840579710144,100.0,0.7230126919784577,269.93417618270803,69.62406199021207,74.41451876019576,148.74983686786297,158.21508972267537,21UBE0022_苏E02625F-2025-05-01.csv
2025-04-30,340.0,160,97.0,97.0,0.25,338.98687500000005,69.55625,75.11625000000001,161.73625,171.279375,21UBE0022_苏E02625F-2025-05-01.csv
2025-05-01,195.0,4168,103.24626865671642,103.0,0.4731295113343975,195.16547504798467,67.73747600767756,71.56058061420346,132.83651631477923,142.2552783109405,21UBE0022_苏E02625F-2025-05-02.csv
2025-05-01,270.0,2813,99.47966837741808,99.0,0.5276517381218052,269.6768574475649,69.60174191254889,74.41009598293637,148.72228937077855,158.18233202986136,21UBE0022_苏E02625F-2025-05-02.csv
2025-05-02,90.0,34,112.8125,113.0,0.4886249331128279,89.93235294117648,67.51470588235294,71.07647058823531,122.57352941176472,132.14999999999998,21UBE0022_苏E02625F-2025-05-03.csv
2025-05-02,120.0,36,107.23529411764706,107.0,0.97182531580755,119.96388888888887,65.62777777777778,68.23888888888888,122.43888888888888,131.98333333333335,21UBE0022_苏E02625F-2025-05-03.csv
2025-05-02,195.0,8619,103.065085706921,103.0,0.4425900913560071,194.7346443903005,67.79211045364892,71.64785938043856,132.9282167304792,142.38924469195965,21UBE0022_苏E02625F-2025-05-03.csv
2025-05-02,270.0,1572,99.30225988700565,99.0,0.4683156681496068,269.9295801526718,69.4780534351145,74.29312977099237,149.2148854961832,158.76202290076336,21UBE0022_苏E02625F-2025-05-03.csv
2025-05-03,195.0,7073,103.24014449505262,103.0,0.531311758516284,194.5391630142797,67.65505443234836,71.49577265658137,132.89315707620528,142.3050332249399,21UBE0022_苏E02625F-2025-05-04.csv
2025-05-03,270.0,2240,100.33630952380952,100.0,0.4931964977525775,269.5329017857143,69.43656250000001,74.2484375,149.07741071428572,158.56357142857144,21UBE0022_苏E02625F-2025-05-04.csv
2025-05-04,195.0,8011,103.5535986687006,104.0,0.6093173686747526,194.8989514417676,67.37735613531395,71.18996379977531,133.13838472100863,142.61245787042816,21UBE0022_苏E02625F-2025-05-05.csv
2025-05-04,270.0,1278,100.18055555555556,100.0,0.4128223471493655,269.9298122065728,69.66298904538341,74.50062597809077,149.4064945226917,158.9307511737089,21UBE0022_苏E02625F-2025-05-05.csv
2025-05-04,340.0,200,97.0,97.0,0.14,339.9315,69.8015,75.5475,162.52900000000002,171.9255,21UBE0022_苏E02625F-2025-05-05.csv
2025-05-05,195.0,5169,104.05974640017196,104.0,0.3800317030125947,194.957999613078,67.29591797252854,71.13014122654285,132.3360804797833,141.89653704778488,21UBE0022_苏E02625F-2025-05-06.csv
2025-05-05,270.0,2157,100.16469377251671,100.0,0.4436526306410505,269.92846546128885,69.25795085767271,74.13722763096894,147.87719054242004,157.27385257301805,21UBE0022_苏E02625F-2025-05-06.csv
2025-05-05,340.0,747,96.92273402674591,97.0,0.3239569849174228,339.6800535475234,69.17402945113788,75.0681392235609,160.76385542168674,170.18755020080323,21UBE0022_苏E02625F-2025-05-06.csv
2025-05-06,120.0,43,108.05128205128209,108.0,0.5095093558187591,120.00232558139534,65.43488372093023,67.9627906976744,122.1511627906977,131.69069767441863,21UBE0022_苏E02625F-2025-05-07.csv
2025-05-06,195.0,10783,103.6030911901082,104.0,0.5376339412502104,194.9010479458408,67.6780580543448,71.564508949272,132.69954558100713,142.1151627561903,21UBE0022_苏E02625F-2025-05-07.csv
2025-05-06,270.0,924,100.42427884615384,100.0,0.4953294254023492,269.92673160173166,69.61612554112554,74.46536796536796,148.48452380952384,157.9237012987013,21UBE0022_苏E02625F-2025-05-07.csv
2025-05-06,340.0,363,96.77981651376146,97.0,0.4397198200848564,339.9319559228651,69.10606060606061,75.01129476584022,160.8322314049587,170.2617079889807,21UBE0022_苏E02625F-2025-05-07.csv
2025-05-07,195.0,11963,103.67205349679575,104.0,0.5184296480263093,194.71490428822204,67.57219760929533,71.46335367382764,133.01919251023992,142.50774889241828,21UBE0022_苏E02625F-2025-05-08.csv
2025-05-07,270.0,392,100.0,100.0,0.1806547569015838,269.93010204081634,69.66224489795918,74.54795918367347,149.16020408163263,158.7127551020408,21UBE0022_苏E02625F-2025-05-08.csv
2025-05-08,195.0,6933,103.48069219676334,103.0,0.5436198694925654,195.00184624260783,67.43659310543777,71.3741814510313,132.229265830088,141.7688302322227,21UBE0022_苏E02625F-2025-05-09.csv
2025-05-08,270.0,2458,99.87488708220415,100.0,0.4154492774619767,269.93006509357207,69.4747355573637,74.38637103336046,148.44113100081367,157.8580553295362,21UBE0022_苏E02625F-2025-05-09.csv
2025-05-09,195.0,5737,103.551403678606,104.0,0.5302980943421275,195.43388530590903,67.65248387659057,71.62910929056999,132.20280634477948,141.7268607286038,21UBE0022_苏E02625F-2025-05-10.csv
2025-05-09,270.0,1979,100.36567582725743,100.0,0.4923861254810545,269.77089439110665,69.58054573016676,74.50980293077312,148.23966649823146,157.6636685194543,21UBE0022_苏E02625F-2025-05-10.csv
2025-05-10,195.0,7227,103.87148347425058,104.0,0.6082269634697883,194.98176283381764,67.57184170471841,71.57801300678013,133.2665698076657,142.70300262903004,21UBE0022_苏E02625F-2025-05-11.csv
2025-05-10,270.0,2094,99.99204665959704,100.0,0.3992861779043629,269.8797039159504,69.5193887297039,74.46289398280801,148.84498567335245,158.30324737344796,21UBE0022_苏E02625F-2025-05-11.csv
2025-05-11,195.0,2961,103.49906191369604,103.0,0.5392698432490888,194.6947990543736,67.5983789260385,71.56440391759541,132.9255319148936,142.39787234042552,21UBE0022_苏E02625F-2025-05-12.csv
2025-05-11,270.0,848,100.0,100.0,0.2328942260793896,268.9628537735849,69.68313679245283,74.60931603773585,148.64363207547171,158.0635613207547,21UBE0022_苏E02625F-2025-05-12.csv
2025-05-11,340.0,251,96.31277533039646,96.0,0.4704570332789007,339.9278884462151,69.37011952191236,75.30796812749004,161.46693227091632,170.99442231075696,21UBE0022_苏E02625F-2025-05-12.csv
2025-05-17,195.0,4040,118.94169416941696,119.0,0.4732642197172133,194.68183168316835,67.76408415841584,71.58051980198019,132.5841584158416,142.07492574257424,21UBE0022_苏E02625F-2025-05-18.csv
2025-05-17,270.0,378,115.66959064327484,116.0,0.4758743806845204,268.9312169312169,69.5047619047619,74.32380952380953,147.10820105820108,156.66984126984127,21UBE0022_苏E02625F-2025-05-18.csv
2025-05-18,195.0,7063,119.08258612553092,119.0,0.6872508772101289,194.9265326348577,67.58667704941243,71.35101231771202,132.8024635424041,142.19980178394448,21UBE0022_苏E02625F-2025-05-19.csv
2025-05-18,270.0,797,115.26981919332408,115.0,0.5221714405020111,269.9271016311167,69.33651191969886,74.12622333751568,148.0691342534504,157.47954830614808,21UBE0022_苏E02625F-2025-05-19.csv
2025-05-19,120.0,38,125.4722222222222,125.0,0.8506963092234008,119.95526315789476,65.62105263157896,68.37894736842105,122.63684210526316,131.7236842105263,21UBE0022_苏E02625F-2025-05-20.csv
2025-05-19,195.0,5614,118.78195488721803,119.0,0.6366922261801157,194.94428215176347,67.81293195582474,71.67192732454578,132.4797292483078,141.97857142857143,21UBE0022_苏E02625F-2025-05-20.csv
2025-05-19,270.0,932,114.975,115.0,0.3625831620374326,269.5469957081545,69.5848712446352,74.42693133047212,147.56663090128754,156.9417381974249,21UBE0022_苏E02625F-2025-05-20.csv
2025-05-20,195.0,84,118.07894736842104,118.0,0.3844703633798843,194.91547619047623,67.86309523809524,71.45119047619048,133.17857142857142,142.7297619047619,21UBE0022_苏E02625F-2025-05-21.csv
2025-05-25,195.0,3727,118.8789865871833,119.0,0.3911281308654647,194.93184867185408,67.54692782398713,71.35130131473036,133.44910115374296,142.93724174939632,21UBE0022_苏E02625F-2025-05-26.csv
2025-05-25,270.0,233,115.02369668246446,115.0,0.3191009492779589,269.9304721030043,69.72403433476394,74.52103004291845,148.5918454935622,157.8892703862661,21UBE0022_苏E02625F-2025-05-26.csv
2025-05-26,120.0,71,125.70769230769233,126.0,0.9487982982027768,119.9338028169014,66.22816901408453,69.33802816901407,124.13802816901404,133.64788732394365,21UBE0022_苏E02625F-2025-05-27.csv
2025-05-26,195.0,7242,118.54265111997545,118.0,0.8422255041913205,194.78105495719416,67.60096658381663,71.4118199392433,133.4110052471693,142.86853079259873,21UBE0022_苏E02625F-2025-05-27.csv
2025-05-26,270.0,548,115.40485829959516,115.0,0.5250498201651875,269.8197080291971,69.68978102189782,74.51021897810219,148.23193430656934,157.55109489051094,21UBE0022_苏E02625F-2025-05-27.csv
2025-05-27,195.0,320,118.1527777777778,118.0,0.3903123748998999,194.934375,67.3721875,71.1165625,134.1653125,143.64375,21UBE0022_苏E02625F-2025-05-28.csv
