policy,reference_policy,mean_gain_h,minimum_gain_h,maximum_gain_h,win_share,nonworse_share
fixed_pair,health_greedy,-401.6,-592.0,-121.0,0.0,0.0
expected_max,health_greedy,2.6,-7.0,80.0,0.2,0.65
