policy,reference_policy,mean_gain_h,minimum_gain_h,maximum_gain_h,win_share,nonworse_share
health_greedy,fixed_pair,401.6,121.0,592.0,1.0,1.0
expected_max,fixed_pair,404.2,196.0,594.0,1.0,1.0
