load_source,strategy,n_runs,soc_fair_share,zero_violation_share,hydrogen_soc_corrected_g_mean,hydrogen_soc_corrected_g_std,hydrogen_soc_corrected_g_ci95,sampled_damage_increment_pct_mean,sampled_damage_increment_pct_std,sampled_damage_increment_pct_ci95,main_sampled_damage_increment_pct_mean,main_sampled_damage_increment_pct_std,main_sampled_damage_increment_pct_ci95,expected_damage_increment_pct_mean,expected_damage_increment_pct_std,expected_damage_increment_pct_ci95,main_expected_damage_increment_pct_mean,main_expected_damage_increment_pct_std,main_expected_damage_increment_pct_ci95,performance_loss_sum_mean,performance_loss_sum_std,performance_loss_sum_ci95,main_performance_loss_sum_mean,main_performance_loss_sum_std,main_performance_loss_sum_ci95,battery_throughput_kwh_mean,battery_throughput_kwh_std,battery_throughput_kwh_ci95,soc_error_mean,soc_error_std,soc_error_ci95,safety_override_steps_mean,safety_override_steps_std,safety_override_steps_ci95,aged_stack_current_share_mean,aged_stack_current_share_std,aged_stack_current_share_ci95,main_aged_stack_current_share_mean,main_aged_stack_current_share_std,main_aged_stack_current_share_ci95,damage_increment_range_pct_mean,damage_increment_range_pct_std,damage_increment_range_pct_ci95
real_block_bootstrap,average,1,1.0,1.0,31.55742498052699,0.0,0.0,0.005105863333333334,0.0,0.0,0.0025718524999999996,0.0,0.0,0.005105863333333334,0.0,0.0,0.0025718524999999996,0.0,0.0,1.4127972031383353,0.0,0.0,0.052141994263849044,0.0,0.0,0.07058686121591179,0.0,0.0,5.053303838709056e-06,0.0,0.0,0.0,0.0,0.0,0.28270042194092826,0.0,0.0,0.5,0.0,0.0,0.00024281333336440003,0.0,0.0
real_block_bootstrap,beam_health,1,1.0,1.0,31.521675193820183,0.0,0.0,0.00409423,0.0,0.0,0.0,0.0,0.0,0.00409423,0.0,0.0,0.0,0.0,0.0,1.7270668001088967,0.0,0.0,0.0,0.0,0.0,0.05620628837825217,0.0,0.0,-0.00011323420980857701,0.0,0.0,0.0,0.0,0.0,0.3448667044809983,0.0,0.0,0.0,0.0,0.0,0.00019496333336233018,0.0,0.0
synthetic_event_markov,average,1,1.0,1.0,43.777282275811984,0.0,0.0,0.004608552083333333,0.0,0.0,0.0025689533333333333,0.0,0.0,0.004608552083333333,0.0,0.0,0.0025689533333333333,0.0,0.0,6.955491195551694,0.0,0.0,0.6544101120812928,0.0,0.0,0.2479495394169776,0.0,0.0,5.158641869940084e-05,0.0,0.0,0.0,0.0,0.0,0.5531268973891925,0.0,0.0,0.5,0.0,0.0,0.0002226631944810542,0.0,0.0
synthetic_event_markov,beam_health,1,1.0,1.0,43.64186660536365,0.0,0.0,0.005104707638888889,0.0,0.0,0.0020655555555555557,0.0,0.0,0.005104707638888889,0.0,0.0,0.0020655555555555557,0.0,0.0,6.588896345165173,0.0,0.0,0.7357609441731283,0.0,0.0,0.1538339282504288,0.0,0.0,-8.802057519852191e-06,0.0,0.0,0.0,0.0,0.0,0.5285975982088337,0.0,0.0,0.4129032258064516,0.0,0.0,0.00027960347218958237,0.0,0.0
