policy,reference,first_boundary_gain_mean_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_gain_median_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_sign_p_one_sided,second_boundary_win_share,second_boundary_nonworse_share,first_boundary_total_damage_delta_mean_pct
order_blend_50,fixed_pair,74.64,4.79,2.73,7.9521844784427955,0.0,39,147,14,0.00040116544344748206,0.195,0.93,0.821107380928911
expected_n_plus_one,fixed_pair,-728.045,2.005,-0.8115407123068196,4.843729288282666,0.0,79,57,64,0.12080209762255054,0.395,0.68,-7.668977454777305
