strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s
Instant,1,3600,0.7588664663239797,496.13932771841405,0.6118764521652483,-0.08812354783475163,33.134825676080965,65,308.3885541965112,8338.964553488184,1.1616618999978527
Constant,5,3600,0.8752866090771765,701.1777130886983,0.6656120248035438,-0.0343879751964562,33.41710754867128,54,305.2366501957023,10548.818592311238,3.344565499923192
Perfect,5,3600,0.8756240330284101,708.7621938125219,0.6650537266149602,-0.03494627338503975,33.53124535672914,52,296.8878554343032,10455.463357152892,3.4300073999911547
Predicted_original,5,3600,0.8351331588803985,610.3712828534952,0.6497361875791381,-0.050263812420861864,32.169213235925774,166,756.772908870229,7065.514724378274,6.10077929997351
Predicted_optimized,5,3600,0.9282532898431607,799.5326134851975,0.6896370227301081,-0.010362977269891882,33.3698591919634,55,308.4903263396513,10331.09542288181,3.4206728000426665
