strategy,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s,candidate_id,calibration_selection_score,soc_equivalent_recharge_s,soc_equivalent_h2_kg,soc_equivalent_proxy,horizon,forecast_mode,confidence_form,confidence_rate,trend_weight,trusted_steps,forecast_block_size,move_block_size,max_horizon_switches,min_dwell,w_hydrogen,w_degradation_proxy,w_battery_use,w_soc,w_switch,w_smooth
Pareto_12,5,3600,0.9282532898431607,799.5326134851975,0.6896370227301081,-0.010362977269891882,33.3698591919634,55,308.4903263396513,10331.09542288181,3.408823600038886,12,4.387094990027778,34.341843973801026,0.9508189290743411,833.8744574589986,5,window_mean,adaptive,0.35,0.5,5,2,1,1,60,0.3,3.5,1.5,5.0,0.03,0.3
Pareto_23,10,3600,0.91718933607377,829.5687981280796,0.6822497089317268,-0.017750291068273194,33.02498234541618,80,475.9309544165229,12440.37789715362,7.011559000005946,23,4.402051526596444,58.82264435021305,0.9558410337532416,888.3914424782927,10,block_mean,linear,0.02,0.5,5,5,2,1,40,0.15,3.5,1.0,8.0,0.03,0.8
Pareto_28,5,3600,0.9161770642200696,801.2468158332841,0.682822235207758,-0.01717776479224198,33.334444593370016,121,683.8567670775782,8469.49250159541,4.3364163000369444,28,4.964586046943959,56.92535098265069,0.9535820717776949,858.1721668159348,5,cumulative_mean,linear,0.35,0.5,3,5,1,1,25,0.7,2.0,0.5,5.0,0.6,0.1
Pareto_21,10,3600,0.9227035538031373,876.7601792083003,0.6840879348677,-0.015912065132299924,32.09677718307271,195,1223.5208107495687,9671.30305476534,6.764878999907523,21,5.939236360022909,52.73095210408627,0.9573524690566464,929.4911313123866,10,window_mean,linear,0.1,0.25,1,3,5,1,15,0.15,0.75,1.5,8.0,0.15,0.01
Pareto_6,5,3600,0.8986398983335954,770.7439484313445,0.6765817139755393,-0.02341828602446061,31.916395017365577,182,1072.5364552799326,6666.160828423021,3.79080029996112,6,6.08868437762043,77.60579839564407,0.949633795172094,848.3497468269886,5,window_mean,linear,0.05,0.25,2,2,3,1,15,0.45,2.0,1.5,3.0,0.3,0.01
Pareto_19,5,3600,0.9223217319635837,887.616565118795,0.6837139434429544,-0.016286056557045514,31.553059751181816,264,1626.6041299350393,9712.077693712106,4.242615700000897,19,6.900381986601843,53.97032133376389,0.957785022791464,941.5868864525589,5,block_mean,exponential,0.05,0.25,1,3,2,2,10,0.7,1.25,0.5,8.0,0.08,0.04
Pareto_35,5,3600,0.8998475208959046,777.0633980553562,0.6779183596585381,-0.022081640341461872,31.54362578724443,251,1535.170708198606,7467.620954797276,4.330518599948846,35,7.056344100773952,73.17629167201538,0.9479308387109312,850.2396897273716,5,block_mean,hard_fallback,0.2,0.25,2,3,3,1,10,0.7,0.75,4.0,2.0,0.6,0.1
