point_mae_kw,point_rmse_kw,point_nrmse_range_pct,window_mean_rmse_kw,window_energy_mae_kwh,high_power_f1,braking_f1,ramp_risk_mae_kw,feature_group,horizon_s,split,n,feature_count,runtime_s
5.44458392560887,11.102520164537886,2.4914952796554766,11.102520164537886,0.001512384421231012,0.9086693288677058,0.9272995743941631,4.848563594824355,base,1,validation,31661,161,5.230469400004949
5.254382477979452,10.675703948311892,2.395714270276716,10.675703948311892,0.001459550690191012,0.9018746338605741,0.9203404418093143,4.705150234976582,base,1,test,31247,161,5.244388099992648
5.452249807874688,11.149833341730899,2.502112739105666,11.149833341730899,0.0015145138371347147,0.9069767441860465,0.9266174554928355,4.860824803753416,base_route,1,validation,31661,166,5.238332899985835
5.250237459285538,10.670847287138487,2.394624396247298,10.670847287138487,0.0014583992922888422,0.8997805413313826,0.9202371843917369,4.700530867278257,base_route,1,test,31247,166,5.25185679999413
5.443757723129046,11.102021288501104,2.491383327839821,11.102021288501104,0.001512154921331564,0.9105168423759321,0.9285404185117652,4.849481610464069,base_intent,1,validation,31661,189,5.312968000012916
5.24549354288031,10.63517236778957,2.386618655943055,10.63517236778957,0.0014570815354377827,0.9024711215089926,0.9211935730680949,4.691620958267715,base_intent,1,test,31247,189,5.326236099994276
5.3843458186294715,10.98827366121209,2.4658574407202645,10.98827366121209,0.0014956516171683537,0.9065456902138691,0.9283424313317736,4.808499541295548,base_power_chain,1,validation,31661,269,8.502835099992808
5.3613640285007556,10.782269212866064,2.4196283771350853,10.782269212866064,0.0014892677854107632,0.8963477746562176,0.9192237835770959,4.803147424127281,base_power_chain,1,test,31247,269,8.51635679998435
5.453043190289177,11.093434637228475,2.4894564138782376,11.093434637228475,0.0015147342211461183,0.9081303955675815,0.927536231884058,4.862868091013802,base_health,1,validation,31661,188,5.42126350000035
5.264704959765519,10.697834692475265,2.40068058817582,10.697834692475265,0.0014624180465152398,0.9018746338605741,0.9195226730310263,4.710798217943159,base_health,1,test,31247,188,5.434637199970894
5.445273873525943,11.139096680439144,2.4997033455147304,11.139096680439144,0.0015125760763422438,0.9104266013661554,0.9278278972935462,4.856662649164696,base_route_intent,1,validation,31661,194,5.284446300007403
5.259529293657855,10.70473602360107,2.4022293026720303,10.70473602360107,0.0014609803606663414,0.8981807511737089,0.9209142201396194,4.705828349355125,base_route_intent,1,test,31247,194,5.297640300006606
5.423041027945146,11.05829536494802,2.481570877106422,11.05829536494802,0.0015064002825264866,0.9056456846203764,0.9272428410762177,4.843150583442535,all_available,1,validation,31661,329,9.408698999963235
5.378146672526406,10.827372222408572,2.429749857097116,10.827372222408572,0.0014939296336606584,0.8940201302545885,0.9181392683159805,4.808362648170572,all_available,1,test,31247,329,9.42278849997092
7.9909261172397565,16.10795735045567,3.6147558490133544,12.996281445526236,0.00555487077382697,0.886622675464907,0.905187074829932,11.523969535145351,base,3,validation,31655,161,14.389326600008644
7.6066081118460955,15.238292248629811,3.4195959696374083,12.240727920524876,0.0052622094945521825,0.8653504880212954,0.8925695882217621,11.242291740090018,base,3,test,31245,161,14.418009900022298
7.989062840671596,16.107395816246974,3.6146298361973814,12.988653575179953,0.005547456315997591,0.8859745720292321,0.9060906515580737,11.484849674545908,base_route,3,validation,31655,166,14.800076099985745
7.599915230811011,15.235037607681727,3.418865601897566,12.234566209377405,0.0052562191755919346,0.863994670811591,0.8937801978679346,11.210762506940455,base_route,3,test,31245,166,14.824202599993441
7.979520593021115,16.092685756245544,3.6113287798143383,12.972090630277659,0.005542676097750043,0.8882899071578317,0.9048361934477379,11.503785884824154,base_intent,3,validation,31655,189,14.800672899989877
7.58641877782937,15.22334850434058,3.4162424726110374,12.215624163711958,0.005236727077313196,0.8661190053285968,0.8954032691274653,11.205906105814432,base_intent,3,test,31245,189,14.82526140002301
7.996102542349162,16.08907935015107,3.610519473131915,12.897691807388997,0.005528344921341201,0.8847120313599357,0.9053643367022405,11.541262055854945,base_power_chain,3,validation,31655,269,24.329358400020283
7.654879263226184,15.27928405967789,3.4287948634216345,12.240327220586048,0.005260431340861965,0.8620419141544323,0.894478527607362,11.304081863635638,base_power_chain,3,test,31245,269,24.35448969999561
7.986759330324393,16.110225327338128,3.6152648013605035,12.986821739671413,0.005545205355767224,0.8865340397880636,0.9052512224505704,11.513481734021655,base_health,3,validation,31655,188,15.905903200036846
7.610048824874569,15.242146661583497,3.42046093106397,12.232761152825455,0.005257160764085127,0.8665037760995113,0.8938581712360238,11.225337466653396,base_health,3,test,31245,188,15.931041200004984
7.998647514182878,16.130663580543615,3.619851310606262,13.00711795296063,0.005555847155523797,0.8866206344441109,0.9058022414526883,11.551128097821053,base_route_intent,3,validation,31655,194,15.247224799997639
7.592570862572833,15.240944689783074,3.4201911988750027,12.252318277793794,0.005250313945261443,0.866377874041986,0.8943364327979713,11.214970373713324,base_route_intent,3,test,31245,194,15.271988500026055
