policy,n_runs,health_limit_crossing_share,time_to_limit_mean_h,time_to_limit_std_h,time_to_limit_q10_h,time_to_limit_median_h,time_to_limit_q90_h,start_count_mean,assignment_change_mean
expected_max,20,1.0,1977.8,221.45466448249095,1696.4,1946.0,2247.5,24.8,22.8
fixed_pair,20,1.0,1573.6,208.46062356941025,1303.4,1608.5,1826.6000000000001,2.0,0.0
gamma_cvar,20,1.0,1940.3,241.5650942020434,1644.2,1917.5,2232.4,22.65,20.65
periodic_rotation,20,1.0,760.15,144.58553287168627,569.9,751.0,962.2,33.15,31.15
