policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,local_seed,simulation_seed
fixed_pair,fixed_pair,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,reference,3,3
order_blend_25,order_blend_25,True,True,1317.0,1333.0,16.0,25.93570920727243,2.0637784325541872,1333.0,26.13106616825405,1.934283423280922,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1317.0,1333.0,7.4210280529797,9.355311476260622,9.354726639013727,reference,3,3
order_blend_50,order_blend_50,True,True,906.0,1342.0,436.0,22.17714328631923,4.012630186494599,1342.0,26.16185662496339,1.9010748521262402,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,906.0,1342.0,7.453553224326231,9.35367532418469,9.354628076452471,reference,3,3
order_blend_75,order_blend_75,True,True,289.0,1409.0,1120.0,15.852852392491037,7.231286955612012,1409.0,26.86408330535879,1.8433224364250531,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1409.0,289.0,7.82814153151536,9.364477805903018,9.671463967940413,reference,3,3
order_blend_90,order_blend_90,True,True,289.0,1409.0,1120.0,15.852852392491037,7.231286955612012,1409.0,26.86408330535879,1.8433224364250531,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1409.0,289.0,7.82814153151536,9.364477805903018,9.671463967940413,reference,3,3
order_blend_99,order_blend_99,True,True,289.0,1409.0,1120.0,15.852852392491037,7.231286955612012,1409.0,26.86408330535879,1.8433224364250531,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1409.0,289.0,7.82814153151536,9.364477805903018,9.671463967940413,reference,3,3
fixed_pair,fixed_pair,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164307046,0.4672207989549424,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.92025789718736,9.357277570977384,9.387478696142303,reference,4,4
order_blend_25,order_blend_25,True,True,1319.0,1356.0,37.0,27.7202482691983,0.5969582228049095,1356.0,27.993386162273055,0.4505354734111826,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1356.0,1319.0,9.09468559185847,9.35347950514493,9.545221065269653,reference,4,4
order_blend_50,order_blend_50,True,True,1056.0,1319.0,263.0,24.11612008489328,2.0808578815059366,1319.0,27.665014164284884,0.46722079892716195,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1056.0,1319.0,8.920257897190169,9.357277570977384,9.38747869611733,reference,4,4
order_blend_75,order_blend_75,True,True,301.0,1319.0,1018.0,15.463087027930095,6.990236099297601,1319.0,27.660596140049712,0.41647327563672043,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1319.0,301.0,8.944033503455127,9.360506779091848,9.356055857502737,reference,4,4
