scenario_id,local_seed,policy,n_plus_one_weight,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
reference,13,order_blend_75,0.75,-681.0,35.0,0
reference,14,order_blend_75,0.75,-864.0,4.0,0
reference,15,order_blend_75,0.75,-780.0,5.0,0
reference,16,order_blend_75,0.75,-702.0,0.0,0
reference,17,order_blend_75,0.75,-803.0,12.0,0
reference,18,order_blend_75,0.75,-691.0,-25.0,0
reference,19,order_blend_75,0.75,-713.0,17.0,0
heterogeneity_gp_re_increased_perm_2,0,order_blend_75,0.75,-49.0,-27.0,15
heterogeneity_gp_re_increased_perm_2,1,order_blend_75,0.75,-395.0,-62.0,11
heterogeneity_gp_re_increased_perm_2,2,order_blend_75,0.75,-559.0,4.0,15
heterogeneity_gp_re_increased_perm_2,3,order_blend_75,0.75,-605.0,0.0,7
heterogeneity_gp_re_increased_perm_2,4,order_blend_75,0.75,-369.0,-5.0,9
heterogeneity_gp_re_increased_perm_2,5,order_blend_75,0.75,-218.0,-28.0,13
heterogeneity_gp_re_increased_perm_2,6,order_blend_75,0.75,-59.0,-28.0,15
heterogeneity_gp_re_increased_perm_2,7,order_blend_75,0.75,-398.0,3.0,15
heterogeneity_gp_re_increased_perm_2,8,order_blend_75,0.75,-184.0,0.0,15
heterogeneity_gp_re_increased_perm_2,9,order_blend_75,0.75,-245.0,8.0,5
heterogeneity_gp_re_increased_perm_2,10,order_blend_75,0.75,-365.0,13.0,9
heterogeneity_gp_re_increased_perm_2,11,order_blend_75,0.75,-91.0,-78.0,11
heterogeneity_gp_re_increased_perm_2,12,order_blend_75,0.75,-245.0,14.0,17
heterogeneity_gp_re_increased_perm_2,13,order_blend_75,0.75,-73.0,-153.0,9
heterogeneity_gp_re_increased_perm_2,14,order_blend_75,0.75,20.0,-150.0,4
heterogeneity_gp_re_increased_perm_2,15,order_blend_75,0.75,-400.0,26.0,17
heterogeneity_gp_re_increased_perm_2,16,order_blend_75,0.75,-238.0,-41.0,9
heterogeneity_gp_re_increased_perm_2,17,order_blend_75,0.75,-209.0,-27.0,9
heterogeneity_gp_re_increased_perm_2,18,order_blend_75,0.75,-165.0,-17.0,13
heterogeneity_gp_re_increased_perm_2,19,order_blend_75,0.75,238.0,104.0,4
reference,0,order_blend_90,0.9,-695.0,-21.0,0
reference,1,order_blend_90,0.9,-876.0,30.0,0
reference,2,order_blend_90,0.9,-786.0,0.0,0
reference,3,order_blend_90,0.9,-617.0,67.0,0
reference,4,order_blend_90,0.9,-755.0,0.0,0
reference,5,order_blend_90,0.9,-714.0,1.0,0
reference,6,order_blend_90,0.9,-745.0,8.0,0
reference,7,order_blend_90,0.9,-782.0,9.0,0
reference,8,order_blend_90,0.9,-715.0,-5.0,0
reference,9,order_blend_90,0.9,-687.0,0.0,0
reference,10,order_blend_90,0.9,-648.0,19.0,0
reference,11,order_blend_90,0.9,-722.0,1.0,0
reference,12,order_blend_90,0.9,-745.0,0.0,0
reference,13,order_blend_90,0.9,-681.0,35.0,0
reference,14,order_blend_90,0.9,-864.0,4.0,0
reference,15,order_blend_90,0.9,-780.0,5.0,0
reference,16,order_blend_90,0.9,-702.0,0.0,0
reference,17,order_blend_90,0.9,-803.0,12.0,0
reference,18,order_blend_90,0.9,-691.0,-25.0,0
reference,19,order_blend_90,0.9,-713.0,17.0,0
heterogeneity_gp_re_increased_perm_2,0,order_blend_90,0.9,-1584.0,-240.0,0
heterogeneity_gp_re_increased_perm_2,1,order_blend_90,0.9,-1398.0,-241.0,0
heterogeneity_gp_re_increased_perm_2,2,order_blend_90,0.9,-1405.0,-112.0,0
heterogeneity_gp_re_increased_perm_2,3,order_blend_90,0.9,-1403.0,-166.0,0
heterogeneity_gp_re_increased_perm_2,4,order_blend_90,0.9,-1702.0,-130.0,0
heterogeneity_gp_re_increased_perm_2,5,order_blend_90,0.9,-1625.0,-203.0,0
heterogeneity_gp_re_increased_perm_2,6,order_blend_90,0.9,-1570.0,-250.0,0
heterogeneity_gp_re_increased_perm_2,7,order_blend_90,0.9,-1664.0,-256.0,0
heterogeneity_gp_re_increased_perm_2,8,order_blend_90,0.9,-1709.0,-298.0,0
heterogeneity_gp_re_increased_perm_2,9,order_blend_90,0.9,-1661.0,-302.0,0
heterogeneity_gp_re_increased_perm_2,10,order_blend_90,0.9,-1462.0,-235.0,0
heterogeneity_gp_re_increased_perm_2,11,order_blend_90,0.9,-1573.0,-253.0,0
heterogeneity_gp_re_increased_perm_2,12,order_blend_90,0.9,-1487.0,-185.0,0
heterogeneity_gp_re_increased_perm_2,13,order_blend_90,0.9,-1577.0,-220.0,0
heterogeneity_gp_re_increased_perm_2,14,order_blend_90,0.9,-1686.0,-277.0,0
heterogeneity_gp_re_increased_perm_2,15,order_blend_90,0.9,-1677.0,-200.0,0
heterogeneity_gp_re_increased_perm_2,16,order_blend_90,0.9,-1524.0,-181.0,0
heterogeneity_gp_re_increased_perm_2,17,order_blend_90,0.9,-1476.0,-149.0,0
heterogeneity_gp_re_increased_perm_2,18,order_blend_90,0.9,-1508.0,-286.0,0
heterogeneity_gp_re_increased_perm_2,19,order_blend_90,0.9,-1425.0,-235.0,0
reference,0,order_blend_99,0.99,-695.0,-21.0,0
reference,1,order_blend_99,0.99,-876.0,30.0,0
reference,2,order_blend_99,0.99,-786.0,0.0,0
reference,3,order_blend_99,0.99,-617.0,67.0,0
reference,4,order_blend_99,0.99,-755.0,0.0,0
reference,5,order_blend_99,0.99,-714.0,1.0,0
reference,6,order_blend_99,0.99,-745.0,8.0,0
reference,7,order_blend_99,0.99,-782.0,9.0,0
reference,8,order_blend_99,0.99,-715.0,-5.0,0
reference,9,order_blend_99,0.99,-687.0,0.0,0
reference,10,order_blend_99,0.99,-648.0,19.0,0
reference,11,order_blend_99,0.99,-722.0,1.0,0
reference,12,order_blend_99,0.99,-745.0,0.0,0
reference,13,order_blend_99,0.99,-681.0,35.0,0
reference,14,order_blend_99,0.99,-864.0,4.0,0
reference,15,order_blend_99,0.99,-780.0,5.0,0
reference,16,order_blend_99,0.99,-702.0,0.0,0
reference,17,order_blend_99,0.99,-803.0,12.0,0
reference,18,order_blend_99,0.99,-691.0,-25.0,0
reference,19,order_blend_99,0.99,-713.0,17.0,0
heterogeneity_gp_re_increased_perm_2,0,order_blend_99,0.99,-1584.0,-240.0,0
heterogeneity_gp_re_increased_perm_2,1,order_blend_99,0.99,-1398.0,-241.0,0
heterogeneity_gp_re_increased_perm_2,2,order_blend_99,0.99,-1405.0,-112.0,0
heterogeneity_gp_re_increased_perm_2,3,order_blend_99,0.99,-1403.0,-166.0,0
