step,demand_power_kw,stack_power_kw,battery_power_kw,power_balance_error_kw,soc_before,soc_after,step_cost,hydrogen_g,feasible,stack_0_current_a,stack_0_on,stack_0_power_kw,stack_0_damage_increment_pct,stack_0_damage_after_pct,stack_0_performance_loss,stack_1_current_a,stack_1_on,stack_1_power_kw,stack_1_damage_increment_pct,stack_1_damage_after_pct,stack_1_performance_loss
15,-10.0,3.4964073826799513,-13.496407382679951,0.0,0.6996083290742285,0.6997045872349908,0.18772560696283067,0.044397888320187914,True,25.0,True,3.4964073826799513,5.9855555555555554e-05,0.9373310419444445,0.0005639558890889726,0.0,True,0.0,6.62261111111111e-05,6.081699937638889,0.0
16,45.0,3.496407382208071,41.50359261779193,0.0,0.6997045872349908,0.6993765993053418,0.5371851913761535,0.044397888320187914,True,25.0,True,3.496407382208071,5.555555555555555e-07,0.9373315975000001,0.0005639562224152881,0.0,True,0.0,9.96111111111111e-07,6.08170093375,0.0
17,55.0,3.4964073817361894,51.50359261826381,0.0,0.6993765993053418,0.6989695849808731,0.6642202630460611,0.044397888320187914,True,25.0,True,3.4964073817361894,5.555555555555555e-07,0.9373321530555556,0.0005639565557416037,0.0,True,0.0,9.96111111111111e-07,6.081701929861111,0.0
18,70.0,3.49640738126431,66.5035926187357,0.0,0.6989695849808731,0.698444031064177,0.8543480326771064,0.044397888320187914,True,25.0,True,3.49640738126431,5.555555555555555e-07,0.9373327086111112,0.0005639568890675858,0.0,True,0.0,9.96111111111111e-07,6.0817029259722215,0.0
19,85.0,3.4964073807924287,81.50359261920757,0.0,0.698444031064177,0.6977999375552533,1.045068500269289,0.044397888320187914,True,25.0,True,3.4964073807924287,5.555555555555555e-07,0.9373332641666667,0.0005639572223939014,0.0,True,0.0,9.96111111111111e-07,6.081703922083332,0.0
20,60.0,3.4964073803205484,56.50359261967945,0.0,0.6977999375552533,0.6973534100333655,0.7348011379262923,0.044397888320187914,True,25.0,True,3.4964073803205484,5.555555555555555e-07,0.9373338197222223,0.0005639575557202169,0.0,True,0.0,9.96111111111111e-07,6.081704918194443,0.0
21,35.0,3.496407379848668,31.50359262015133,0.0,0.6973534100333655,0.6971044484985136,0.42354594564811593,0.044397888320187914,True,25.0,True,3.496407379848668,5.555555555555555e-07,0.9373343752777779,0.0005639578890465325,0.0,True,0.0,9.96111111111111e-07,6.081705914305554,0.0
22,10.0,3.496407379376787,6.503592620623213,0.0,0.6971044484985136,0.6970530529506977,0.11130292343475952,0.044397888320187914,True,25.0,True,3.496407379376787,5.555555555555555e-07,0.9373349308333334,0.0005639582223728479,0.0,True,0.0,9.96111111111111e-07,6.081706910416665,0.0
23,-10.0,3.4964073789049066,-13.496407378904907,0.0,0.6970530529506977,0.6971493111114332,0.19823181715126928,0.044397888320187914,True,25.0,True,3.4964073789049066,5.555555555555555e-07,0.937335486388889,0.0005639585556991635,0.0,True,0.0,9.96111111111111e-07,6.081707906527776,0.0
24,45.0,3.4964073784330254,41.50359262156697,0.0,0.6971493111114332,0.6968213231817543,0.5499615723746055,0.044397888320187914,True,25.0,True,3.4964073784330254,5.555555555555555e-07,0.9373360419444445,0.000563958889025479,0.0,True,0.0,9.96111111111111e-07,6.081708902638887,0.0
25,55.0,3.4964073779611446,51.50359262203885,0.0,0.6968213231817543,0.6964143088572557,0.6769966440446624,0.044397888320187914,True,25.0,True,3.4964073779611446,5.555555555555555e-07,0.9373365975000001,0.0005639592223524611,0.0,True,0.0,9.96111111111111e-07,6.081709898749998,0.0
26,70.0,3.4964073774892634,66.50359262251074,0.0,0.6964143088572557,0.6958887549405297,0.867124413675857,0.044397888320187914,True,25.0,True,3.4964073774892634,5.555555555555555e-07,0.9373371530555556,0.0005639595556787767,0.0,True,0.0,9.96111111111111e-07,6.081710894861109,0.0
27,85.0,3.4964073770173836,81.50359262298262,0.0,0.6958887549405297,0.6952446614315761,1.057844881268189,0.044397888320187914,True,25.0,True,3.4964073770173836,5.555555555555555e-07,0.9373377086111112,0.000563959889004759,0.0,True,0.0,9.96111111111111e-07,6.08171189097222,0.0
28,60.0,3.496407376545502,56.503592623454495,0.0,0.6952446614315761,0.6947981339096585,0.7475775189253416,0.044397888320187914,True,25.0,True,3.496407376545502,5.555555555555555e-07,0.9373382641666668,0.0005639602223317411,0.0,True,0.0,9.96111111111111e-07,6.081712887083331,0.0
29,35.0,3.4964073760736207,31.50359262392638,0.0,0.6947981339096585,0.6945491723747769,0.43632232664731424,0.044397888320187914,True,25.0,True,3.4964073760736207,5.555555555555555e-07,0.9373388197222223,0.0005639605556583899,0.0,True,0.0,9.96111111111111e-07,6.081713883194442,0.0
30,10.0,3.496407375601739,6.5035926243982605,0.0,0.6945491723747769,0.6944977768269311,0.12407930443410714,0.044397888320187914,True,25.0,True,3.496407375601739,5.555555555555555e-07,0.9373393752777779,0.0005639608889850388,0.0,True,0.0,9.96111111111111e-07,6.081714879305553,0.0
31,-10.0,0.0,-10.0,0.0,0.6944977768269311,0.6945690981482525,0.15232669993431047,0.0,True,0.0,True,0.0,6.0205555555555556e-05,0.9373995808333334,0.0,0.0,True,0.0,9.96111111111111e-07,6.081715875416664,0.0
