step,demand_power_kw,stack_power_kw,battery_power_kw,power_balance_error_kw,soc_before,soc_after,step_cost,hydrogen_g,feasible,stack_0_current_a,stack_0_on,stack_0_power_kw,stack_0_damage_increment_pct,stack_0_damage_after_pct,stack_0_performance_loss,stack_1_current_a,stack_1_on,stack_1_power_kw,stack_1_damage_increment_pct,stack_1_damage_after_pct,stack_1_performance_loss
0,45.0,44.97074685208588,0.029253147914118927,0.0,0.7,0.6999997688229183,0.3081392480171657,0.639329591810706,True,270.0,True,33.11086827816606,0.0019605555555555557,0.9372634086111111,0.01338542245609472,90.0,True,11.859878573919818,0.002156611111111111,6.0816251559722225,0.0362224046024426
1,55.0,44.970746825866065,10.029253174133935,0.0,0.6999997688229183,0.6999205112508136,0.3508830704073714,0.639329591810706,True,270.0,True,33.11086826045118,5.555555555555555e-07,0.9372639641666667,0.013385434969506225,90.0,True,11.859878565414888,6.111111111111112e-07,6.081625767083334,0.03622241061014192
2,70.0,44.97074679964624,25.029253200353757,0.0,0.6999205112508136,0.6997227140862778,0.5393720588729369,0.639329591810706,True,270.0,True,33.11086824273628,5.555555555555555e-07,0.9372645197222222,0.013385447482924927,90.0,True,11.859878556909964,6.111111111111112e-07,6.081626378194445,0.03622241661783644
3,85.0,44.97074677342643,40.02925322657357,0.0,0.6997227140862778,0.6994063773293111,0.728453745300658,0.639329591810706,True,270.0,True,33.11086822502139,5.555555555555555e-07,0.9372650752777778,0.013385459996343633,90.0,True,11.859878548405034,6.111111111111112e-07,6.081626989305556,0.03622242262553576
4,60.0,44.97074674720659,15.02925325279341,0.0,0.6994063773293111,0.6992876065591768,0.4165476017942186,0.639329591810706,True,270.0,True,33.11086820730648,5.555555555555555e-07,0.9372656308333334,0.013385472509773138,90.0,True,11.859878539900105,6.111111111111112e-07,6.081627600416667,0.036222428633233876
5,35.0,44.970746720986746,-9.970746720986746,0.0,0.6992876065591768,0.6993587192422469,0.35296070904642557,0.639329591810706,True,270.0,True,33.11086818959157,5.555555555555555e-07,0.9372661863888889,0.013385485023202642,90.0,True,11.859878531395177,6.111111111111112e-07,6.081628211527778,0.036222434640932
6,10.0,44.9707466947669,-34.9707466947669,0.0,0.6993587192422469,0.6996081352284333,0.6642136311028869,0.639329591810706,True,270.0,True,33.11086817187665,5.555555555555555e-07,0.9372667419444445,0.013385497536635744,90.0,True,11.859878522890247,6.111111111111112e-07,6.081628822638889,0.036222440648631324
7,-10.0,44.97074666854705,-54.97074666854705,0.0,0.6996081352284333,0.7000001938570753,0.9122552785178252,0.639329591810706,True,270.0,True,33.110868154161736,5.555555555555555e-07,0.9372672975,0.013385510050076047,90.0,True,11.859878514385317,6.111111111111112e-07,6.08162943375,0.03622244665633064
8,45.0,44.9707466423272,0.029253357672800462,0.0,0.7000001938570753,0.6999999626783361,0.22548583176998196,0.639329591810706,True,270.0,True,33.11086813644681,5.555555555555555e-07,0.9372678530555556,0.013385522563516347,90.0,True,11.859878505880385,6.111111111111112e-07,6.081630044861111,0.03622245266403116
9,55.0,44.97074661610733,10.029253383892673,0.0,0.6999999626783361,0.6999207051045737,0.350882122281686,0.639329591810706,True,270.0,True,33.11086811873187,5.555555555555555e-07,0.9372684086111112,0.01338553507696745,90.0,True,11.859878497375453,6.111111111111112e-07,6.081630655972222,0.03622245867173048
10,70.0,44.970746589887455,25.029253410112545,0.0,0.6999207051045737,0.6997229079383803,0.5393711107555456,0.639329591810706,True,270.0,True,33.11086810101693,5.555555555555555e-07,0.9372689641666667,0.01338554759041855,90.0,True,11.859878488870521,6.111111111111112e-07,6.081631267083333,0.0362224646794322
11,85.0,44.97074656366757,40.02925343633243,0.0,0.6997229079383803,0.6994065711797559,0.7284527971915612,0.639329591810706,True,270.0,True,33.11086808330198,5.555555555555555e-07,0.9372695197222223,0.013385560103876851,90.0,True,11.85987848036559,6.111111111111112e-07,6.081631878194444,0.03622247068713392
12,60.0,44.97074653744769,15.029253462552312,0.0,0.6994065711797559,0.699287800407964,0.4165466536934142,0.639329591810706,True,270.0,True,33.110868065587034,5.555555555555555e-07,0.9372700752777778,0.013385572617335152,90.0,True,11.859878471860654,6.111111111111112e-07,6.081632489305555,0.036222476694835644
13,35.0,44.970746511227794,-9.970746511227794,0.0,0.699287800407964,0.6993589130895381,0.35295975570913346,0.639329591810706,True,270.0,True,33.110868047872074,5.555555555555555e-07,0.9372706308333334,0.013385585130804251,90.0,True,11.85987846335572,6.111111111111112e-07,6.081633100416666,0.03622248270253736
14,10.0,44.97074648500789,-34.97074648500789,0.0,0.6993589130895381,0.6996083290742285,0.6642126777730788,0.639329591810706,True,270.0,True,33.110868030157114,5.555555555555555e-07,0.937271186388889,0.013385597644269751,90.0,True,11.859878454850783,6.111111111111112e-07,6.081633711527777,0.03622248871024148
