month,running_rows,target_power_kw_p50,target_power_kw_p95,target_power_kw_p99,target_power_kw_p999,target_power_kw_max,fc_input_power_kw_p50,fc_input_power_kw_p95,fc_input_power_kw_p99,fc_input_power_kw_p999,fc_input_power_kw_max,dcdc_output_power_kw_p50,dcdc_output_power_kw_p95,dcdc_output_power_kw_p99,dcdc_output_power_kw_p999,dcdc_output_power_kw_max,loadable_raw_p50,loadable_raw_p95,loadable_raw_p99,loadable_raw_p999,loadable_raw_max,fc_current_a_p50,fc_current_a_p95,fc_current_a_p99,fc_current_a_p999,fc_current_a_max
2025-04,21270,20.004999999999995,40.0,40.0,40.0,40.0,20.155,32.875,32.88499999999999,33.224999999999994,33.251400000000004,17.455,26.644999999999996,26.825000000000003,26.905,27.008,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,338.89,339.01,339.90999999999997,340.0
2025-05,295293,20.004999999999995,30.004999999999995,40.0,40.0,40.0,20.265,31.025000000000006,32.974999999999994,38.07500000000002,42.224,17.435000000000002,26.22500000000001,27.144999999999996,32.20500000000001,35.557900000000004,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,270.01,339.90999999999997,340.0899999999999,406.0
2025-06,186425,20.004999999999995,40.004999999999995,40.004999999999995,44.995000000000005,45.0,23.195000000000007,37.724999999999994,38.07500000000002,38.42500000000001,38.4426,20.415000000000006,31.655,32.254999999999995,32.41499999999999,32.4848,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,338.89,340.03,340.03,340.3
2025-07,377049,20.004999999999995,40.0,40.0,40.0,40.0,23.205,37.38499999999999,40.685,41.125,47.096,20.655,31.14500000000001,35.10499999999999,35.595,40.7676,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,339.90999999999997,340.03,340.0899999999999,406.0
2025-08,514242,20.004999999999995,30.004999999999995,40.004999999999995,44.995000000000005,45.0,24.045,33.19499999999999,40.80500000000001,41.13499999999999,41.48,21.534999999999997,29.224999999999994,35.265000000000015,35.515000000000015,35.793,0.0,0.0,0.0,0.0,0.0,194.89,270.01,339.90999999999997,340.03,340.6
2025-09,510016,20.004999999999995,30.004999999999995,30.004999999999995,40.0,40.0,23.97500000000001,32.67500000000001,32.94499999999999,40.44499999999999,40.68,21.375,28.835000000000008,29.07499999999999,34.815,35.09,0.0,0.0,0.0,0.0,0.0,194.76999999999998,269.89,270.01,339.90999999999997,340.2
2025-10,350285,20.004999999999995,30.004999999999995,40.004999999999995,44.995000000000005,45.0,23.795,32.655,40.10499999999999,40.44499999999999,40.4719,21.415000000000006,28.92500000000001,34.82499999999999,35.13499999999999,35.377199999999995,0.0,0.0,0.0,0.0,0.0,194.89,270.01,339.90999999999997,340.03,340.5
2025-11,490626,20.004999999999995,30.004999999999995,40.0,40.0,40.0,23.775000000000006,32.94499999999999,39.795000000000016,41.13499999999999,47.502,21.155,28.88499999999999,34.63499999999999,35.565,41.857299999999995,3000.0,3000.0,3000.0,3000.0,3000.0,194.76999999999998,269.89,339.01,340.03,406.0
2025-12,480142,20.004999999999995,40.0,40.0,40.0,40.0,23.195000000000007,33.19499999999999,39.765000000000015,40.125,46.284,20.564999999999998,28.92500000000001,34.245000000000005,34.474999999999994,39.873599999999996,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,280.87,340.03,340.0899999999999,406.0
2026-01,579875,20.004999999999995,40.0,40.0,40.0,40.0,23.015,39.07500000000002,39.42500000000001,39.44499999999999,39.791700000000006,20.375,33.535,33.95500000000001,34.215,34.524,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,339.90999999999997,340.03,340.0899999999999,340.9
2026-02,418287,20.004999999999995,40.0,40.0,40.0,40.0,22.185000000000002,31.595,38.745000000000005,39.08500000000001,39.123,19.405,27.665000000000006,33.10499999999999,33.485000000000014,33.708,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,270.01,339.90999999999997,340.03,340.4
2026-03,356561,20.004999999999995,40.0,40.0,40.0,40.0,22.985,31.86500000000001,39.08500000000001,39.42500000000001,39.486399999999996,20.355000000000004,27.825000000000003,33.474999999999994,33.815,34.742200000000004,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,270.01,340.03,340.03,340.5
2026-04,496788,20.004999999999995,30.004999999999995,40.0,40.0,40.0,22.805000000000007,31.57499999999999,38.42500000000001,38.765000000000015,38.794200000000004,20.125,27.385000000000005,32.754999999999995,32.965,33.2148,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,270.01,339.90999999999997,340.03,340.4
2026-05,534432,20.004999999999995,30.004999999999995,30.004999999999995,40.0,40.0,22.805000000000007,31.32499999999999,31.595,38.42500000000001,38.8056,20.004999999999995,27.205,27.465000000000003,32.815,33.040699999999994,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,269.89,270.01,340.03,340.4
2026-06,518659,20.004999999999995,40.0,40.0,40.0,40.0,22.795,31.595,38.63499999999999,38.765000000000015,39.1,19.805000000000007,27.435000000000002,32.42500000000001,33.015000000000015,33.18,3000.0,3000.0,3000.0,3000.0,3000.0,194.89,270.01,340.03,340.03,340.8
