health_case,reserve_fraction,load_state,demand_power_kw,feasible,tracking_error_kw,online_stacks
healthy,0.0,0,36.22972356274383,True,-0.12071385520209788,2
healthy,0.0,1,51.22133331284471,True,-2.0116396904965868,2
healthy,0.0,2,72.45944712548766,True,-4.129088291246774,2
healthy,0.0,3,87.45105687558855,True,-3.3171813285548524e-05,2
healthy,0.02,0,35.505129091488946,True,0.6038806160527841,2
healthy,0.02,1,50.19690664658782,True,-0.9872130242396935,2
healthy,0.02,2,71.01025818297789,True,-2.6798993487370097,2
healthy,0.02,3,85.70203573807677,True,1.7489879656984897,2
healthy,0.05,0,34.418237384606634,True,-1.2884300983803385,2
healthy,0.05,1,48.66026664720248,True,0.10346734893710874,2
healthy,0.05,2,68.83647476921327,True,-0.5061159349723852,2
healthy,0.05,3,83.07850403180912,True,4.372519671966145,2
healthy,0.1,0,32.60675120646945,True,-0.22051768055674614,2
healthy,0.1,1,46.09919998156025,True,-1.0192703075022749,2
healthy,0.1,2,65.2135024129389,True,-1.0129075269881582,2
healthy,0.1,3,78.7059511880297,True,-1.8506321344489436,2
healthy,0.15,0,30.795265028332253,True,0.47258866359252494,2
healthy,0.15,1,43.53813331591801,True,0.18737887181432455,2
healthy,0.15,2,61.590530056664505,True,-2.231091159018881,2
healthy,0.15,3,74.33339834425027,True,2.5219207093304874,2
heterogeneous,0.0,0,36.22972356274383,True,-0.1663054168915039,2
heterogeneous,0.0,1,51.22133331284471,True,-2.115567758577413,2
heterogeneous,0.0,2,72.45944712548766,True,-4.257662812824918,2
heterogeneous,0.0,3,87.45105687558855,True,-0.35495694388548316,2
heterogeneous,0.02,0,35.505129091488946,True,0.5582890543633781,2
heterogeneous,0.02,1,50.19690664658782,True,-1.0911410923205196,2
heterogeneous,0.02,2,71.01025818297789,True,-2.8084738703151544,2
heterogeneous,0.02,3,85.70203573807677,True,1.394064193626292,2
heterogeneous,0.05,0,34.418237384606634,True,-1.307369106440575,2
heterogeneous,0.05,1,48.66026664720248,True,0.04613469639083689,2
heterogeneous,0.05,2,68.83647476921327,True,-0.6346904565505298,2
heterogeneous,0.05,3,83.07850403180912,True,4.017595899893948,2
heterogeneous,0.1,0,32.60675120646945,True,-0.2509647967573443,2
heterogeneous,0.1,1,46.09919998156025,True,-1.0943254321418152,2
heterogeneous,0.1,2,65.2135024129389,True,0.8533804135499707,2
heterogeneous,0.1,3,78.7059511880297,True,-2.0593625701766314,2
heterogeneous,0.15,0,30.795265028332253,True,0.42980661291423417,2
heterogeneous,0.15,1,43.53813331591801,True,0.15244075361224674,2
heterogeneous,0.15,2,61.590530056664505,True,-2.304422921706994,2
heterogeneous,0.15,3,74.33339834425027,True,2.3131902736027996,2
late,0.0,0,36.22972356274383,True,-0.23925401450162553,2
late,0.0,1,51.22133331284471,True,1.3170629732575563,2
late,0.0,2,72.45944712548766,True,2.2050347730298085,2
late,0.0,3,87.45105687558855,True,-2.8323381779168955,2
late,0.02,0,35.505129091488946,True,0.1383520810023171,2
late,0.02,1,50.19690664658782,True,-1.827761022139562,2
late,0.02,2,71.01025818297789,True,-4.516317542103181,2
late,0.02,3,85.70203573807677,True,-1.0833170404051202,2
late,0.05,0,34.418237384606634,True,1.2252437878846294,2
late,0.05,1,48.66026664720248,True,-0.2911210227542185,2
late,0.05,2,68.83647476921327,True,-2.3425341283385563,2
late,0.05,3,83.07850403180912,True,1.5402146658625355,2
late,0.1,0,32.60675120646945,True,-0.6175805167038284,2
late,0.1,1,46.09919998156025,True,-0.30855313418440034,2
late,0.1,2,65.2135024129389,True,-0.5032682173065126,2
late,0.1,3,78.7059511880297,True,-4.041469289512236,2
late,0.15,0,30.795265028332253,True,0.1251451631388889,2
late,0.15,1,43.53813331591801,True,0.8297156566429109,2
late,0.15,2,61.590530056664505,True,0.9021139323228624,2
late,0.15,3,74.33339834425027,True,0.33108355426719527,2
