policy,reference_policy,mean_gain_h,minimum_gain_h,maximum_gain_h,win_share,nonworse_share
fixed_pair,health_greedy,-376.8,-545.0,-96.0,0.0,0.0
expected_max,health_greedy,1.5,-25.0,40.0,0.25,0.8
