health_case,hypothesis,n_segments,wilcoxon_statistic,p_value_one_sided,better_segments,nonworse_segments,p_value_holm,reject_holm_0p05
oldest_stack_0,health_greedy_minus_fixed_terminal_max_damage < 0,8,0.0,0.00390625,8,8,0.0078125,True
oldest_stack_1,health_greedy_minus_fixed_terminal_max_damage < 0,8,0.0,0.00390625,8,8,0.0078125,True
