load_source,load_seed,strategy,terminal_cv_assumption,gamma_scale_pct,cycle_repeats,actual_exposure_hours,continuous_mean_pct,discrete_damage_pct,discrete_fraction,total_mean_pct,total_std_pct,total_p05_pct,total_p50_pct,total_p95_pct
empirical_1s,2026,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.93356415824329,0.3697649291895223,131.3445284921351,131.92219131672448,132.5602437046902
empirical_1s,2026,rotating,0.05,0.033544182501852184,30000,1000.0,3.451725,253.53764999999999,0.9865686081379823,256.9890613018578,0.3392795760926406,256.4502655706965,256.9777114172283,257.5655238755349
empirical_1s,2026,instant_health,0.05,0.033544182501852184,30000,1000.0,3.4266,127.8339,0.9738946598557829,131.26018720072787,0.3380427145051762,130.72343000541798,131.24883825331702,131.83461215080342
empirical_1s,2027,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.8339,0.9689238323130138,131.93296514513247,0.36777733666630635,131.35722071318057,131.91693539288312,132.54818126188488
empirical_1s,2027,rotating,0.05,0.033544182501852184,30000,1000.0,3.452033333331,253.715549999997,0.9865767166740583,257.1667106214559,0.3374634687072523,256.6399824204487,257.1510986473859,257.7325999501004
empirical_1s,2027,instant_health,0.05,0.033544182501852184,30000,1000.0,3.4266,127.8339,0.9738946598557829,131.25962984207968,0.33621787992604246,130.7349158941938,131.2440350430585,131.82349213932773
empirical_1s,2028,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.93465622414158,0.36486884531814434,131.35185749712207,131.9252552002609,132.5602952474353
empirical_1s,2028,rotating,0.05,0.033544182501852184,30000,1000.0,3.5831166666659997,253.6266,0.9860692795237219,257.2104007930584,0.3410790091761403,256.6668608653259,257.2009072203989,257.7964461260125
empirical_1s,2028,instant_health,0.05,0.033544182501852184,30000,1000.0,3.446025,127.8339,0.9737505563017347,131.2805891418728,0.33448564992255303,130.7479306865868,131.2710699456742,131.85566010659704
empirical_1s,2029,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,120.53999999999999,0.9671052631579102,124.64160571818788,0.36842223007870367,124.06232167545325,124.62626741656132,125.26608541866173
empirical_1s,2029,rotating,0.05,0.033544182501852184,30000,1000.0,5.675124999998999,192.60285,0.9713779354464406,198.27989416074456,0.43337747119904063,197.59501538141672,198.2637882071785,199.01144090467287
empirical_1s,2029,instant_health,0.05,0.033544182501852184,30000,1000.0,5.569999999998,120.53999999999999,0.9558322099754334,126.11189971780804,0.42934880603749226,125.43356945874908,126.09584135354997,126.83680668309466
empirical_1s,2030,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,135.127799999997,0.9705518581777622,139.2198847172953,0.3685363611669003,138.6294707046817,139.21284824041606,139.8413134558337
empirical_1s,2030,rotating,0.05,0.033544182501852184,30000,1000.0,3.6601333333320003,255.4056,0.9858717967589229,259.05825069833304,0.34815748328959567,258.5015766738115,259.0509912651684,259.6463122136149
empirical_1s,2030,instant_health,0.05,0.033544182501852184,30000,1000.0,3.5496249999989997,131.569799999997,0.9737297209487156,135.11205509443977,0.34284783679536396,134.5641725620465,135.10473759271528,135.69142216531995
empirical_1s,2031,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,142.421699999997,0.9720177966813234,146.52070627172773,0.36924609255178786,145.92458173847064,146.5125205188061,147.14586675178592
empirical_1s,2031,rotating,0.05,0.033544182501852184,30000,1000.0,3.8419166666640003,259.1415,0.9853910306765323,262.98245236677656,0.35742122896525935,262.40606891861154,262.9741734977863,263.5881774399813
empirical_1s,2031,instant_health,0.05,0.033544182501852184,30000,1000.0,3.736875,131.569799999997,0.9723821829189131,135.30572295863522,0.3524950099808156,134.7375639802839,135.2974053078824,135.90335087257185
empirical_1s,2032,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,120.53999999999999,0.9671052631579102,124.6387224549489,0.37165945962175645,124.05026381631237,124.62851055128561,125.2700066504399
empirical_1s,2032,rotating,0.05,0.033544182501852184,30000,1000.0,5.675124999998999,192.60285,0.9713779354464406,198.27646486065302,0.4372140549502015,197.580599394071,198.26642853963585,199.015991678399
empirical_1s,2032,instant_health,0.05,0.033544182501852184,30000,1000.0,5.569999999998,120.53999999999999,0.9558322099754334,126.10850428272047,0.4331481387685954,125.41929973634265,126.09845705543293,126.84131841050777
empirical_1s,2033,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,142.4217,0.9720177966813239,146.52224800818155,0.36963917500956667,145.92687836133743,146.5138054205209,147.14345518439043
empirical_1s,2033,rotating,0.05,0.033544182501852184,30000,1000.0,3.646933333332,261.18735,0.9862293760179764,264.83479639080736,0.34860756998434483,264.27446925124764,264.82620225957,265.42165881901
empirical_1s,2033,instant_health,0.05,0.033544182501852184,30000,1000.0,3.536674999998,135.127799999997,0.9744947290933879,138.66497922612365,0.3432945250887994,138.1135052270309,138.65634682778423,139.24316472088458
empirical_1s,2034,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.9366887116422,0.37043705477215677,131.3443606819126,131.92839481927768,132.56160273935103
empirical_1s,2034,rotating,0.05,0.033544182501852184,30000,1000.0,5.056062499998,261.01875,0.9809975906682334,266.0779120962371,0.4113826798471091,265.41791578890917,266.0699344561071,266.7698974956594
empirical_1s,2034,instant_health,0.05,0.033544182501852184,30000,1000.0,4.943149999998,126.054899999997,0.9622654688371454,131.00111451450007,0.4067615700993387,130.34875466863448,130.99310117114808,131.685530857507
