event_id,canonical_row_6104,original_index,raw_event_start_index_1based,source_segment_row_1based,source_file,event_class_code,current_A,previous_current_A,next_current_A,voltage_V,voltage_as_input_allowed,temperature_C,h2_pressure,air_pressure,I_step_A,abs_I_step_A,qt_num_cum,bz_num_cum,time_0A_cum,time_25A_cum,time_90A_cum,time_120A_cum,time_160A_cum,time_195A_cum,time_270A_cum,time_370A_cum,i0,ih,R_ohm,deleted_3700_3900_flag,deletion_boundary_after_flag,valid_for_theta_alignment,model_input_01_h2_pressure,model_input_02_h2_pressure,model_input_03_o2_pressure,model_input_04_o2_pressure,model_input_05_stack_temperature,model_input_06_stack_temperature,model_input_07_o2_temperature,model_input_08_o2_temperature,model_input_09_h2_temperature,model_input_10_h2_temperature
LZW-E000011,11,11,15771,3,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.93833333333333,0.0,161.0,False,45.400000000000006,125.6,109.65,0.0,0.0,4.0,7.0,118.0,328.0,0.0,0.0,1137.0,2841.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.7,125.5,114.3,105.0,45.1,45.7,50.4,51.6,51.1,47.5
LZW-E000012,12,12,16157,4,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,160.06333333333336,166.0,False,34.650000000000006,123.5,113.35,160.0,160.0,5.0,7.0,147.0,328.0,0.0,0.0,1137.0,2841.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.3,121.7,118.5,108.2,34.2,35.1,40.3,42.0,43.5,38.7
LZW-E000013,13,13,16221,4,论文代码/电堆数据/工况数据提取/data_mark.mat,3,160.06333333333336,0.0,194.96,127.0,False,58.1725,130.97583333333333,115.68166666666666,35.0,35.0,5.0,8.0,147.0,328.0,0.0,0.0,1670.0,2841.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,131.88333333333333,130.06833333333333,122.54666666666668,108.81666666666663,57.01499999999999,59.330000000000005,51.81000000000001,57.61833333333334,52.18999999999999,55.19166666666667
LZW-E000014,14,14,16773,4,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.96,160.06333333333336,159.9,123.16666666666669,False,69.16749999999999,132.0291666666667,116.80166666666669,-35.099999999999994,35.099999999999994,5.0,9.0,147.0,328.0,0.0,0.0,1670.0,7742.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.83333333333334,131.22500000000002,123.47333333333336,110.13000000000002,67.6,70.735,67.01,70.04500000000002,63.60333333333335,66.92
LZW-E000015,15,15,22750,4,论文代码/电堆数据/工况数据提取/data_mark.mat,3,159.9,194.96,269.94666666666666,124.0,False,59.35,127.4,113.45,109.99999999999996,109.99999999999996,5.0,10.0,147.0,328.0,0.0,0.0,2203.0,7742.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,128.1,126.7,119.5,107.4,58.5,60.2,56.8,59.5,57.2,57.6
LZW-E000016,16,16,22803,4,论文代码/电堆数据/工况数据提取/data_mark.mat,3,269.94666666666666,159.9,194.9433333333333,120.0,False,72.5475,139.78,124.18,-74.89999999999998,74.89999999999998,5.0,11.0,147.0,328.0,0.0,0.0,2203.0,7742.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,141.58333333333334,137.97666666666666,132.05666666666667,116.30333333333334,70.68833333333333,74.40666666666667,70.16666666666667,73.61999999999999,64.22833333333334,69.70666666666666
LZW-E000017,17,17,25581,4,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.9433333333333,269.94666666666666,24.94833333333333,123.4,False,68.80416666666667,131.57,116.80416666666667,-170.0,170.0,5.0,12.0,147.0,328.0,0.0,0.0,2203.0,13953.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,133.02666666666667,130.11333333333334,123.37166666666668,110.23666666666668,67.32666666666667,70.28166666666667,66.75999999999999,69.80499999999999,62.12,66.55
LZW-E000018,18,18,26906,4,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.94833333333333,194.9433333333333,0.0,140.31666666666666,False,44.735,122.64833333333334,109.50083333333333,-25.0,25.0,5.0,13.0,147.0,487.0,0.0,0.0,2203.0,13953.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.35333333333332,121.94333333333334,113.95833333333331,105.04333333333334,44.37499999999999,45.095,52.55166666666666,54.37166666666667,52.74333333333334,48.21333333333334
LZW-E000019,19,19,27068,4,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.94833333333333,0.0,160.0,False,44.95,125.6,109.85,0.0,0.0,6.0,13.0,175.0,487.0,0.0,0.0,2203.0,13953.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,126.3,124.9,114.7,105.0,44.6,45.3,50.4,51.9,51.1,47.0
LZW-E000020,20,20,28938,5,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,160.08666666666667,176.0,False,17.1,118.85,111.95,160.0,160.0,7.0,13.0,204.0,487.0,0.0,0.0,2203.0,13953.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,120.5,117.2,115.9,108.0,15.6,18.6,16.7,19.5,19.9,19.5
LZW-E000021,21,21,29001,5,论文代码/电堆数据/工况数据提取/data_mark.mat,3,160.08666666666667,0.0,269.9433333333333,125.93333333333334,False,58.08416666666666,131.62416666666667,116.34416666666668,109.89999999999998,109.89999999999998,7.0,14.0,204.0,487.0,0.0,0.0,3191.0,13953.0,5491.0,985.0,1.907e-07,0.002,0.0406,False,False,True,133.07333333333332,130.175,123.65166666666669,109.03666666666668,56.95,59.21833333333333,50.745000000000005,57.28833333333333,49.09833333333333,54.96333333333334
LZW-E000022,22,22,30046,5,论文代码/电堆数据/工况数据提取/data_mark.mat,3,269.9433333333333,160.08666666666667,194.945,119.91666666666669,False,72.26666666666665,140.34166666666664,124.17833333333331,-74.99999999999997,74.99999999999997,7.0,15.0,204.0,487.0,0.0,0.0,3191.0,13953.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,141.48333333333332,139.2,131.88333333333333,116.47333333333331,70.35833333333332,74.175,69.60666666666665,73.28333333333333,63.29333333333332,69.47333333333334
LZW-E000023,23,23,32459,5,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.945,269.9433333333333,90.115,123.0,False,68.66083333333334,131.56666666666666,116.7525,-105.0,105.0,7.0,16.0,204.0,487.0,0.0,0.0,3191.0,16512.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.41,130.72333333333333,122.98166666666668,110.52333333333333,67.04,70.28166666666668,66.74833333333335,69.85666666666667,62.66833333333334,66.68666666666667
LZW-E000024,24,24,35036,5,论文代码/电堆数据/工况数据提取/data_mark.mat,2,90.115,194.945,194.95,131.11666666666667,False,58.79166666666666,124.61499999999998,110.305,104.2,104.2,7.0,17.0,204.0,487.0,403.0,0.0,3191.0,16512.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.97666666666667,124.2533333333333,115.19333333333331,105.41666666666669,58.035,59.548333333333325,56.646666666666654,58.98166666666668,56.465,57.306666666666665
LZW-E000025,25,25,35543,5,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.95,90.115,119.95000000000002,123.0,False,68.9075,131.96583333333334,116.8475,-74.1,74.1,7.0,18.0,204.0,487.0,403.0,0.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.97,130.96166666666667,123.285,110.41,67.20333333333333,70.61166666666666,66.83666666666667,69.91166666666666,63.10166666666667,66.75666666666667
LZW-E000026,26,26,40244,5,论文代码/电堆数据/工况数据提取/data_mark.mat,3,119.95000000000002,194.95,89.94666666666669,128.21666666666667,False,64.03,125.24833333333333,111.23916666666665,-30.0,30.0,7.0,19.0,204.0,487.0,403.0,378.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.94,124.55666666666666,116.605,105.8733333333333,62.9,65.16000000000001,62.67333333333334,65.1,61.171666666666674,62.87666666666667
LZW-E000027,27,27,40628,5,论文代码/电堆数据/工况数据提取/data_mark.mat,2,89.94666666666669,119.95000000000002,24.935,130.08333333333334,False,54.10500000000001,123.60333333333332,109.86833333333331,-65.0,65.0,7.0,20.0,204.0,487.0,941.0,378.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.02,123.18666666666664,114.67333333333332,105.06333333333332,53.07333333333335,55.13666666666667,57.45666666666667,60.141666666666666,56.763333333333335,55.51666666666668
LZW-E000028,28,28,42316,5,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.935,89.94666666666669,0.0,140.0,False,44.24666666666667,123.34666666666666,109.95583333333332,-25.0,25.0,7.0,21.0,204.0,635.0,941.0,378.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.95666666666668,122.73666666666664,114.66166666666663,105.25,43.96666666666667,44.52666666666667,49.42833333333333,51.17,51.02333333333334,46.830000000000005
LZW-E000029,29,29,42467,5,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.935,0.0,160.0,False,44.599999999999994,125.3,110.0,0.0,0.0,8.0,21.0,232.0,635.0,941.0,378.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,126.5,124.1,114.6,105.4,44.3,44.9,47.9,49.4,50.0,45.7
LZW-E000030,30,30,46655,6,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,159.94500000000002,166.0,False,28.1,123.19999999999999,113.25,159.8,159.8,9.0,21.0,261.0,635.0,941.0,378.0,3191.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.3,121.1,118.7,107.8,27.2,29.0,37.0,38.7,40.7,34.5
LZW-E000031,31,31,46719,6,论文代码/电堆数据/工况数据提取/data_mark.mat,3,159.94500000000002,0.0,90.07166666666669,127.0,False,58.085,131.01166666666668,115.87583333333332,-69.80000000000001,69.80000000000001,9.0,22.0,261.0,635.0,941.0,378.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.13666666666668,129.88666666666668,122.895,108.85666666666664,56.905,59.265,51.60333333333333,57.501666666666665,51.27333333333334,55.09666666666667
LZW-E000032,32,32,48103,6,论文代码/电堆数据/工况数据提取/data_mark.mat,2,90.07166666666669,159.94500000000002,119.98666666666666,130.75,False,58.36750000000001,124.79333333333334,109.87666666666667,30.0,30.0,9.0,23.0,261.0,635.0,6387.0,378.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.1,124.48666666666668,115.60666666666664,104.14666666666668,57.458333333333336,59.27666666666667,56.996666666666655,59.650000000000006,57.406666666666666,57.65833333333333
LZW-E000033,33,33,53566,6,论文代码/电堆数据/工况数据提取/data_mark.mat,3,119.98666666666666,90.07166666666669,24.933333333333334,128.0,False,64.14250000000001,125.21583333333334,111.06749999999998,-95.1,95.1,9.0,24.0,261.0,635.0,6387.0,2512.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,126.135,124.29666666666668,116.65166666666664,105.48333333333332,63.10000000000001,65.185,61.89333333333333,64.63333333333335,60.31166666666666,62.48666666666668
LZW-E000034,34,34,55710,6,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.933333333333334,119.98666666666666,0.0,139.98333333333332,False,44.164166666666674,122.55833333333334,109.08583333333334,-24.9,24.9,9.0,25.0,261.0,803.0,6387.0,2512.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.08666666666666,122.03,113.66166666666666,104.51,43.77166666666667,44.55666666666668,50.803333333333335,52.59833333333334,51.35,47.52333333333334
LZW-E000035,35,35,55881,6,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.933333333333334,0.0,161.0,False,44.35,123.9,109.25,0.0,0.0,10.0,25.0,289.0,803.0,6387.0,2512.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.9,122.9,113.7,104.8,44.0,44.7,48.7,50.3,50.0,46.2
LZW-E000036,36,36,61647,7,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,159.95166666666668,166.0,False,31.3,121.9,113.15,159.9,159.9,11.0,25.0,318.0,803.0,6387.0,2512.0,3879.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.3,119.5,118.3,108.0,30.6,32.0,38.5,40.3,41.9,36.3
LZW-E000037,37,37,61711,7,论文代码/电堆数据/工况数据提取/data_mark.mat,3,159.95166666666668,0.0,269.9566666666667,127.0,False,58.04,128.94083333333333,115.58916666666667,110.1,110.1,11.0,26.0,318.0,803.0,6387.0,2512.0,4478.0,23758.0,7891.0,985.0,1.907e-07,0.002,0.0406,False,False,True,131.885,125.99666666666666,122.61166666666666,108.56666666666666,56.88999999999999,59.190000000000005,51.48833333333333,57.365,52.11666666666667,54.94166666666667
LZW-E000038,38,38,62369,7,论文代码/电堆数据/工况数据提取/data_mark.mat,3,269.9566666666667,159.95166666666668,119.95833333333334,120.0,False,72.19333333333333,139.06666666666666,123.40833333333333,-150.0,150.0,11.0,27.0,318.0,803.0,6387.0,2512.0,4478.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,140.64666666666665,137.48666666666665,131.16,115.65666666666668,70.42333333333333,73.96333333333334,68.52333333333333,72.21666666666667,63.36500000000001,68.70833333333331
LZW-E000039,39,39,68105,7,论文代码/电堆数据/工况数据提取/data_mark.mat,3,119.95833333333334,269.9566666666667,24.961666666666662,128.0,False,64.3225,124.88750000000002,110.90333333333334,-95.0,95.0,11.0,28.0,318.0,803.0,6387.0,4791.0,4478.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.88166666666667,123.89333333333336,116.16,105.64666666666666,63.35333333333333,65.29166666666667,62.271666666666654,64.87333333333332,60.895,62.586666666666666
