health_state,current_A,current_density_A_cm2,V_healthy_cell_V,V_aged_cell_V,D_raw_V_per_cell,D_raw_mV_per_cell,D_clipped_V_per_cell,D_clipped_mV_per_cell,equivalent_stack_power_loss_raw_W,equivalent_stack_power_loss_clipped_W,equivalent_energy_loss_raw_Wh_per_1s,equivalent_energy_loss_clipped_Wh_per_1s,normalized_cost_0_1,normalized_energy_cost_0_1,normalization_reference,energy_reference_step_s
early,0.0,0.0,0.9249917395264975,0.9249917395264975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,25.0,0.06157635467980296,0.8228719433166393,0.8228719433166393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,90.0,0.22167487684729065,0.7785070332374525,0.7785070332374525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,120.0,0.2955665024630542,0.7663693217602178,0.7663693217602178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,160.0,0.39408866995073893,0.7527606896267157,0.7527606896267157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,195.0,0.4802955665024631,0.7422279145549312,0.7422279145549312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,270.0,0.6650246305418719,0.721782519444189,0.721782519444189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
early,370.0,0.9113300492610837,0.6951594346231205,0.6951594346231205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global max clipped mV and global max clipped equivalent power,1.0
middle,0.0,0.0,0.9249917395264975,0.9112568563771031,0.013734883149394417,13.734883149394417,0.013734883149394417,13.734883149394417,0.0,0.0,0.0,0.0,0.6102573955745372,0.0,global max clipped mV and global max clipped equivalent power,1.0
middle,25.0,0.06157635467980296,0.8228719433166393,0.8213663127088868,0.0015056306077524395,1.5056306077524395,0.0015056306077524395,1.5056306077524395,6.398930082947868,6.398930082947868,0.0017774805785966301,0.0017774805785966301,0.06689698073076239,0.004520066265592053,global max clipped mV and global max clipped equivalent power,1.0
middle,90.0,0.22167487684729065,0.7785070332374525,0.7760001773545636,0.002506855882888903,2.506855882888903,0.002506855882888903,2.506855882888903,38.35489500820022,38.35489500820022,0.010654137502277838,0.010654137502277838,0.1113826252129375,0.027093070997741553,global max clipped mV and global max clipped equivalent power,1.0
