load_source,load_seed,strategy,continuous_multiplier,start_stop_multiplier,shift_multiplier,total_damage_pct,aged_stack_increment_pct,max_terminal_damage_pct,increment_range_pct
empirical_1s,2026,average,2.0,0.0,0.0,0.00027333333333333333,0.0,7.482422824444445,0.00014000000000000001
empirical_1s,2026,average,2.0,0.0,0.1,0.00029764633333333336,0.0,7.482422824444445,0.000152453
empirical_1s,2026,average,2.0,0.0,0.5,0.00039489833333333335,0.0,7.482422824444445,0.00020226500000000003
empirical_1s,2026,average,2.0,0.0,1.0,0.0005164633333333334,0.0,7.482422824444445,0.00026453
empirical_1s,2026,average,2.0,0.0,2.0,0.0007595933333333333,0.0,7.482422824444445,0.00038906
empirical_1s,2026,average,2.0,0.1,0.0,0.0006751333333333334,0.0,7.482422824444445,0.00034580000000000006
empirical_1s,2026,average,2.0,0.1,0.1,0.0006994463333333334,0.0,7.482422824444445,0.00035825300000000005
empirical_1s,2026,average,2.0,0.1,0.5,0.0007966983333333334,0.0,7.482422824444445,0.00040806500000000004
empirical_1s,2026,average,2.0,0.1,1.0,0.0009182633333333334,0.0,7.482422824444445,0.00047033000000000003
empirical_1s,2026,average,2.0,0.1,2.0,0.0011613933333333333,0.0,7.482422824444445,0.00059486
empirical_1s,2026,average,2.0,0.5,0.0,0.0022823333333333333,0.0,7.482422824444445,0.001169
empirical_1s,2026,average,2.0,0.5,0.1,0.002306646333333333,0.0,7.482422824444445,0.0011814529999999998
empirical_1s,2026,average,2.0,0.5,0.5,0.002403898333333333,0.0,7.482422824444445,0.0012312649999999998
empirical_1s,2026,average,2.0,0.5,1.0,0.0025254633333333335,0.0,7.482422824444445,0.00129353
empirical_1s,2026,average,2.0,0.5,2.0,0.002768593333333333,0.0,7.482422824444445,0.0014180599999999999
empirical_1s,2026,average,2.0,1.0,0.0,0.004291333333333333,0.0,7.482422824444445,0.002198
empirical_1s,2026,average,2.0,1.0,0.1,0.0043156463333333325,0.0,7.482422824444445,0.002210453
empirical_1s,2026,average,2.0,1.0,0.5,0.004412898333333333,0.0,7.482422824444445,0.002260265
empirical_1s,2026,average,2.0,1.0,1.0,0.004534463333333333,0.0,7.482422824444445,0.0023225299999999997
empirical_1s,2026,average,2.0,1.0,2.0,0.004777593333333333,0.0,7.482422824444445,0.00244706
empirical_1s,2026,average,2.0,2.0,0.0,0.008309333333333334,0.0,7.482422824444445,0.004256
empirical_1s,2026,average,2.0,2.0,0.1,0.008333646333333333,0.0,7.482422824444445,0.004268453
empirical_1s,2026,average,2.0,2.0,0.5,0.008430898333333332,0.0,7.482422824444445,0.004318265
empirical_1s,2026,average,2.0,2.0,1.0,0.008552463333333333,0.0,7.482422824444445,0.0043805300000000005
empirical_1s,2026,average,2.0,2.0,2.0,0.008795593333333334,0.0,7.482422824444445,0.00450506
empirical_1s,2026,rotating,0.5,0.0,0.0,5.752875e-05,2.649166666666667e-05,7.482449316111111,1.2121250000000004e-05
empirical_1s,2026,rotating,0.5,0.0,0.1,8.925425e-05,3.9537666666666666e-05,7.482462362111112,2.2871e-05
empirical_1s,2026,rotating,0.5,0.0,0.5,0.00021615624999999999,9.172166666666667e-05,7.482514546111111,9.110125000000001e-05
empirical_1s,2026,rotating,0.5,0.0,1.0,0.00037478375,0.00015695166666666665,7.482579776111112,0.00018449875000000002
empirical_1s,2026,rotating,0.5,0.0,2.0,0.00069203875,0.00028741166666666664,7.482710236111111,0.00037129375
