block_id,month,stratum,health_case,policy,positive_steps,above_40kw_steps,negative_power_steps,assignment,assignment_first,assignment_second,error,n_steps,fc_energy_kwh,hydrogen_g,hydrogen_g_per_fc_kwh,expected_damage_increment_pct,terminal_max_damage_pct,terminal_damage_range_pct,damage_increment_range_pct,tracking_mae_kw,tracking_rmse_kw,tracking_max_abs_kw,constraint_violation_steps,safety_override_steps,total_switch_count,planning_runtime_s
external_2025-06_s1,2025-06,1,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,14.902131062715299,756.1404359811204,50.74042315148885,0.0077559966666666666,7.482422824444445,6.543381146388882,0.004017171666569119,0.5474102849909114,0.7825336006825223,5.027677931140904,0,2,2,69.64511949149892
external_2025-06_s1,2025-06,1,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,14.902131062715299,756.1404359811204,50.74042315148885,0.0077559966666666666,7.482422824444445,6.543381146388882,0.004017171666569119,0.5474102849909114,0.7825336006825223,5.027677931140904,0,2,2,69.8723049017135
external_2025-06_s1,2025-06,1,oldest_stack_0,fixed_pair,1440,0,0,"(1, 0)",1,0,,1800,14.884184771278836,756.4778599323539,50.8242723103039,0.007874924027777777,7.486308002221872,6.547015402916353,0.0039897462499632885,0.5087383051183769,0.7559892664394684,4.946387713067004,0,4,2,70.83798429952003
external_2025-06_s1,2025-06,1,oldest_stack_0,health_greedy,1440,0,0,"(1, 2)",1,2,,1800,14.90212894403413,756.1404359811204,50.740430365409715,0.008134231805555557,7.482422824444445,6.543194205138926,0.0042084655554508466,0.5474073040551587,0.7825315608852434,5.0276736169090945,0,2,2,70.03998479456641
external_2025-06_s1,2025-06,1,oldest_stack_1,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,14.849154445621243,755.9184465395194,50.90649769370717,0.007813634166666666,7.486443233611513,6.551140380555957,0.004020409167067918,0.4485317183942618,0.7186469355948202,4.912365960084898,0,4,2,71.22738739801571
external_2025-06_s1,2025-06,1,oldest_stack_1,health_greedy,1440,0,0,"(2, 0)",2,0,,1800,14.894960892027475,756.3180275344012,50.776771622087324,0.007873314166666668,7.482422824444445,6.543072946111046,0.004047025277843397,0.5632201205304046,0.8083521350136607,5.027678947007725,0,2,2,70.16732840426266
external_2025-06_s2,2025-06,2,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,15.951142671695512,809.0715984364484,50.721858307499474,0.00750096388888889,7.482422824444445,6.543500449166659,0.003881441666484964,0.3617319702786769,0.6831792200449966,4.486239217717693,0,0,2,73.57781539717689
external_2025-06_s2,2025-06,2,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,15.951142671695512,809.0715984364484,50.721858307499474,0.00750096388888889,7.482422824444445,6.543500449166659,0.003881441666484964,0.3617319702786769,0.6831792200449966,4.486239217717693,0,0,2,74.09164240257815
external_2025-06_s2,2025-06,2,oldest_stack_0,fixed_pair,1440,0,0,"(1, 0)",1,0,,1800,15.928769533036814,809.3379857663696,50.80982458109993,0.007494144444444443,7.486178735555237,6.547137649166385,0.0037559111107920984,0.32805223458727567,0.6634910577450643,4.486239217717693,0,0,2,54.151323597412556
external_2025-06_s2,2025-06,2,oldest_stack_0,health_greedy,1440,0,0,"(1, 2)",1,2,,1800,15.951140353107812,809.0715984364484,50.721865680206015,0.007866770555555559,7.482422824444445,6.543319473055593,0.004066272222130962,0.36172952592254015,0.6831788593528182,4.486239217717693,0,0,2,56.2936749944929
